fpr,tpr
0.0,0.0
0.0,0.0005427805749938847
0.0,0.0010855611499877695
0.0,0.001628341724981654
0.0,0.011350074092256301
0.0,0.014063976967225724
0.0,0.023785709334500374
0.0,0.024871270484488145
0.0,0.03459300285176279
0.0,0.054036467586312094
0.0,0.05512202873629987
0.0,0.06484376110357452
0.0,0.0659293222535623
0.0,0.07565105462083695
0.009090909090909101,0.07565105462083695
0.009090909090909101,0.0853727869881116
0.009090909090909101,0.08591556756310548
0.009090909090909101,0.08700112871309323
0.009090909090909101,0.09672286108036789
0.009090909090909101,0.09726564165536175
0.018181818181818202,0.09726564165536175
0.018181818181818202,0.11670910638991104
0.018181818181818202,0.11888022868988656
0.027272727272727303,0.11888022868988656
0.027272727272727303,0.12860196105716118
0.027272727272727303,0.13023030278214281
0.027272727272727303,0.1691172322512414
0.027272727272727303,0.16966001282623527
0.027272727272727303,0.18910347756078455
0.036363636363636404,0.18910347756078455
0.036363636363636404,0.1901890387107723
0.036363636363636404,0.20963250344532158
0.036363636363636404,0.21017528402031546
0.036363636363636404,0.22961874875486477
0.06363636363636371,0.22961874875486477
0.06363636363636371,0.23016152932985862
0.06363636363636371,0.23988326169713328
0.06363636363636371,0.24042604227212716
0.06363636363636371,0.2501477746394018
0.06363636363636371,0.25069055521439565
0.07272727272727281,0.25069055521439565
0.07272727272727281,0.2604122875816703
0.07272727272727281,0.26149784873165804
0.07272727272727281,0.2809413134662074
0.0818181818181819,0.2809413134662074
0.0818181818181819,0.2814840940412012
0.09090909090909101,0.2814840940412012
0.09090909090909101,0.2820268746161951
0.09090909090909101,0.29174860698346977
0.1000000000000001,0.29174860698346977
0.1000000000000001,0.2922913875584636
0.1090909090909092,0.2922913875584636
0.1090909090909092,0.2933769487084514
0.1090909090909092,0.303098681075726
0.1090909090909092,0.3041842422257138
0.1090909090909092,0.3139059745929884
0.11818181818181829,0.3139059745929884
0.11818181818181829,0.32362770696026305
0.1272727272727274,0.32362770696026305
0.1363636363636365,0.32362770696026305
0.1363636363636365,0.32417048753525696
0.1363636363636365,0.3338922199025316
0.1363636363636365,0.34361395226980623
0.1454545454545456,0.34361395226980623
0.1454545454545456,0.35333568463708087
0.1454545454545456,0.35442124578706874
0.1454545454545456,0.3641429781543434
0.1454545454545456,0.3646857587293373
0.15454545454545468,0.3646857587293373
0.15454545454545468,0.3652285393043312
0.15454545454545468,0.37495027167160583
0.16363636363636377,0.37495027167160583
0.16363636363636377,0.3943937364061551
0.16363636363636377,0.39493651698114907
0.16363636363636377,0.4046582493484237
0.17272727272727287,0.4046582493484237
0.17272727272727287,0.4057438104984115
0.19090909090909108,0.4057438104984115
0.19090909090909108,0.43490900760023543
0.19090909090909108,0.43545178817522934
0.20000000000000018,0.43545178817522934
0.20000000000000018,0.43599456875022324
0.20000000000000018,0.4554380334847726
0.20000000000000018,0.4565235946347604
0.20909090909090927,0.4565235946347604
0.20909090909090927,0.4576091557847482
0.20909090909090927,0.4867743528865721
0.21818181818181837,0.4867743528865721
0.21818181818181837,0.48785991403656
0.22727272727272746,0.48785991403656
0.22727272727272746,0.4884026946115539
0.22727272727272746,0.4981244269788285
0.22727272727272746,0.49866720755382243
0.22727272727272746,0.5181106722883717
0.23636363636363655,0.5181106722883717
0.23636363636363655,0.5191962334383595
0.23636363636363655,0.5289179658056342
0.23636363636363655,0.5316318686806037
0.23636363636363655,0.551075333415153
0.23636363636363655,0.5516181139901469
0.23636363636363655,0.5613398463574216
0.25454545454545474,0.5613398463574216
0.25454545454545474,0.5618826269324155
0.26363636363636384,0.5618826269324155
0.26363636363636384,0.5813260916669648
0.26363636363636384,0.5818688722419587
0.27272727272727293,0.5818688722419587
0.2818181818181821,0.5818688722419587
0.2818181818181821,0.5824116528169526
0.2909090909090912,0.5824116528169526
0.2909090909090912,0.5921333851842273
0.3000000000000003,0.5921333851842273
0.3000000000000003,0.6115768499187766
0.3090909090909094,0.6115768499187766
0.3090909090909094,0.6121196304937705
0.3272727272727277,0.6121196304937705
0.3272727272727277,0.6218413628610451
0.3272727272727277,0.622926924011033
0.3272727272727277,0.6326486563783076
0.3363636363636368,0.6326486563783076
0.3363636363636368,0.6331914369533015
0.35454545454545505,0.6331914369533015
0.35454545454545505,0.6623566340551255
0.3727272727272733,0.6623566340551255
0.3727272727272733,0.6915218311569493
0.3727272727272733,0.6926073923069372
0.38181818181818244,0.6926073923069372
0.38181818181818244,0.6931501728819311
0.38181818181818244,0.7028719052492057
0.3909090909090916,0.7028719052492057
0.3909090909090916,0.7125936376164804
0.3909090909090916,0.7131364181914743
0.3909090909090916,0.7325798829260236
0.3909090909090916,0.7331226635010175
0.3909090909090916,0.7428443958682922
0.3909090909090916,0.7433871764432861
0.40909090909090984,0.7433871764432861
0.40909090909090984,0.74392995701828
0.40909090909090984,0.7536516893855546
0.4272727272727281,0.7536516893855546
0.4272727272727281,0.7633734217528293
0.4363636363636372,0.7633734217528293
0.4363636363636372,0.765001763477811
0.4454545454545463,0.765001763477811
0.4454545454545463,0.7747234958450857
0.4454545454545463,0.7758090569950735
0.4545454545454555,0.7758090569950735
0.4545454545454555,0.7763518375700674
0.4818181818181828,0.7763518375700674
0.4818181818181828,0.786073569937342
0.49090909090909196,0.786073569937342
0.49090909090909196,0.7877019116623238
0.5090909090909101,0.7877019116623238
0.5090909090909101,0.7887874728123117
0.5181818181818193,0.7887874728123117
0.5181818181818193,0.8082309375468609
0.5181818181818193,0.8098592792718426
0.5272727272727284,0.8098592792718426
0.5272727272727284,0.8104020598468366
0.5363636363636376,0.8104020598468366
0.5363636363636376,0.8298455245813858
0.5363636363636376,0.8303883051563797
0.5454545454545467,0.8303883051563797
0.5454545454545467,0.8309310857313736
0.5545454545454558,0.8309310857313736
0.5545454545454558,0.8600962828331976
0.5636363636363648,0.8600962828331976
0.5636363636363648,0.8606390634081915
0.5636363636363648,0.8800825281427408
0.5636363636363648,0.8806253087177347
0.590909090909092,0.8806253087177347
0.590909090909092,0.8903470410850094
0.6363636363636374,0.8903470410850094
0.6363636363636374,0.929233970554108
0.6909090909090918,0.929233970554108
0.6909090909090918,0.9297767511291019
0.7090909090909099,0.9297767511291019
0.7090909090909099,0.9394984834963764
0.7272727272727281,0.9394984834963764
0.7272727272727281,0.9400412640713705
0.7454545454545461,0.9400412640713705
0.7454545454545461,0.949762996438645
0.7545454545454552,0.949762996438645
0.7545454545454552,0.9503057770136389
0.7727272727272734,0.9503057770136389
0.7727272727272734,0.9697492417481882
0.7727272727272734,0.9702920223231821
0.8181818181818187,0.9702920223231821
0.8181818181818187,0.9800137546904568
0.8363636363636369,0.9800137546904568
0.8363636363636369,0.9897354870577314
0.8454545454545459,0.9897354870577314
0.8454545454545459,0.9902782676327253
0.9636363636363637,0.9902782676327253
0.9636363636363637,1.0
1.0,1.0
