outer_holdout_fold	level	category	target_raw_fraction	observed_raw_fraction	broad_rows	sources	status	target_numeric	observed_numeric	absolute_difference
0	weight_stratum	background::diboson	0.0625	0.0625	5506	5	pass	0.0625	0.0625	0.0
0	weight_stratum	background::qcd_multijet::auxiliary	0.006877990430622	0.006877990430622	98890	18	pass	0.006877990430622	0.006877990430622	0.0
0	weight_stratum	background::qcd_multijet::primary	0.0556220095693779	0.055622009569378	110405	149	pass	0.0556220095693779	0.055622009569378	1.0408340855860843e-16
0	weight_stratum	background::single_higgs	0.0625	0.0625	28583	16	pass	0.0625	0.0625	0.0
0	weight_stratum	background::single_top	0.0625	0.0625	55556	17	pass	0.0625	0.0625	0.0
0	weight_stratum	background::top_associated	0.0625	0.0625	80008	9	pass	0.0625	0.0625	0.0
0	weight_stratum	background::triboson	0.0625	0.0625	14959	9	pass	0.0625	0.0625	0.0
0	weight_stratum	background::ttbar	0.0625	0.0624999999999998	421851	65	pass	0.0625	0.0624999999999998	2.0122792321330962e-16
0	weight_stratum	background::zbbbb	0.0625	0.0625	46157	16	pass	0.0625	0.0625	0.0
0	weight_stratum	signal::ggf_hh4b	0.25	0.2500000000000001	35194	61	pass	0.25	0.2500000000000001	1.1102230246251565e-16
0	weight_stratum	signal::vbf_hh4b	0.25	0.2499999999999999	37942	6	pass	0.25	0.2499999999999999	1.1102230246251565e-16
0	class	signal	0.5	0.5000000000000002	73136	67	pass	0.5	0.5000000000000002	2.220446049250313e-16
0	class	background	0.5	0.4999999999999988	861915	304	pass	0.5	0.4999999999999988	1.2212453270876722e-15
1	weight_stratum	background::diboson	0.0625	0.0625	4697	4	pass	0.0625	0.0625	0.0
1	weight_stratum	background::qcd_multijet::auxiliary	0.006877990430622	0.006877990430622	103806	18	pass	0.006877990430622	0.006877990430622	0.0
1	weight_stratum	background::qcd_multijet::primary	0.0556220095693779	0.0556220095693777	110671	147	pass	0.0556220095693779	0.0556220095693777	2.0122792321330962e-16
1	weight_stratum	background::single_higgs	0.0625	0.0624999999999999	22292	13	pass	0.0625	0.0624999999999999	9.71445146547012e-17
1	weight_stratum	background::single_top	0.0625	0.0625	60393	18	pass	0.0625	0.0625	0.0
1	weight_stratum	background::top_associated	0.0625	0.0624999999999999	89164	10	pass	0.0625	0.0624999999999999	9.71445146547012e-17
1	weight_stratum	background::triboson	0.0625	0.0625	13517	8	pass	0.0625	0.0625	0.0
1	weight_stratum	background::ttbar	0.0625	0.0625	416621	64	pass	0.0625	0.0625	0.0
1	weight_stratum	background::zbbbb	0.0625	0.0624999999999999	43428	15	pass	0.0625	0.0624999999999999	9.71445146547012e-17
1	weight_stratum	signal::ggf_hh4b	0.25	0.2499999999999996	40044	69	pass	0.25	0.2499999999999996	3.885780586188048e-16
1	weight_stratum	signal::vbf_hh4b	0.25	0.25	31737	5	pass	0.25	0.25	0.0
1	class	signal	0.5	0.4999999999999996	71781	74	pass	0.5	0.4999999999999996	3.885780586188048e-16
1	class	background	0.5	0.4999999999999998	864589	297	pass	0.5	0.4999999999999998	2.220446049250313e-16
2	weight_stratum	background::diboson	0.0625	0.0625	4567	4	pass	0.0625	0.0625	0.0
2	weight_stratum	background::qcd_multijet::auxiliary	0.006877990430622	0.006877990430622	106689	19	pass	0.006877990430622	0.006877990430622	0.0
2	weight_stratum	background::qcd_multijet::primary	0.0556220095693779	0.0556220095693777	110741	147	pass	0.0556220095693779	0.0556220095693777	2.0122792321330962e-16
2	weight_stratum	background::single_higgs	0.0625	0.0624999999999999	22354	13	pass	0.0625	0.0624999999999999	9.71445146547012e-17
2	weight_stratum	background::single_top	0.0625	0.0625	53537	16	pass	0.0625	0.0625	0.0
2	weight_stratum	background::top_associated	0.0625	0.0624999999999999	88687	10	pass	0.0625	0.0624999999999999	9.71445146547012e-17
2	weight_stratum	background::triboson	0.0625	0.0625	13442	8	pass	0.0625	0.0625	0.0
2	weight_stratum	background::ttbar	0.0625	0.0624999999999998	422733	65	pass	0.0625	0.0624999999999998	2.0122792321330962e-16
2	weight_stratum	background::zbbbb	0.0625	0.0624999999999999	43486	15	pass	0.0625	0.0624999999999999	9.71445146547012e-17
2	weight_stratum	signal::ggf_hh4b	0.25	0.2499999999999996	40002	69	pass	0.25	0.2499999999999996	3.885780586188048e-16
2	weight_stratum	signal::vbf_hh4b	0.25	0.25	31699	5	pass	0.25	0.25	0.0
2	class	signal	0.5	0.4999999999999996	71701	74	pass	0.5	0.4999999999999996	3.885780586188048e-16
2	class	background	0.5	0.4999999999999996	866236	297	pass	0.5	0.4999999999999996	3.885780586188048e-16
3	weight_stratum	background::diboson	0.0625	0.0625	5480	5	pass	0.0625	0.0625	0.0
3	weight_stratum	background::qcd_multijet::auxiliary	0.006877990430622	0.006877990430622	106558	19	pass	0.006877990430622	0.006877990430622	0.0
3	weight_stratum	background::qcd_multijet::primary	0.0556220095693779	0.055622009569378	110097	151	pass	0.0556220095693779	0.055622009569378	1.0408340855860843e-16
3	weight_stratum	background::single_higgs	0.0625	0.0624999999999999	22844	14	pass	0.0625	0.0624999999999999	9.71445146547012e-17
3	weight_stratum	background::single_top	0.0625	0.0625	53146	16	pass	0.0625	0.0625	0.0
3	weight_stratum	background::top_associated	0.0625	0.0624999999999999	89114	10	pass	0.0625	0.0624999999999999	9.71445146547012e-17
3	weight_stratum	background::triboson	0.0625	0.0624999999999999	16684	10	pass	0.0625	0.0624999999999999	9.71445146547012e-17
3	weight_stratum	background::ttbar	0.0625	0.0624999999999998	420031	65	pass	0.0625	0.0624999999999998	2.0122792321330962e-16
3	weight_stratum	background::zbbbb	0.0625	0.0624999999999999	43342	15	pass	0.0625	0.0624999999999999	9.71445146547012e-17
3	weight_stratum	signal::ggf_hh4b	0.25	0.2500000000000003	34921	60	pass	0.25	0.2500000000000003	2.7755575615628914e-16
3	weight_stratum	signal::vbf_hh4b	0.25	0.2499999999999999	37941	6	pass	0.25	0.2499999999999999	1.1102230246251565e-16
3	class	signal	0.5	0.5000000000000004	72862	66	pass	0.5	0.5000000000000004	4.440892098500626e-16
3	class	background	0.5	0.4999999999999996	867296	305	pass	0.5	0.4999999999999996	3.885780586188048e-16
4	weight_stratum	background::diboson	0.0625	0.0624999999999999	6750	6	pass	0.0625	0.0624999999999999	9.71445146547012e-17
4	weight_stratum	background::qcd_multijet::auxiliary	0.006877990430622	0.006877990430622	98757	18	pass	0.006877990430622	0.006877990430622	0.0
4	weight_stratum	background::qcd_multijet::primary	0.0556220095693779	0.0556220095693781	110574	150	pass	0.0556220095693779	0.0556220095693781	2.0122792321330962e-16
