feature,mean_abs_auc_minus_half_u3p5,std_across_comparisons,n_comparisons
n_btag_loose,0.27248148050563253,0.08388565670963338,3
jet1_pt,0.25996809158061807,0.0844760074840604,3
pT_H1,0.2513830739536774,0.10722791301261948,3
jet2_pt,0.24394732336469369,0.05859898262412118,3
HT,0.23359496326720075,0.10660745730723473,3
pT_H2,0.2092908675746914,0.1043353497082027,3
mHH,0.188123441968531,0.02569046410405757,3
pt5_over_HT,0.1476888911485578,0.01603976046843219,3
jet3_pt,0.13742211625619097,0.08499795305196053,3
RHH,0.13494594595644796,0.030113543160286582,3
probB5,0.11994330536758062,0.030866636555483815,3
probL5,0.1049102023646331,0.029836257655957737,3
mH2,0.10381173097686243,0.014272205914212315,3
mH1,0.0973784851508654,0.04218227837939734,3
min_dR_j5_leading4,0.09418923769272665,0.014474507299490492,3
DeltaR_bb_H2,0.09097110653231678,0.1261282194137149,3
pT_HH,0.08971447656503896,0.1218180883409449,3
n_selected_jets,0.08634507431344862,0.012270785972134147,3
probC5,0.08295361433254304,0.008797573845561834,3
jet4_pt,0.08035248965513136,0.029768170966532476,3
pt5,0.07499664445756767,0.031050419160698128,3
eta_HH,0.07232486032211838,0.013776423327691346,3
pt5_over_pt4,0.06785055276066133,0.0034140321003691765,3
pt_asym,0.06361570681253703,0.02162851551556715,3
DeltaR_HH,0.05983524986704667,0.07128495491036281,3
DeltaR_bb_H1,0.05437954170041459,0.06162717598180891,3
mass_asym,0.048526584786701,0.07024847636860485,3
DeltaPhi_HH,0.020189420269354552,0.023725421221743516,3
eta5,0.01204707660847354,0.01867547088980387,3
DeltaEta_HH,0.010432319796367254,0.011229785916896324,3
