category_id	aggregation_level	structure_id	count	denominator	frequency	frequency_rank	is_nominal_structure
exact3tag	fold_winner	asymmetric_rectangular_mass__category__mass_only	17	1000	0.017	17	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	89	1000	0.089	4	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt	46	1000	0.046	7	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	5	1000	0.005	24	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	109	1000	0.109	3	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	42	1000	0.042	8	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_max_drbb	125	1000	0.125	1	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh	68	1000	0.068	6	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	23	1000	0.023	15	False
exact3tag	fold_winner	radial_mass__category__mass_only	40	1000	0.04	9	False
exact3tag	fold_winner	radial_mass__category__plus_abs_h_delta_eta	6	1000	0.006	23	False
exact3tag	fold_winner	radial_mass__category__plus_h2_pt	22	1000	0.022	16	False
exact3tag	fold_winner	radial_mass__category__plus_h2_pt_and_max_drbb	9	1000	0.009	22	False
exact3tag	fold_winner	radial_mass__category__plus_ht_candidate_jets	122	1000	0.122	2	True
exact3tag	fold_winner	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	16	1000	0.016	18	False
exact3tag	fold_winner	radial_mass__category__plus_max_drbb	33	1000	0.033	10	False
exact3tag	fold_winner	radial_mass__category__plus_mhh	25	1000	0.025	12	False
exact3tag	fold_winner	radial_mass__category__plus_mhh_and_abs_h_delta_eta	14	1000	0.014	19	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__mass_only	25	1000	0.025	13	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	2	1000	0.002	26	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt	12	1000	0.012	20	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	4	1000	0.004	25	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets	80	1000	0.08	5	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	11	1000	0.011	21	False
