replica	category_id	five_fold_winner_structure_ids_json	five_fold_winner_counts_by_structure_json	maximum_winner_count	maximum_winner_frequency	unique_modal_family	tie_resolution_applied	tied_maximum_frequency_structure_ids_json	replica_selected_structure_id	replica_selected_structure_supporting_outer_folds_json	replica_selected_structure_coordinatewise_median_thresholds_json	five_fold_pooled_support_pass_json	five_fold_all_inner_support_pass_json	five_fold_feasibility_outcomes_json	support_failure_count	infeasible_fold_winner_count	nominal_structure_recovered	pilot_result_used	nominal_deployment_candidate_changed	validation_payloads_opened	test_payloads_opened
0	exact3tag	"[""radial_mass__category__plus_max_drbb"",""radial_mass__category__plus_ht_candidate_jets"",""radial_mass__category__plus_ht_candidate_jets"",""radial_mass__category__plus_max_drbb"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets""]"	"{""radial_mass__category__plus_ht_candidate_jets"":2,""radial_mass__category__plus_max_drbb"":2,""symmetric_rectangular_mass__category__plus_ht_candidate_jets"":1}"	2	0.4	False	True	"[""radial_mass__category__plus_ht_candidate_jets"",""radial_mass__category__plus_max_drbb""]"	radial_mass__category__plus_ht_candidate_jets	[1,2]	"{""ht_candidate_jets"":177.26047706604,""r_hh_125_125"":36.845249668601895}"	[true,true,true,true,true]	[true,true,true,true,true]	[true,true,true,true,true]	0	0	True	False	False	0	0
0	ge4tag	"[""radial_mass__category__plus_ht_candidate_jets"",""radial_mass__category__plus_ht_candidate_jets_and_max_drbb"",""radial_mass__category__plus_ht_candidate_jets"",""radial_mass__category__plus_ht_candidate_jets_and_max_drbb"",""radial_mass__category__plus_ht_candidate_jets""]"	"{""radial_mass__category__plus_ht_candidate_jets"":3,""radial_mass__category__plus_ht_candidate_jets_and_max_drbb"":2}"	3	0.6	True	False	"[""radial_mass__category__plus_ht_candidate_jets""]"	radial_mass__category__plus_ht_candidate_jets	[0,2,4]	"{""ht_candidate_jets"":196.13399505615232,""r_hh_125_125"":35.05446654991432}"	[true,true,true,true,true]	[true,true,true,true,true]	[true,true,true,true,true]	0	0	False	False	False	0	0
1	exact3tag	"[""asymmetric_rectangular_mass__category__plus_max_drbb"",""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"",""symmetric_rectangular_mass__category__mass_only"",""asymmetric_rectangular_mass__category__plus_max_drbb"",""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta""]"	"{""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta"":1,""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"":1,""asymmetric_rectangular_mass__category__plus_max_drbb"":2,""symmetric_rectangular_mass__category__mass_only"":1}"	2	0.4	True	False	"[""asymmetric_rectangular_mass__category__plus_max_drbb""]"	asymmetric_rectangular_mass__category__plus_max_drbb	[0,3]	"{""abs_mbb1_minus_125"":19.076922917202257,""abs_mbb2_minus_125"":1195.411600407152,""max_drbb"":4.766829126003969}"	[true,true,true,true,true]	[true,true,true,true,true]	[false,false,false,false,false]	0	5	False	False	False	0	0
1	ge4tag	"[""symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb"",""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"",""symmetric_rectangular_mass__category__mass_only"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb""]"	"{""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"":1,""symmetric_rectangular_mass__category__mass_only"":1,""symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb"":1,""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb"":2}"	2	0.4	True	False	"[""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb""]"	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	[1,4]	"{""ht_candidate_jets"":195.19564056396482,""max_abs_mbb_minus_125"":38.405353755584606,""max_drbb"":3.042276577387326}"	[true,true,true,true,true]	[true,true,true,true,true]	[true,true,true,false,true]	0	1	False	False	False	0	0
2	exact3tag	"[""asymmetric_rectangular_mass__category__plus_mhh"",""symmetric_rectangular_mass__category__plus_max_drbb"",""asymmetric_rectangular_mass__category__plus_mhh"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets""]"	"{""asymmetric_rectangular_mass__category__plus_mhh"":2,""symmetric_rectangular_mass__category__plus_ht_candidate_jets"":2,""symmetric_rectangular_mass__category__plus_max_drbb"":1}"	2	0.4	False	True	"[""asymmetric_rectangular_mass__category__plus_mhh"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets""]"	asymmetric_rectangular_mass__category__plus_mhh	[0,2]	"{""abs_mbb1_minus_125"":19.394592134806576,""abs_mbb2_minus_125"":997.3982052645523,""mhh"":147.17043766773048}"	[true,true,true,true,true]	[true,true,true,true,true]	[false,false,false,false,false]	0	5	False	False	False	0	0
2	ge4tag	"[""asymmetric_rectangular_mass__category__plus_h2_pt"",""asymmetric_rectangular_mass__category__plus_max_drbb"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb"",""asymmetric_rectangular_mass__category__plus_max_drbb"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb""]"	"{""asymmetric_rectangular_mass__category__plus_h2_pt"":1,""asymmetric_rectangular_mass__category__plus_max_drbb"":2,""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb"":2}"	2	0.4	False	True	"[""asymmetric_rectangular_mass__category__plus_max_drbb"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb""]"	asymmetric_rectangular_mass__category__plus_max_drbb	[1,3]	"{""abs_mbb1_minus_125"":28.221464948358747,""abs_mbb2_minus_125"":90.111447491939,""max_drbb"":2.9218338281273475}"	[true,true,true,true,true]	[true,true,true,true,true]	[false,false,false,true,true]	0	3	False	False	False	0	0
3	exact3tag	"[""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta"",""asymmetric_rectangular_mass__category__plus_mhh"",""symmetric_rectangular_mass__category__plus_mhh"",""asymmetric_rectangular_mass__category__plus_mhh"",""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta""]"	"{""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta"":2,""asymmetric_rectangular_mass__category__plus_mhh"":2,""symmetric_rectangular_mass__category__plus_mhh"":1}"	2	0.4	False	True	"[""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta"",""asymmetric_rectangular_mass__category__plus_mhh""]"	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	[0,4]	"{""abs_h_delta_eta"":7.670986609339533,""abs_mbb1_minus_125"":19.18294201285782,""abs_mbb2_minus_125"":997.3982052645523}"	[true,true,true,true,true]	[true,true,true,true,true]	[false,false,false,false,false]	0	5	False	False	False	0	0
3	ge4tag	"[""radial_mass__category__plus_ht_candidate_jets"",""radial_mass__category__plus_ht_candidate_jets"",""radial_mass__category__plus_h2_pt_and_max_drbb"",""radial_mass__category__mass_only"",""radial_mass__category__plus_max_drbb""]"	"{""radial_mass__category__mass_only"":1,""radial_mass__category__plus_h2_pt_and_max_drbb"":1,""radial_mass__category__plus_ht_candidate_jets"":2,""radial_mass__category__plus_max_drbb"":1}"	2	0.4	True	False	"[""radial_mass__category__plus_ht_candidate_jets""]"	radial_mass__category__plus_ht_candidate_jets	[0,1]	"{""ht_candidate_jets"":187.4812660217285,""r_hh_125_125"":34.48893565849475}"	[true,true,true,true,true]	[true,true,true,true,true]	[true,true,true,true,true]	0	0	False	False	False	0	0
4	exact3tag	"[""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"",""asymmetric_rectangular_mass__category__plus_max_drbb"",""asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta"",""radial_mass__category__plus_h2_pt"",""asymmetric_rectangular_mass__category__plus_ht_candidate_jets""]"	"{""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"":2,""asymmetric_rectangular_mass__category__plus_max_drbb"":1,""asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta"":1,""radial_mass__category__plus_h2_pt"":1}"	2	0.4	True	False	"[""asymmetric_rectangular_mass__category__plus_ht_candidate_jets""]"	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	[0,4]	"{""abs_mbb1_minus_125"":33.12436305962605,""abs_mbb2_minus_125"":376.48439474732356,""ht_candidate_jets"":182.88134574890134}"	[true,true,true,true,true]	[true,true,true,true,true]	[true,false,true,false,true]	0	2	False	False	False	0	0
4	ge4tag	"[""asymmetric_rectangular_mass__category__mass_only"",""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta"",""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb"",""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb""]"	"{""asymmetric_rectangular_mass__category__mass_only"":1,""asymmetric_rectangular_mass__category__plus_abs_h_delta_eta"":1,""asymmetric_rectangular_mass__category__plus_ht_candidate_jets"":1,""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb"":2}"	2	0.4	True	False	"[""symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb""]"	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	[3,4]	"{""ht_candidate_jets"":171.6592445373535,""max_abs_mbb_minus_125"":35.10948822171725,""max_drbb"":3.5278094809139033}"	[true,true,true,true,true]	[true,true,true,true,true]	[true,false,false,true,true]	0	2	False	False	False	0	0
