category_id	selected_structure_id	threshold_variable	replica_count	mean	population_standard_deviation	minimum	p16_linear	median	p84_linear	maximum	is_nominal_structure
exact3tag	asymmetric_rectangular_mass__category__mass_only	abs_mbb1_minus_125	8	27.27348600503109	2.6460134335358543	23.968456183404147	24.77114149561766	27.17916431155101	29.410025757600103	31.29230346582803	False
exact3tag	asymmetric_rectangular_mass__category__mass_only	abs_mbb2_minus_125	8	40.66800815935926	4.756198743009618	33.707222709595506	35.96487657410457	41.33368746807186	45.33714269556293	45.3929044270718	False
exact3tag	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	abs_h_delta_eta	37	7.59997076792653	0.14735438179818022	7.189707476782597	7.463296051007061	7.576934088635984	7.76503913004308	7.76503913004308	False
exact3tag	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	abs_mbb1_minus_125	37	19.112547626244066	0.23587866359489615	18.48737291975657	18.899955306470126	19.13486265540782	19.30615458177771	19.74422547505289	False
exact3tag	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	abs_mbb2_minus_125	37	886.2069350915535	205.85931495380342	647.5550423596388	677.6710257917994	799.3848101219526	1195.411600407152	1195.411600407152	False
exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt	abs_mbb1_minus_125	13	19.149316879372332	0.2175855669275985	18.63100969747258	19.015662663803745	19.149278948263724	19.276322702281917	19.539498069113723	False
exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt	abs_mbb2_minus_125	13	849.5449319525534	181.32995100516155	552.2708889162487	707.5660628567767	799.3848101219526	1013.2392768759603	1195.411600407152	False
exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt	h2_pt	13	0.5504288636632714	0.29695486390124626	0.2373932669422844	0.37309395234862586	0.37309395234862586	0.9205451834231292	1.1712799416449344	False
exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	abs_mbb1_minus_125	1	19.606927946786993	0.0	19.606927946786993	19.606927946786993	19.606927946786993	19.606927946786993	19.606927946786993	False
exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	abs_mbb2_minus_125	1	997.3982052645523	0.0	997.3982052645523	997.3982052645523	997.3982052645523	997.3982052645523	997.3982052645523	False
exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	h2_pt	1	1.046562899346976	0.0	1.046562899346976	1.046562899346976	1.046562899346976	1.046562899346976	1.046562899346976	False
exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	max_drbb	1	4.8368026200013245	0.0	4.8368026200013245	4.8368026200013245	4.8368026200013245	4.8368026200013245	4.8368026200013245	False
exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125	29	27.772678600278855	10.175362865175027	18.31783273186267	18.814155770170395	19.23318488003571	35.477865306427034	47.68242220376721	False
exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb2_minus_125	29	682.0106471210888	376.20341329993397	41.089521258074946	358.56946069267633	647.5550423596388	1195.411600407152	1195.411600407152	False
exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	ht_candidate_jets	29	166.22281370543197	30.33233374519908	139.02018547058103	139.91456363677975	141.077446937561	183.6585710144043	225.61926269531247	False
exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	abs_mbb1_minus_125	7	162.1362560374384	350.8487517428695	18.76423216001712	18.851319554973912	18.946653246933007	59.099265937078385	1021.5366553716673	False
exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	abs_mbb2_minus_125	7	884.1744216932527	389.43521890017456	35.17114776728037	651.9710306708185	953.6026639727576	1195.411600407152	1195.411600407152	False
exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	ht_candidate_jets	7	150.02844755990162	25.2313029892141	139.02018547058103	139.02018547058103	139.73014163970944	143.29522521972652	211.81828308105466	False
exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	max_drbb	7	4.559994230812596	0.6216567583451285	3.0390908836749393	4.697719596310807	4.8368026200013245	4.8368026200013245	4.8368026200013245	False
exact3tag	asymmetric_rectangular_mass__category__plus_max_drbb	abs_mbb1_minus_125	28	23.503405884599285	4.619473303008141	18.787690266733424	19.054917887064835	24.53211106533826	30.660175590679977	31.212110162889676	False
exact3tag	asymmetric_rectangular_mass__category__plus_max_drbb	abs_mbb2_minus_125	28	659.7858520169286	391.4578143380735	117.17203982223135	126.28222089776277	658.6824950814855	1195.411600407152	1195.411600407152	False
exact3tag	asymmetric_rectangular_mass__category__plus_max_drbb	max_drbb	28	4.131074672298687	0.7031905288776761	3.0042739198543407	3.017454312460502	3.9296530512350873	4.833214387651921	4.8368026200013245	False
exact3tag	asymmetric_rectangular_mass__category__plus_mhh	abs_mbb1_minus_125	15	19.09764103506843	0.23943480851652854	18.68651122527196	18.800664957478784	19.077533269486384	19.376714704853185	19.45340874392608	False
exact3tag	asymmetric_rectangular_mass__category__plus_mhh	abs_mbb2_minus_125	15	978.1271195162323	192.36747061614014	738.527917956876	766.1001987401886	997.3982052645523	1195.411600407152	1195.411600407152	False
exact3tag	asymmetric_rectangular_mass__category__plus_mhh	mhh	15	151.22373688626084	33.298710189879785	111.43399288199572	111.57383336534217	179.34894690232184	182.81810272930264	183.84982318058488	False
exact3tag	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	5	7.676650501229949	0.13476721704972722	7.417148506680969	7.57960489238245	7.76503913004308	7.76503913004308	7.76503913004308	False
exact3tag	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	abs_mbb1_minus_125	5	18.845532336197248	0.2065942301552071	18.438299122183	18.7254145888238	18.93993293320347	18.97926811958255	18.988356914154966	False
exact3tag	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	abs_mbb2_minus_125	5	922.7590932025965	224.90565315936846	711.7937275383631	711.7937275383631	799.3848101219526	1195.411600407152	1195.411600407152	False
