category_id	replica_category_count	fold_winner_count	modal_replica_selected_structure_id	modal_replica_selected_count	modal_replica_selected_frequency	second_replica_selected_count	second_replica_selected_frequency	top_two_frequency_gap	modal_frequency_below_0p70	top_two_frequency_gap_below_0p15	nominal_structure_id	nominal_structure_recovery_count	nominal_structure_recovery_frequency	unique_modal_replica_category_count	unique_modal_replica_category_fraction	tie_resolution_replica_category_count	tie_resolution_replica_category_fraction	no_unique_five_fold_modal_structure_count	no_unique_five_fold_modal_structure_fraction	infeasible_fold_winner_count	infeasible_fold_winner_frequency	fold_winner_support_failure_count	fold_winner_support_failure_frequency	pretriggered_escalation_remains_required	initial200_can_cancel_escalation	nominal_deployment_candidate_changed	validation_payloads_opened	test_payloads_opened
exact3tag	200	1000	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	37	0.185	29	0.145	0.04000000000000001	True	True	radial_mass__category__plus_ht_candidate_jets	24	0.12	121	0.605	79	0.395	79	0.395	538	0.538	0	0.0	True	False	False	0	0
ge4tag	200	1000	asymmetric_rectangular_mass__category__mass_only	52	0.26	26	0.13	0.13	True	True	radial_mass__category__plus_mhh_and_abs_h_delta_eta	5	0.025	128	0.64	72	0.36	72	0.36	156	0.156	0	0.0	True	False	False	0	0
