population_kind	sample_class	process_or_mode	negative_physical_weight_rows	zero_physical_weight_rows	positive_physical_weight_rows	candidate_physical_weight_rows	selected_physical_yield_calculated
hard_qcd	background	qcd_hardqcd	0	0	56	56	False
ordinary	background	bbh_hbb_4fs	0	0	1012	1012	False
ordinary	background	ggh_hbb	0	0	38	38	False
ordinary	background	schannel_single_top	0	0	8	8	False
ordinary	background	tchannel_antitop	0	0	19	19	False
ordinary	background	tchannel_top	0	0	19	19	False
ordinary	background	ttbar_inclusive	0	0	2745	2745	False
ordinary	background	tth_hbb	0	0	2411	2411	False
ordinary	background	tttt	0	0	5803	5803	False
ordinary	background	ttw	0	0	232	232	False
ordinary	background	ttz_zbb	0	0	3169	3169	False
ordinary	background	tw_antitop	0	0	64	64	False
ordinary	background	tw_top	0	0	47	47	False
ordinary	background	vbf_hbb	0	0	20	20	False
ordinary	background	wh_hbb	0	0	28	28	False
ordinary	background	wwz_zbb	0	0	33	33	False
ordinary	background	wz_zbb	0	0	7	7	False
ordinary	background	wzz_zbb	0	0	68	68	False
ordinary	background	zbbbb	0	0	5544	5544	False
ordinary	background	zzz_zbb	0	0	45	45	False
ordinary	signal	ggf_hh4b	0	0	4893	4893	False
ordinary	signal	vbf_hh4b	0	0	4444	4444	False
