feature,importance
mbb_top2_btag,0.2799362893160178
subleading_jet_pt,0.19476550228123984
HT,0.1798291414832087
second_highest_btag,0.12585212795336173
deltaR_top2_btag,0.12170725880653384
leading_jet_pt,0.05997180474587369
n_jets,0.019824453814800507
highest_btag,0.01811342159896392
