feature,importance_top
n_bjet_pt30_eta25,0.18298748549371252
r_hh,0.1614037874438829
n_extra_bjets_pt30_eta25,0.1495284930137312
mbb2,0.06318230435856557
avg_mbb,0.04480807772606001
n_extra_jets_pt30_eta25,0.041579012698481
drbb2,0.039148144946472334
delta_mbb,0.03767780458353862
n_jet_pt30_eta25,0.03272538999423899
j1_pt,0.030613001252922302
pt_asym_34,0.029953281440347472
mbb1,0.027444639303027513
j4_pt,0.024384462367202518
drbb1,0.02263009028028996
j2_pt,0.0225969383005653
j3_pt,0.020894204184944982
mhh,0.0202234125509264
pt_asym_12,0.016360641729708626
pt_sum4,0.016017357773534063
ht_pt30_eta25,0.013176654738668081
ht_over_mhh,0.0026648158191794127
