sample,group,test_rows,xsec_pb,expected_events_450fb,median_bdt_qcd,q90_bdt_qcd,q99_bdt_qcd,median_bdt_top,q90_bdt_top,q99_bdt_top
VBF_HH4b_SMnorm,signal,2507,0.00040737799999999996,183.3201,0.7868662299572031,0.9533327957782499,0.9743119559544874,0.6996837778190124,0.8970246038988009,0.9517865569023263
Zbbbb_100k,background,11963,2.3981169248,1079152.6161600002,0.36793719961826443,0.787484300164484,0.916431289309644,0.5589493259627775,0.8567411239072944,0.9291326958225775
ggF_HH4b_SMnorm,signal,2166,0.00676255,3043.1475,0.7838533018180251,0.9505511374728484,0.9766286692302483,0.7221885456153108,0.9015886046029131,0.9478563714019347
qcd_bbbb_iht100to200_20000,background,105,3.2482786445617675,1461725.3900527954,0.16943002638753238,0.33230608436432907,0.5010547726909839,0.8436754954997334,0.9192505804313877,0.9323037154531817
qcd_bbbb_iht200to400_combined120k,background,29423,88.24442145996093,39709989.65698242,0.23515902946511882,0.5969947189190634,0.8537527251892073,0.6135235821316435,0.8709106159881784,0.9322499217250242
qcd_bbbb_iht400to600_20000,background,992,1.4188219534397122,638469.8790478705,0.2557679219610244,0.6739130523854211,0.8874426891989977,0.6901574918126474,0.8587656936277249,0.9373850946369494
qcd_bbbb_iht600plus_20000,background,1277,0.3294708356022835,148261.8760210276,0.24917273829673298,0.5916988650535753,0.8918876104994538,0.6117012406211448,0.8226404801671514,0.9369251825839823
ttbar_200k,background,5402,38.57427946472168,17358425.759124756,0.6773729724986253,0.9175902997594506,0.9626437396181754,0.2827983580177508,0.6148061779544701,0.8302512230579076
