path	bytes	sha256
figure_data/05_fixed_operating_point.tsv	146	6a8c2878b1f4b428a752bb86717e1d5eaa0241ec6816d136de18e02555ff2e78
figure_data/06_fold_auc.tsv	435	583682dd91817e505abb7ca5a5846048607db069ed0bef8cf2a6a7ebf87f1236
figure_data/07_fold_rejection.tsv	431	cb8d42eea6a76da1571d3d0572c119d95fe428ed3812945637c99cf835f15a57
figure_data/08_signal_over_background.tsv	158	2d337778e2bf4a2a829dbb6fda2ffd22e34673d9f83b792a1ceecb9a8bdb9cca
figure_data/09_asimov_za.tsv	146	a6528c9ae119c19a971fe4d8ddad8e5e2108a3ca9abe9471b04e5e3d58b78f8f
figure_data/10_background_yield.tsv	139	b549c9c9e15f21cbb3231a5193703d3470ae4c93be7b2667f5478830b61d96b0
figure_data/11_neff_background.tsv	154	c4fc5866e2196f8becee7671b05ba69a140ede100bd63c76d0b4a3bd58920f9a
figure_data/12_physical_yields.tsv	196	cc18b50994a87d09cd8509f71a27f13d35478807c40f08268d8d4abbd507569f
figure_data/15_16_fold_candidate_threshold.tsv	1772	142229327afc9cf9c426340ffbe23c79b710ed3ca17bc97ffa1e8be34bf2c0fe
figure_data/global_mass_aware_feature_importance.tsv	459	02983ff1c8d0a00c4295d5260755d6c39cfb9174beca629a38f835b34100c77a
figure_data/global_mass_aware_roc.tsv	12595743	2d000e35a73c98a63cd67c8b5691a27b0ea46cb26c4547462ca1f3ab0b80ee34
figure_data/global_mass_aware_score_distribution.tsv	3970	1cdefece993e494b7a64827f4c268e961efd47187724928a1de4fbab5a6f61d5
figure_data/global_mass_plane_blind_feature_importance.tsv	465	02a459a759c09917aff0ac1eec805f7f302151b78d0357d535af447c65d0983c
figure_data/global_mass_plane_blind_roc.tsv	12767883	c4917fbe3558ef4ae3c1dcbe8b471eee393e4ad2a21e26336f81febd1e340724
figure_data/global_mass_plane_blind_score_distribution.tsv	3938	548d98f17de668e6d0db6f52f942351a1c74f051064f789aa634db72c45bf08d
figures/pdf/01_pooled_roc.pdf	71557	059bf2eb2814ccdb296a2cfaa1ba938a42f3c75411a353e0dce06bca4232765d
