seed,bootstrap,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB
10,0,loose_best_sqrtB,0.8,0.5,87.36963489112414,285213.1266728671,0.0003063310441224365,0.16359716220275375,0.0030633104412243653
10,1,loose_best_sqrtB,0.8,0.5,77.59806034983974,277231.989474287,0.0002799029812432121,0.14737682460485718,0.002799029812432121
10,2,loose_best_sqrtB,0.8,0.5,90.45600345197305,264416.85755994887,0.00034209620478325504,0.17591093053241744,0.0034209620478325505
10,3,loose_best_sqrtB,0.8,0.5,98.60788233060683,305431.6006353901,0.00032284767563497887,0.178424565600491,0.003228476756349789
10,4,loose_best_sqrtB,0.8,0.5,93.02701430197857,287180.2774123054,0.00032393246200685104,0.17359282754764513,0.00323932462006851
10,5,loose_best_sqrtB,0.8,0.5,64.8873623079474,290067.01627910516,0.00022369783072995856,0.12047888690586708,0.0022369783072995857
10,6,loose_best_sqrtB,0.8,0.5,96.69658539957997,290162.04885277513,0.0003332502847353504,0.1795109038954073,0.003332502847353504
10,7,loose_best_sqrtB,0.8,0.5,86.55978705979884,301911.1612646462,0.0002867061512307693,0.15753483233643875,0.002867061512307693
10,8,loose_best_sqrtB,0.8,0.5,93.8339732811982,274238.5861558544,0.00034216181827844886,0.17918259657172672,0.0034216181827844885
10,9,loose_best_sqrtB,0.8,0.5,49.237540765447115,337371.7146372101,0.00014594448387113393,0.08476996799631988,0.0014594448387113392
10,10,loose_best_sqrtB,0.8,0.5,82.00674560075163,309543.58480418415,0.0002649279443236684,0.14739700991770888,0.002649279443236684
10,11,loose_best_sqrtB,0.8,0.5,106.98640650381344,309881.9022605205,0.00034524896653651303,0.19218987038576427,0.00345248966536513
10,12,loose_best_sqrtB,0.8,0.5,89.20730929203052,296938.4620054574,0.0003004235580986844,0.16370698600219122,0.0030042355809868438
10,13,loose_best_sqrtB,0.8,0.5,88.54470652094616,332676.17179428984,0.00026615884763666735,0.15351533165108278,0.0026615884763666734
10,14,loose_best_sqrtB,0.8,0.5,88.98644170166907,342754.06302419,0.00025962184347728305,0.15199613165824682,0.00259621843477283
10,15,loose_best_sqrtB,0.8,0.5,83.69717494141705,322305.48982972815,0.0002596827469046019,0.147426972759201,0.002596827469046019
10,16,loose_best_sqrtB,0.8,0.5,79.95109246158948,276272.78857887164,0.0002893918466340911,0.15210915254471816,0.0028939184663409104
10,17,loose_best_sqrtB,0.8,0.5,103.75568173482924,252350.53589122996,0.0004111569700789175,0.20654266322134243,0.004111569700789176
10,18,loose_best_sqrtB,0.8,0.5,83.55281873328175,355424.0369636651,0.00023507925757374517,0.14014825933993466,0.0023507925757374516
10,19,loose_best_sqrtB,0.8,0.5,83.1081947004532,284214.9221942758,0.0002924131993451223,0.1558907729923643,0.002924131993451223
10,20,loose_best_sqrtB,0.8,0.5,86.33891946943739,325555.98973609717,0.00026520451839766676,0.15131910506233862,0.0026520451839766672
10,21,loose_best_sqrtB,0.8,0.5,87.15165615286836,258462.9420467342,0.00033719207659994036,0.1714259254526854,0.0033719207659994033
10,22,loose_best_sqrtB,0.8,0.5,106.91278397369294,259468.78382998455,0.00041204488029568495,0.2098877444600297,0.004120448802956849
10,23,loose_best_sqrtB,0.8,0.5,81.63863295014923,315412.932429111,0.0002588309627047315,0.14536370234823184,0.002588309627047315
10,24,loose_best_sqrtB,0.8,0.5,79.94820360948381,302623.0561199812,0.0002641841128515558,0.1453308131286928,0.0026418411285155574
10,25,loose_best_sqrtB,0.8,0.5,95.01193376312591,317107.9815379409,0.0002996201271955624,0.16872310949957076,0.002996201271955624
10,26,loose_best_sqrtB,0.8,0.5,89.94064574112967,286301.8511045968,0.0003141462250213359,0.1680907919416087,0.0031414622502133585
10,27,loose_best_sqrtB,0.8,0.5,86.78065465016029,315631.74292293267,0.00027494273499401923,0.15446588793026933,0.0027494273499401923
10,28,loose_best_sqrtB,0.8,0.5,74.29082419862938,298779.92445819254,0.0002486473089962398,0.13591252157215658,0.0024864730899623977
10,29,loose_best_sqrtB,0.8,0.5,96.8467193119266,267239.897169087,0.00036239618536692566,0.18734161749046466,0.003623961853669256
10,30,loose_best_sqrtB,0.8,0.5,82.96094964021223,305452.0564425466,0.00027160056018747615,0.15010742951621897,0.0027160056018747615
10,31,loose_best_sqrtB,0.8,0.5,103.0930789637449,338748.04213133163,0.0003043355714031729,0.17712958842086132,0.0030433557140317285
10,32,loose_best_sqrtB,0.8,0.5,84.87224657123909,370186.53078501637,0.00022926886721475056,0.1394939562467098,0.002292688672147506
10,33,loose_best_sqrtB,0.8,0.5,89.20442043992485,318271.602430741,0.0002802776614647441,0.15812022752709393,0.0028027766146474405
10,34,loose_best_sqrtB,0.8,0.5,86.34180832154306,311481.9628551729,0.00027719681592506423,0.15470512062612518,0.002771968159250642
10,35,loose_best_sqrtB,0.8,0.5,92.29367785287943,311416.7996952941,0.00029636704873720434,0.16538683418688488,0.002963670487372043
10,36,loose_best_sqrtB,0.8,0.5,110.51451024538521,280267.3243308933,0.00039431821211847003,0.2087531654684753,0.003943182121184699
10,37,loose_best_sqrtB,0.8,0.5,91.77832014203604,332984.27441953396,0.00027562358703583277,0.15904801102079522,0.0027562358703583276
10,38,loose_best_sqrtB,0.8,0.5,78.55515324140599,281685.1227041857,0.0002788757620114053,0.14801056793391412,0.0027887576201140523
