working_point,qcd_threshold,top_threshold,n_seeds,S_over_sqrtB_mean,S_over_sqrtB_std_seed,S_over_B_mean,S_over_B_std_seed,median_background_test_rows,min_background_test_rows,median_neff_background,min_neff_background,median_signal_test_rows,min_signal_test_rows
loose_best_sqrtB,0.8,0.5,20,0.178741431593356,0.01905992797021509,0.0003644272256778334,5.147383191847074e-05,216.0,182,100.98258255474329,71.15016273639486,134.0,112
nominal_balanced,0.825,0.525,20,0.1758575292243613,0.01899294367795427,0.00041809047073027917,6.456127290579712e-05,160.5,132,73.87831803082169,43.69175991369574,111.5,92
intermediate,0.85,0.75,20,0.13873265659289385,0.025250391261126815,0.0005794870713140066,0.00014379617492085045,57.0,49,27.83249520285592,19.202314010432158,58.5,47
higher_purity,0.875,0.75,20,0.13293775923566273,0.025824564373989705,0.0006698512222316796,0.00018521992846876466,37.0,29,19.211095333635424,13.916279131917697,47.0,35
