final_split	sample_class	process_family	process_or_mode	group_id	member_id	source_index	generated_events	candidate_rows	selection_cap	selected_event_count	selected_event_min	selected_event_max	candidate_event_sha256	selected_event_sha256	candidate_path	candidate_sha256	root_access_mode	root_locator
train	background	background_other_bbh_hbb_4fs	bbh_hbb_4fs	6b17060f283655da93e0921e	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	0	10000	344	256	256	29	9974	e954987f670700724dbcf9f5460ebcab7721bd4e7bc704de901c3aae9d6312b0	79f76ca4cf46a076f535570bc9876260c1b2f08a2e77d8d553766a7c2cafa72b	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0000_bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_hh4b_candidates_v2.parquet	8521ad0f898c1e57f765044254a4b3d977f218229b8f3b2a2f0a4647e76a5779	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz::root/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root
train	background	background_other_ggh_hbb	ggh_hbb	6aeca1df086a5ba7b74a5ebf	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	6	10000	1	256	1	5102	5102	5e8e192c672480b2230df3cd4d00384ac4857b9ee4986b993922b7086cf9dc02	5e8e192c672480b2230df3cd4d00384ac4857b9ee4986b993922b7086cf9dc02	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0006_ggh_hbb_run2_frozen_v2_train_shard9702_10k_hh4b_candidates_v2.parquet	777a098be611a618512bbcf37751bf7f9879a079052d812bed05713a173a67b2	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz::root/ggh_hbb_run2_frozen_v2_train_shard9702_10k_delphes.root
train	background	background_other_schannel_single_top	schannel_single_top	383b2fdff4ebed10b6255b21	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz	276	10000	8	256	8	849	7318	f532eb160975cc009cfec233ee4afd79d3b5f1455ded63a49ae00358a4b85d8c	f532eb160975cc009cfec233ee4afd79d3b5f1455ded63a49ae00358a4b85d8c	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/schannel_single_top/0276_schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_hh4b_candidates_v2.parquet	508f23bd264fdfd33442243ac0cb4072209f85c498f5080e6de9d60d3459e393	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_bundle.tar.gz::root/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_delphes.root
train	background	background_other_tchannel_antitop	tchannel_antitop	6395728056957aad3d82db98	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz	279	10000	8	256	8	2499	5179	a7924ed863cad8baf2f43b2db262c5be6d984e49ea54efd695dd1a615124b543	a7924ed863cad8baf2f43b2db262c5be6d984e49ea54efd695dd1a615124b543	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tchannel_antitop/0279_tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_hh4b_candidates_v2.parquet	4dfef14d18b64f285379419e2b9eacc15cfde6667975980a6ca9ab72c8cdeece	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_bundle.tar.gz::root/tchannel_antitop_run2_frozen_v2_single_top_pilot_shard4202_10kevt_delphes.root
train	background	background_other_tchannel_top	tchannel_top	365f7cea18504cdf9e08046b	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz	287	10000	7	256	7	4961	9900	a33057d9bcce4e4961cb0e4874f868d967d5da1c886b56ca78b2a84e7d9d4b4c	a33057d9bcce4e4961cb0e4874f868d967d5da1c886b56ca78b2a84e7d9d4b4c	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tchannel_top/0287_tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_hh4b_candidates_v2.parquet	168259cf5ba71a9d5827f02a04b492017f09d5af94110f1da2fa6b1a52540cb7	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz::root/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_delphes.root
train	background	background_other_tth_hbb	tth_hbb	5bb3459b72f6233eef9887ef	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_bundle.tar.gz	483	10000	1222	256	256	28	9996	a415ad68a3bc687e08d61f8b7fa2c9449252850ce9faa7f1c317850221f2fa90	ecc5cedef2835df2887fc9faa4a96f5b7f448d01bbd8f1907d0a0d3cd9de45a6	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tth_hbb/0483_tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_hh4b_candidates_v2.parquet	b04004a2a9a0871b0e55157f7c1a9811419237bd9a0e29df27b28fade7156723	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_bundle.tar.gz::root/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2007_10000evt_delphes.root
train	background	background_other_tttt	tttt	89bdf3a3353582c2558f715d	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	486	10000	2016	256	256	12	9911	9135c142f098bc69b47eb9a0454272b2b6e12628ed060669af95c8b03fbcee58	7fe4df40254b12d7ec90e0b3e895914359ec3fb802af646305ae5cd85dc2d5c3	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tttt/0486_tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_hh4b_candidates_v2.parquet	7d201052b40905f5d5e591536f0fabced0c1ce54752990c06fb93f35ab4c28e4	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz::root/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_delphes.root
train	background	background_other_ttw	ttw	ed8dcb86ba6f9b5013d5a8e1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_bundle.tar.gz	500	10000	55	256	55	176	9964	dc68ed72a2b1e2dcbdecef82793f6e382dd952df8eebaf67837cd463a2c8ec90	dc68ed72a2b1e2dcbdecef82793f6e382dd952df8eebaf67837cd463a2c8ec90	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttw/0500_ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_hh4b_candidates_v2.parquet	6da5f5b732218b575d0c6d73b1de5612bb56ab9b09204e2693e85ef66108bcf5	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_bundle.tar.gz::root/ttw_run2_frozen_v2_wavec1_scaleout_shard3402_10kevt_delphes.root
train	background	background_other_ttz_zbb	ttz_zbb	bfc9c74d68ae59f0b2f11071	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz	489	10000	1072	256	256	66	9925	01916add2958ebdb0244d3e7f1ec78134c6c312b618a67a845ee8642e3fccf1a	27d89186c707b4a9cf678405997aefe27406a14d1c12227aab2124cedc32474b	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ttz_zbb/0489_ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_hh4b_candidates_v2.parquet	36e5985b792a3062fb222b0bf26387897aee56b08577c5f740eefb22d6836de9	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz::root/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_delphes.root
train	background	background_other_tw_antitop	tw_antitop	d18c07f548a58bc07eee0e75	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_bundle.tar.gz	298	10000	14	256	14	53	9106	7a586b97661d459d014e6e4a0461defcbe9bbc04e5868fea0fcf2ceb05391fc9	7a586b97661d459d014e6e4a0461defcbe9bbc04e5868fea0fcf2ceb05391fc9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/tw_antitop/0298_tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_hh4b_candidates_v2.parquet	3a0fb8f046a14cb0b1cf2aa21db31535ed87f247547ddf53419c1cdf7e4fad59	archive_or_container	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_bundle.tar.gz::root/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4325_10kevt_delphes.root
