repository_path	bytes	sha256
scripts/analysis/hh4b_multivariate_cut_optimizer.py	25080	7760ee7ae309bec6cd47eb1c73ed04ec12bb805f133527498fcb75aca8088a62
scripts/analysis/hh4b_multivariate_cut_prepare_fold_tables.py	14522	4250bb011564105c90bd700e64ffd09ec17db6b3a046ba9d2a802d1e8a22b763
scripts/analysis/hh4b_multivariate_cut_structure_worker.py	11953	d72e6b5f2319d9b02f9caac3333c509b48f6b36a3075195a018d050921831bc2
scripts/analysis/hh4b_multivariate_cut_make_jobs.py	2955	a5e6a2ef73e65b58c594b778570371a62f8221d30f6d89b9cf9ee811164fb87d
scripts/analysis/hh4b_multivariate_cut_merge_and_audit.py	15049	2d8a362d16f38551f7cc819c3c1ffb6123a310df5f791e35851f7f1908248560
scripts/analysis/hh4b_multivariate_cut_committed_canary.py	6510	1a707de7bf85ef4e06b7272c5fc22e79b135dd35062408675f6b4082acaf7cc4
scripts/analysis/hh4b_multivariate_cut_optimizer_selftest.py	2373	f80a81c6c7922e3fa9bde1b56f06f129d1cc73c5c4e28c92df9606629f8d86c2
scripts/condor/run_hh4b_multivariate_cut_structure_job.sh	1154	0079c2e83c58d1fc2b14f1519fa44bb668f72067cdbe0eccda67ffe5c5d77833
scripts/condor/hh4b_multivariate_cut_structure_jobs.sub	730	5fa3cca8191a5503da00293204740f852832674f057f097590369bbdc7c0ede8
configs/baselines/hh4b_multivariate_cut_nested_oof_v1.json	3977	784b380f6905b50f706697f241f875038b8166485d967754eacd34215dd3aa37
