process_or_mode	campaign_count	campaigns	root_entries	positive_weight_events	negative_weight_events	zero_weight_events	sum_root_nominal_weights_candidate	sum_squared_root_nominal_weights	all_campaign_entry_totals_closed	any_signed_weight_transport_observed	normalization_denominator_authorized	status
wwz_zbb	2	final_background_triboson_zbb_pilot10k_20260722_v1,final_background_triboson_zbb_scaleout40k_20260722_v1	26000	25957	43	0	2477.0847733467817	237.56804538855306	True	True	False	process_root_weight_candidate_fail_closed
wzz_zbb	2	final_background_triboson_zbb_pilot10k_20260722_v1,final_background_triboson_zbb_scaleout40k_20260722_v1	16500	16472	28	0	502.87738835439086	15.430941425074273	True	True	False	process_root_weight_candidate_fail_closed
zzz_zbb	2	final_background_triboson_zbb_pilot10k_20260722_v1,final_background_triboson_zbb_scaleout40k_20260722_v1	7500	7484	16	0	78.765035875141621	0.83430559284795258	True	True	False	process_root_weight_candidate_fail_closed
