member_index	sample_class	process_or_mode	campaign	dataset_split	generated_events	candidate_rows_recorded_in_prior_source_map	candidate_path	candidate_sha256	remote_bundle_path	remote_bundle_uri	bundle_sha256_expected	bundle_size_bytes	root_archive_member	root_basename	campaign_manifest_generated_events	candidate_parquet_access_authorized	root_nominal_weight_access_authorized_for_this_audit	normalization_denominator_authorized	status	delphes_entries	nominal_weight_branch	nominal_weight_typename	positive_weight_events	negative_weight_events	zero_weight_events	sum_root_nominal_weights	sum_squared_root_nominal_weights	minimum_root_nominal_weight	maximum_root_nominal_weight	root_weight_classification	ngen_denominator_candidate_supported	signed_weight_transport_observed	ordinal	observed_bundle_size_bytes	observed_bundle_sha256	extracted_root_size_bytes	extracted_root_sha256	root_files_opened	root_branches_read	parquet_files_opened	candidate_files_opened	validation_candidate_files_opened	evaluation_candidate_files_opened
402	background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	validation	5200	14	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/validation/wwz_zbb/0313_wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_hh4b_candidates_v2.parquet	0399f0317630bf6d2d3b56f4d86697ea9034a63ab7e1c468962f9cb11ede7168	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	b7a6d98bbae1e7bf05a372abe096330ddc5435c5c1d11bdb1e68de97b65dbec6	474353085	root/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_delphes.root	wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_delphes.root	5200	False	True	False	triboson_root_weight_audit_complete	5200	Event/Event.Weight	float[]	5188	12	0	495.21063286066055	47.598660409793609	-0.095674388110637665	0.095674388110637665	signed_uniform_magnitude	False	True	1	474353085	b7a6d98bbae1e7bf05a372abe096330ddc5435c5c1d11bdb1e68de97b65dbec6	436866570	cfefbbc80b097141da7c8f1fd0f2a5cf9e0e42c381d3dfceec173cc683f13d93	1	1	0	0	0	0
398	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0309_wwz_zbb_run2_frozen_v2_train_shard9901_5200_hh4b_candidates_v2.parquet	59e8540af0a3eadda3cc08b1d4c27d0e7b795ae2b0ad14f259e749d1d1a856cd	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	975fe361b082fb12ebc655daa6b5b737da3a30c65e7cd565cd0674e7f4d8bc42	472106981	root/wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes.root	20800	False	True	False	triboson_root_weight_audit_complete	5200	Event/Event.Weight	float[]	5196	4	0	497.16589617729187	47.680042725786009	-0.09575614333152771	0.09575614333152771	signed_uniform_magnitude	False	True	2	472106981	975fe361b082fb12ebc655daa6b5b737da3a30c65e7cd565cd0674e7f4d8bc42	434555810	3498922a5e4441e0094efc32c8c229f50d8944806df774f23f12a86a96e631e6	1	1	0	0	0	0
399	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0310_wwz_zbb_run2_frozen_v2_train_shard9902_5200_hh4b_candidates_v2.parquet	9bdb10e2137561841ad243ddfed39001f77d90921ae268573558d87a7ea86671	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9902_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9902_5200_bundle.tar.gz	76d5820f72657e789a8f8430776f5ce10b54cbb747e11b8919b241cb070d5036	473233558	root/wwz_zbb_run2_frozen_v2_train_shard9902_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9902_5200_delphes.root	20800	False	True	False	triboson_root_weight_audit_complete	5200	Event/Event.Weight	float[]	5192	8	0	493.58571624755859	47.14097107146813	-0.09521329402923584	0.09521329402923584	signed_uniform_magnitude	False	True	3	473233558	76d5820f72657e789a8f8430776f5ce10b54cbb747e11b8919b241cb070d5036	435733290	98eac3de9eb01e3ad3e85260965701f7ffe21b5b41e9f81d293e9d0043229ab5	1	1	0	0	0	0
400	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	10	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0311_wwz_zbb_run2_frozen_v2_train_shard9903_5200_hh4b_candidates_v2.parquet	71ab19fdcddb163b40d930e59af0f13a125147eae0906f551edeb337e2e1e597	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9903_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9903_5200_bundle.tar.gz	1cddfa6260638230bac9a398aab96f442d8d5d9bea884c7af4bee29c4da3f825	472648224	root/wwz_zbb_run2_frozen_v2_train_shard9903_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9903_5200_delphes.root	20800	False	True	False	triboson_root_weight_audit_complete	5200	Event/Event.Weight	float[]	5190	10	0	495.90987846255302	47.65948477568422	-0.095735497772693634	0.095735497772693634	signed_uniform_magnitude	False	True	4	472648224	1cddfa6260638230bac9a398aab96f442d8d5d9bea884c7af4bee29c4da3f825	435093913	58d3beb44e04ad44ff86e89e889f744d502903b4aaab8ab27348ce2e47acbd9b	1	1	0	0	0	0
401	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	5200	5	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0312_wwz_zbb_run2_frozen_v2_train_shard9904_5200_hh4b_candidates_v2.parquet	7af1cc27a669db4270a5e1b1f0d8c7e54844a95b024d21a20b574c1398d47276	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9904_5200_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9904_5200_bundle.tar.gz	3c63c714819c7d8f5c4e578205ae14c79d57b5f7733d0cc46b704a0eb8ef751c	474256123	root/wwz_zbb_run2_frozen_v2_train_shard9904_5200_delphes.root	wwz_zbb_run2_frozen_v2_train_shard9904_5200_delphes.root	20800	False	True	False	triboson_root_weight_audit_complete	5200	Event/Event.Weight	float[]	5191	9	0	495.21264959871769	47.488886405821091	-0.095564000308513641	0.095564000308513641	signed_uniform_magnitude	False	True	5	474256123	3c63c714819c7d8f5c4e578205ae14c79d57b5f7733d0cc46b704a0eb8ef751c	436768379	c5c48cb4e461d021afef6fcda321583af484a9d30b46097e361106ecb4748d42	1	1	0	0	0	0
407	background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	validation	3300	13	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/validation/wzz_zbb/0318_wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_hh4b_candidates_v2.parquet	5967353dfeba19eab109a72763204b4f3c63d160a2553ca8da1ed0d14ebad2f4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz	91ca4c2ff62b87985db8b5aeceb98eaa553dcbda214fd8d487f9050132ec34d7	291219832	root/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_delphes.root	wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_delphes.root	3300	False	True	False	triboson_root_weight_audit_complete	3300	Event/Event.Weight	float[]	3296	4	0	100.86702873557806	3.0980808166724527	-0.030640045180916786	0.030640045180916786	signed_uniform_magnitude	False	True	6	291219832	91ca4c2ff62b87985db8b5aeceb98eaa553dcbda214fd8d487f9050132ec34d7	278629421	7f001981c857c342a802a3e7352841e43d6cde1200fd6fc3d9cb3d68f801cf3c	1	1	0	0	0	0
403	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0314_wzz_zbb_run2_frozen_v2_train_shard9911_3300_hh4b_candidates_v2.parquet	fb131dc66fcee78bcec818d4d53965d9074275242dcda863a1928f7e3ba347b6	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	ad68a0d5a944394f35ba92c6025a0d3a66416dee2ee38db69d39183ffe91fb01	291764214	root/wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes.root	13200	False	True	False	triboson_root_weight_audit_complete	3300	Event/Event.Weight	float[]	3297	3	0	100.66672565415502	3.0820425887001601	-0.030560633167624474	0.030560633167624474	signed_uniform_magnitude	False	True	7	291764214	ad68a0d5a944394f35ba92c6025a0d3a66416dee2ee38db69d39183ffe91fb01	279171722	c004c4abc8e0e0b32c35b46d09526c4c427e63ec861ef589f1e9fa899aae0f46	1	1	0	0	0	0
404	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	20	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0315_wzz_zbb_run2_frozen_v2_train_shard9912_3300_hh4b_candidates_v2.parquet	3f058e56c24549d8cbd59c8b20a5bd804eedb7fd952910a83c68310e2f4f8125	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9912_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9912_3300_bundle.tar.gz	1ffd7a2af3b2e810619e907259864aa4a1e58e9ea1ed31ab6318b76df2e2bfc6	289480239	root/wzz_zbb_run2_frozen_v2_train_shard9912_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9912_3300_delphes.root	13200	False	True	False	triboson_root_weight_audit_complete	3300	Event/Event.Weight	float[]	3289	11	0	100.03685921803117	3.0733791277445084	-0.03051765076816082	0.03051765076816082	signed_uniform_magnitude	False	True	8	289480239	1ffd7a2af3b2e810619e907259864aa4a1e58e9ea1ed31ab6318b76df2e2bfc6	276837549	a2a02daff2b6896f852c334e492c4f5fee3553cfaf6e1352b871cfb58ddf8fc6	1	1	0	0	0	0
405	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	20	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0316_wzz_zbb_run2_frozen_v2_train_shard9913_3300_hh4b_candidates_v2.parquet	1125ebe808b757ff68d79edf6ac14281864382a4011ca9283c2b299f56881cb1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9913_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9913_3300_bundle.tar.gz	25fb6de6b5fe19413a3a9902bc8df5dc109f1390977983d5ab34179af2bf9eb7	289011377	root/wzz_zbb_run2_frozen_v2_train_shard9913_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9913_3300_delphes.root	13200	False	True	False	triboson_root_weight_audit_complete	3300	Event/Event.Weight	float[]	3297	3	0	100.83515885844827	3.0923648196835636	-0.030611766502261162	0.030611766502261162	signed_uniform_magnitude	False	True	9	289011377	25fb6de6b5fe19413a3a9902bc8df5dc109f1390977983d5ab34179af2bf9eb7	276360365	3cd4e50b3e4a8b872d8ffc87c8e81e55cd40fde27ec26c248cb542d1543d0972	1	1	0	0	0	0
406	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	train	3300	19	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0317_wzz_zbb_run2_frozen_v2_train_shard9914_3300_hh4b_candidates_v2.parquet	f79c4796968beeacfebe8e7943a0025c70be0d69cd3de24117b805fc189c00c3	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9914_3300_bundle.tar.gz	root://cmseos.fnal.gov//store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9914_3300_bundle.tar.gz	3ab59356faf7cb011282505fd36b16caa1fa239ae6005e57cf764c02be0906f9	292880611	root/wzz_zbb_run2_frozen_v2_train_shard9914_3300_delphes.root	wzz_zbb_run2_frozen_v2_train_shard9914_3300_delphes.root	13200	False	True	False	triboson_root_weight_audit_complete	3300	Event/Event.Weight	float[]	3293	7	0	100.47161588817835	3.0850740722735877	-0.03057565912604332	0.03057565912604332	signed_uniform_magnitude	False	True	10	292880611	3ab59356faf7cb011282505fd36b16caa1fa239ae6005e57cf764c02be0906f9	280348519	b05a226ca124566794447d75b6ff8c52df211da7a66dd5981cbf514a35703b11	1	1	0	0	0	0
