sample	threshold	events	primary_fit_success	primary_fit_failure	primary_fit_success_fraction	physical_primary_peak_40_200	physical_primary_fraction_of_successes	valid_secondary_peak	valid_secondary_fraction	physical_secondary_peak_40_200	physical_secondary_fraction_of_valid	primary_peak_in_target_region	primary_region_fraction_of_successes	either_physical_peak_in_target_region	either_region_fraction_of_successes	events_with_any_parameter_at_bound	catastrophic_bg_amp_gt_1	sensitivity_events	sensitivity_primary_fit_success	sensitivity_either_region	sensitivity_either_region_fraction_of_successes
ZH	0.8	545	527	18	0.9669724770642202	467	0.8861480075901328	455	0.8348623853211009	370	0.8131868131868132	207	0.3927893738140417	247	0.4686907020872865	281	0	545	527	247	0.4686907020872865
ZH	0.9	470	455	15	0.9680851063829787	411	0.9032967032967033	393	0.8361702127659575	325	0.8269720101781171	187	0.41098901098901097	220	0.4835164835164835	231	0	470	455	220	0.4835164835164835
ZH	0.95	419	405	14	0.9665871121718377	367	0.9061728395061729	344	0.8210023866348448	289	0.8401162790697675	174	0.42962962962962964	204	0.5037037037037037	209	0	419	405	204	0.5037037037037037
ZH	0.99	279	273	6	0.978494623655914	256	0.9377289377289377	240	0.8602150537634409	212	0.8833333333333333	138	0.5054945054945055	160	0.5860805860805861	131	0	279	273	160	0.5860805860805861
ZH	0.997	187	183	4	0.9786096256684492	176	0.9617486338797814	158	0.8449197860962567	147	0.930379746835443	109	0.5956284153005464	122	0.6666666666666666	77	0	187	183	122	0.6666666666666666
ZZ	0.8	305	299	6	0.980327868852459	248	0.8294314381270903	256	0.839344262295082	196	0.765625	98	0.3277591973244147	120	0.4013377926421405	203	2	303	297	120	0.40404040404040403
ZZ	0.9	236	231	5	0.9788135593220338	194	0.8398268398268398	194	0.8220338983050848	145	0.7474226804123711	87	0.37662337662337664	104	0.45021645021645024	155	1	235	230	104	0.45217391304347826
ZZ	0.95	196	192	4	0.9795918367346939	163	0.8489583333333334	164	0.8367346938775511	124	0.7560975609756098	77	0.4010416666666667	93	0.484375	127	1	195	191	93	0.4869109947643979
ZZ	0.99	110	108	2	0.9818181818181818	98	0.9074074074074074	90	0.8181818181818182	73	0.8111111111111111	47	0.4351851851851852	59	0.5462962962962963	70	1	109	107	59	0.5514018691588785
ZZ	0.997	67	65	2	0.9701492537313433	61	0.9384615384615385	56	0.835820895522388	47	0.8392857142857143	30	0.46153846153846156	40	0.6153846153846154	42	1	66	64	40	0.625
