sample	source_entry	fit_source	p_signal	fit_success	p1_x_mean_gev	p1_y_mean_gev	p1_physical_40_200	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_valid	p2_physical_40_200	p2_in_target_region	either_physical_peak_in_target_region	any_parameter_at_bound	bg_amp	catastrophic_bg_amp_gt_1
ZH	3	accepted_high_tail	0.9990524649620056	True	84.04336760787722	127.3648629032628	True	True	0.0265419608703299	137.93691100192225	89.65160602950111	True	True	True	True	False	0.0001545492359624984	False
ZH	6	new_increment	0.9963783025741577	True	76.09777436867108	110.23425041786003	True	False	0.003556290976483728	139.80256853765275	73.374567095769	True	True	False	False	False	0.00011412256376765782	False
ZH	7	new_increment	0.9940333962440491	True	94.43776647695894	120.97862293425283	True	True	0.01973431638244362	118.12995044302262	226.6724827912875	True	False	False	True	False	0.002178634806997491	False
ZH	9	accepted_high_tail	0.9976218342781067	True	84.87002738686984	164.43410181889018	True	False	0.0	500.0	500.0	False	False	False	False	False	0.0007020124658740453	False
ZH	10	new_increment	0.9729859232902527	True	102.29309515242251	129.35219376956033	True	True	0.0030611402182536616	99.62505634226065	162.37630272096055	True	True	False	True	False	0.0008749304752136326	False
ZH	13	new_increment	0.9063413739204407	True	88.18589646740351	201.14938615447545	False	False	0.01808525924229415	148.60222572484173	212.34105495176033	True	False	False	False	True	0.03353152858123033	False
ZH	15	accepted_high_tail	0.9971621036529541	True	94.55610551483116	106.4017136613921	True	False	0.020355734262447224	100.04063958498922	200.65115479596534	True	False	False	False	True	0.0008144706360701878	False
ZH	17	new_increment	0.9862446784973145	True	116.98058484166658	106.71220793964852	True	False	0.002231552001689017	108.76600915652125	156.7242077230525	True	True	False	False	True	9.729154244508544e-08	False
ZH	18	accepted_high_tail	0.9994267821311951	True	92.97233073297991	136.92488037697723	True	True	0.006192560545430354	149.19268418389288	137.22237659930235	True	True	False	True	True	0.00199701573358209	False
ZH	19	accepted_high_tail	0.9998435378074646	True	78.93479109310506	115.7635899769804	True	True	0.10464851119496049	137.06921818237814	79.6439433952229	True	True	True	True	True	0.0001720467180279237	False
ZH	20	new_increment	0.9573683738708496	True	84.9882145559905	148.58920839083416	True	False	0.0	500.0	500.0	False	False	False	False	True	0.0002607879548150654	False
ZH	22	accepted_high_tail	0.9975144863128662	True	89.04913228482432	133.4396384018505	True	True	0.013253679758091937	67.3933759239216	203.8381059686845	True	False	False	True	False	0.0027209141689247996	False
ZH	23	accepted_high_tail	0.9999803304672241	True	83.87944866211541	125.5809398169883	True	True	0.019465693857900358	198.89216450835988	128.0275265140142	True	True	False	True	False	0.0002600842184301401	False
ZH	24	new_increment	0.9962910413742065	True	83.83133515701465	116.54992595711786	True	True	0.004318932182811715	133.67865734576804	93.30066418984832	True	True	True	True	False	8.762111488211416e-05	False
ZH	25	new_increment	0.9954773187637329	True	92.25553707459002	114.46611758205118	True	True	0.002565784718462675	109.42763186893613	135.93331695304485	True	True	False	True	True	1.7552637822033546e-38	False
ZH	26	accepted_high_tail	0.9997091889381409	True	92.24683335299515	116.8187015877546	True	True	0.0070399536663638485	128.49633296066315	109.83001136363663	True	True	False	True	False	0.00016585202084562516	False
ZH	27	new_increment	0.9920516610145569	True	114.37410901321614	167.4568701907802	True	False	0.02091138920602636	123.85414917503823	56.803310906062244	True	True	False	False	True	0.0034690954067602346	False
ZH	28	new_increment	0.9649919867515564	True	67.80798455052438	97.90610069565184	True	False	0.0	500.0	500.0	False	False	False	False	True	0.00045767589382285346	False
ZH	29	accepted_high_tail	0.9978935122489929	True	90.40638425820548	129.40301737819033	True	True	0.012833359853944114	184.89548635744103	210.55958901962552	True	False	False	True	True	0.0024590714580237706	False
ZH	32	new_increment	0.994455873966217	True	30.246007449347996	94.95876106427278	False	False	0.012772150956298444	118.70101580886507	103.56998511251255	True	True	True	True	True	0.0085324523731889	False
