seed,qcd_auc,qcd_weighted_auc,top_auc,top_weighted_auc,qcd_ntrain,qcd_ntest,top_ntrain,top_ntest
0,0.7996585231328273,0.780591317309828,0.7358896097670108,0.7417398434831692,10776,5747,1337,735
1,0.796515903472421,0.7741588278640125,0.7350379980686064,0.7462292505356078,10774,5749,1350,722
2,0.7817728750478243,0.7797964350420621,0.7305241154277556,0.7531792509410142,10711,5812,1353,719
3,0.7875229406441334,0.764560558925494,0.7125635451231672,0.7268610373957256,10725,5798,1343,729
4,0.7884939755902257,0.7775733128212339,0.72937126190652,0.7271864051384066,10705,5818,1373,699
