tag,ht_slice,n_generated,xsec_pb,n_ge4_jets,n_ge4_btags,candidate_rows,candidate_eff,effective_candidate_xsec_pb,median_mbb1,median_mbb2,median_avg_mbb,median_delta_mbb,median_mhh,median_ht_pt30_eta25
qcd_bbbb_iht100to200_20000,iht100to200,20000,206.2399139404297,3672,315,315,0.01575,3.2482786445617675,114.43820572486902,98.77267190049858,105.21299970591792,27.76898505368584,264.575315486871,123.67389
qcd_bbbb_iht200to400_20000,iht200to400,20000,126.50462341308594,10433,1415,1415,0.07075,8.95020210647583,136.52233473242237,116.40567047163236,127.96766087413437,38.57542414573773,381.4950952905596,233.70367
qcd_bbbb_iht400to600_20000,iht400to600,20000,9.774867057800291,15705,2903,2903,0.14515,1.4188219534397126,172.8691156082576,128.7457052249088,156.73050483160995,68.4642766294676,583.2489103501075,457.70984
qcd_bbbb_iht600plus_20000,iht600plus,20000,1.7876876592636108,17409,3686,3686,0.1843,0.3294708356022834,236.99229461400316,162.0093215056704,213.39750675664524,112.59597910290246,844.712527757899,710.37683
