ht_slice,ht_slice_display,xsec_pb_10k,candidate_rows_10k,candidate_eff_10k,effective_candidate_xsec_pb_10k,median_mhh_10k,xsec_pb_20k,candidate_rows_20k,candidate_eff_20k,effective_candidate_xsec_pb_20k,median_mhh_20k,xsec_ratio_20k_over_10k,candidate_rows_ratio_20k_over_10k,effective_candidate_xsec_ratio_20k_over_10k,candidate_eff_ratio_20k_over_10k,median_mhh_delta_20k_minus_10k
iht100to200,100–200,204.9818878173828,148,0.0148,3.0337319396972657,279.3769513660891,206.2399139404297,315,0.01575,3.2482786445617675,264.575315486871,1.0061372550347845,2.1283783783783785,1.0707203896485038,1.0641891891891893,-14.80163587921811
iht200to400,200–400,126.32364654541016,662,0.0662,8.362625401306152,375.11894408557407,126.50462341308594,1415,0.07075,8.95020210647583,381.4950952905596,1.001432644422679,2.1374622356495467,1.0702622295000688,1.0687311178247734,6.376151204985547
iht400to600,400–600,9.72539234161377,1480,0.148,1.439358066558838,585.0307873824629,9.774867057800291,2903,0.14515,1.4188219534397126,583.2489103501075,1.0050871691802936,1.9614864864864865,0.9857324500440517,0.9807432432432432,-1.7818770323553963
iht600plus,600+,1.789863348007202,1871,0.1871,0.3348834324121475,841.4186675177621,1.7876876592636108,3686,0.1843,0.3294708356022834,844.712527757899,0.9987844386299024,1.9700694815606627,0.9838373706012344,0.9850347407803314,3.293860240136951
