sample_class	process_or_mode	campaign	candidate_type	value	confidence	source_archive_path	source_member_name	source_line	normalization_denominator_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	31	medium_text_event_count	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_mg5.log	82	False	candidate_requires_weight_strategy_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	10000	high_json_key	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	./metadata/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	10000	high_banner_generation_info	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	367	False	candidate_requires_weight_strategy_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	31	medium_text_event_count	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	83	False	candidate_requires_weight_strategy_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	10000	high_json_key	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_provenance.json	./metadata/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	10000	high_banner_generation_info	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	367	False	candidate_requires_weight_strategy_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	23	medium_text_event_count	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_mg5.log	./logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_mg5.log	98	False	candidate_requires_weight_strategy_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	10000	high_banner_generation_info	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	361	False	candidate_requires_weight_strategy_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	10000	high_json_key	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_provenance.json	./metadata/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	23	medium_text_event_count	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_mg5.log	./logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_mg5.log	98	False	candidate_requires_weight_strategy_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	10000	high_banner_generation_info	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	361	False	candidate_requires_weight_strategy_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	10000	high_json_key	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/ggh_hbb_run2_frozen_v2_train_shard9701_10k_provenance.json	./metadata/ggh_hbb_run2_frozen_v2_train_shard9701_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	23	medium_text_event_count	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	92	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	10000	high_banner_generation_info	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	375	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	10000	high_json_key	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	./metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	23	medium_text_event_count	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	91	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	10000	high_banner_generation_info	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	375	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	10000	high_json_key	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	./metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	23	medium_text_event_count	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	93	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	10000	high_banner_generation_info	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	375	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	10000	high_json_key	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	./metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	generated_events	23	medium_text_event_count	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	91	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	generated_events	10000	high_banner_generation_info	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	375	False	candidate_requires_weight_strategy_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	generated_events	10000	high_json_key	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	./metadata/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_generator.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	./metadata/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_provenance.json	json:generator.n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_generator.json	./metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_generator.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_provenance.json	./metadata/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_provenance.json	json:generator.n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_generator.json	./metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_generator.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_provenance.json	./metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_provenance.json	json:generator.n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_generator.json	./metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_generator.json	json:n_events	False	candidate_requires_weight_strategy_review
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generated_events	10000	high_json_key	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_provenance.json	./metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_provenance.json	json:generator.n_events	False	candidate_requires_weight_strategy_review
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	generated_events	23	medium_text_event_count	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/logs/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_mg5.log	./logs/schannel_single_top_run2_frozen_v2_single_top_pilot_shard4203_10kevt_mg5.log	81	False	candidate_requires_weight_strategy_review
