sample_class	process_or_mode	campaign	provenance_files	process_definition_lines	run_card_settings	pythia_settings	qcd_sampling_candidates	generator_cross_section_candidate_count	generator_cross_section_candidate_pb	generator_cross_section_candidate_min_pb	generator_cross_section_candidate_max_pb	generator_cross_section_status	generated_event_candidate_values	generated_event_status	sum_generator_weight_candidate_count	sum_generator_weights_status	sqrt_s_candidate_GeV	beam_energy_status	process_definition_status	external_reference_cross_section_assigned	normalization_denominator_authorized	physical_weight_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	11	33	1	0	0	3	0.028709590999999996	0.028709590999999996	0.028709590999999996	candidate_consistent_within_2pct_not_authoritative	31,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	11	33	1	0	0	3	0.028599411000000002	0.028599411000000002	0.028599411000000002	candidate_consistent_within_2pct_not_authoritative	31,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	11	33	1	0	0	3	12.8776194	12.8776194	12.8776194	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	11	33	1	0	0	3	12.838228700000002	12.838228700000002	12.838228700000002	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	11	33	1	0	0	3	347.01240100000001	347.01240100000001	347.01240100000001	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	11	33	1	0	0	3	347.45968900000003	347.45968900000003	347.45968900000003	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	11	33	1	0	0	3	9.7152350999999992	9.7152350999999992	9.7152350999999992	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	11	33	1	0	0	3	9.8126595999999999	9.8126595999999999	9.8126595999999999	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	7	0	0	0	0	2	186515000000	56420000000	316610000000	candidate_conflict_requires_review	10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	not_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	7	0	0	0	0	2	187715000000	56420000000	319010000000	candidate_conflict_requires_review	10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	not_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	7	0	0	0	0	2	186495000000	56420000000	316570000000	candidate_conflict_requires_review	10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	not_located	False	False	False	generator_provenance_parsed_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	7	0	0	0	0	2	186750000000	56420000000	317080000000	candidate_conflict_requires_review	10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	not_located	False	False	False	generator_provenance_parsed_review_pending
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	11	39	1	0	0	3	7.0188000000000006	7.0188000000000006	7.0188000000000006	candidate_consistent_within_2pct_not_authoritative	23,10000	candidate_values_located_require_campaign_denominator_review	0	not_located_do_not_substitute_event_count_yet		not_located	definition_lines_located	False	False	False	generator_provenance_parsed_review_pending
