sample_class	process_or_mode	campaign	setting	value	source_archive_path	source_member_name	source_line	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	lhaid	10041	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	lhaid	10041	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	lhaid	10041	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	lhaid	10041	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	lhaid	10041	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	lhaid	10041	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	lhaid	10041	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	lhaid	10041	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_proven111_20260720_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	lhaid	10041	background/schannel_single_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	lhaid	10041	background/schannel_single_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	lhaid	10041	background/tchannel_antitop/unified_background_5m_single_top_pilot50k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	lhaid	10041	background/tchannel_antitop/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	lhaid	10041	background/tchannel_top/unified_background_5m_single_top_pilot50k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	lhaid	10041	background/tchannel_top/unified_background_5m_single_top_scaleout280k_20260722_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	lhaid	10041	background/ttbar_inclusive/unified_background_5m_wavea_pilots_20260720_retry1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	lhaid	10041	background/ttbar_inclusive/unified_background_5m_wavea_proven111_20260720_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	lhaid	10041	background/tth_hbb/unified_background_5m_waveb_priority_pilots10k_20260721_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	lhaid	10041	background/tth_hbb/unified_background_5m_waveb_priority_scale400k_20260721_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	lhaid	10041	background/tttt/unified_background_5m_waveb_priority_pilots10k_20260721_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	lhaid	10041	background/tttt/unified_background_5m_waveb_priority_scale400k_20260721_v1/cards/pythia_card_default.dat	./cards/pythia_card_default.dat	15	parsed_run_card_candidate
