sample_class	process_or_mode	campaign	definition_line	source_archive_path	source_member_name	source_line	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	import model sm	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	38	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define l+ = e+ mu+	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	39	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define l- = e- mu-	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	40	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define vl = ve vm vt	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	41	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define vl~ = ve~ vm~ vt~	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	42	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define p = g u c d s u~ c~ d~ s~	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	43	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define j = g u c d s u~ c~ d~ s~	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	44	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generate p p > b b~ h QCD=2 QED=1	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	./cards/proc_card_mg5.dat	45	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	import model sm	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	74	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define l+ = e+ mu+	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	75	parsed_definition_candidate
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	define l- = e- mu-	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	76	parsed_definition_candidate
