sample_class	process_or_mode	campaign	value_pb	confidence	source_archive_path	source_member_name	source_line	authoritative_generator_cross_section	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	56420000000	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	72	False	candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	316820000000	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_pythia_hepmc.log	74	False	candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	0.028709590999999996	high_banner_generation_info	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	368	False	candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	56420000000	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	72	False	candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	318840000000	medium_text_cross_section	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	74	False	candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	0.028599411000000002	high_banner_generation_info	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	368	False	candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	56420000000	medium_text_cross_section	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	74	False	candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	319970000000	medium_text_cross_section	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	76	False	candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	12.8776194	high_banner_generation_info	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	362	False	candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	56420000000	medium_text_cross_section	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	74	False	candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	314520000000	medium_text_cross_section	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	76	False	candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	12.838228700000002	high_banner_generation_info	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	362	False	candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	56420000000	medium_text_cross_section	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	72	False	candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	319590000000	medium_text_cross_section	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	74	False	candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	347.01240100000001	high_banner_generation_info	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	376	False	candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	56420000000	medium_text_cross_section	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	72	False	candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	318880000000	medium_text_cross_section	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	74	False	candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	347.45968900000003	high_banner_generation_info	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	376	False	candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	56420000000	medium_text_cross_section	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	72	False	candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	317040000000	medium_text_cross_section	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	74	False	candidate_requires_review
