sample_class	process_or_mode	campaign	field	value	source_archive_path	importance_weight_authorized	stitching_authorized	status
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	pthat_min_GeV	50	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_generator.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	pthat_max_GeV	75	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_generator.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	physics_role	inclusive_QCD_importance_stratum	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_generator.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generator.physics_role	inclusive_QCD_importance_stratum	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generator.pthat_max_GeV	75	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generator.pthat_min_GeV	50	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	physics_role	inclusive_QCD_importance_stratum	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	tag	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773	background/qcd_hardqcd/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/metadata/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	pthat_min_GeV	200	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_generator.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	pthat_max_GeV	300	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_generator.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	physics_role	inclusive_QCD_importance_stratum	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_generator.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generator.physics_role	inclusive_QCD_importance_stratum	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generator.pthat_max_GeV	300	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generator.pthat_min_GeV	200	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	physics_role	inclusive_QCD_importance_stratum	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	tag	qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909	background/qcd_hardqcd/qcd_hardqcd_importance_testfill_bin3_10k_20260717/metadata/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_provenance.json	False	False	structured_qcd_candidate_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	ihtmax	-1.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	ihtmin	0.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	ihtmax	-1.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	ihtmin	0.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	ihtmax	600.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	ihtmin	400.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	ihtmax	600.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	ihtmin	400.0	exact_run_card.dat	False	False	qcd_phase_space_candidate_fail_closed
