sample_class	process_or_mode	campaign	card_kind	member_name	archive_path	size_bytes	sha256	included_in_card_only_fingerprint	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	proc_card	./cards/proc_card_mg5.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/proc_card_mg5.dat	2159	4d378340dd98cba49d8afc1d21cde9da35eb8fabb5470bdfbd55e30709a1208d	True	exact_generator_card_hash_verified
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia8_card	./cards/pythia8_card_default.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia8_card_default.dat	4434	eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255	True	exact_generator_card_hash_verified
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	pythia6_card	./cards/pythia_card_default.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/pythia_card_default.dat	350	392b11bcb52bfabab408edd2ee691e138f9e4f2d5d5c514287a25f4f29d7215b	True	exact_generator_card_hash_verified
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	run_card	./cards/run_card.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/cards/run_card.dat	9775	8beb6eeebe4ae4b20510f218aa7e121eddcd97fcb7f339ba685414435079fd7c	True	exact_generator_card_hash_verified
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	proc_card	./cards/proc_card_mg5.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/proc_card_mg5.dat	2159	4d378340dd98cba49d8afc1d21cde9da35eb8fabb5470bdfbd55e30709a1208d	True	exact_generator_card_hash_verified
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	pythia8_card	./cards/pythia8_card_default.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia8_card_default.dat	4434	eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255	True	exact_generator_card_hash_verified
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	pythia6_card	./cards/pythia_card_default.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/pythia_card_default.dat	350	392b11bcb52bfabab408edd2ee691e138f9e4f2d5d5c514287a25f4f29d7215b	True	exact_generator_card_hash_verified
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	run_card	./cards/run_card.dat	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/run_card.dat	9775	83ffd1a31ac7cb6eaa013ec990fe6568994b038ab71f27fd8b0553b277099849	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	proc_card	./cards/proc_card_mg5.dat	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/proc_card_mg5.dat	2157	a201ab063ea83a16e3e90ec66f11f55db0297478ed8a55d9b2f995a0b5e93519	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	pythia8_card	./cards/pythia8_card_default.dat	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/pythia8_card_default.dat	4434	eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	pythia6_card	./cards/pythia_card_default.dat	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/pythia_card_default.dat	350	392b11bcb52bfabab408edd2ee691e138f9e4f2d5d5c514287a25f4f29d7215b	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	run_card	./cards/run_card.dat	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/run_card.dat	9020	8661c021763a62c75af03b2aa3749d53e49ad53ba9addcb109aab5c42779209e	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	proc_card	./cards/proc_card_mg5.dat	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/proc_card_mg5.dat	2157	a201ab063ea83a16e3e90ec66f11f55db0297478ed8a55d9b2f995a0b5e93519	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	pythia8_card	./cards/pythia8_card_default.dat	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/pythia8_card_default.dat	4434	eae9ab88aed291ccfa93aad879abb00c479fe5e852b50a14f48ee2c4ee25a255	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	pythia6_card	./cards/pythia_card_default.dat	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/pythia_card_default.dat	350	392b11bcb52bfabab408edd2ee691e138f9e4f2d5d5c514287a25f4f29d7215b	True	exact_generator_card_hash_verified
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	run_card	./cards/run_card.dat	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/run_card.dat	9020	d40ad11e16299af72af6fd1e93ed5129a5b49bf998791228bbea9a506a6f6c91	True	exact_generator_card_hash_verified
