sample_class	process_or_mode	campaign	lpp1	lpp2	ebeam1_GeV	ebeam2_GeV	sqrt_s_GeV	path_energy_tag	beam_energy_convention_authorized	status
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	1	1	6500.0	6500.0	13000	run2_13tev	True	run_card_and_path_13tev_agree
