sample_class	process_or_mode	campaign	matrix_element_decay_commands	pythia_decay_settings	decay_control_mode	numeric_branching_fraction_authorized	generator_xsec_branching_scope_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generate p p > t t~ h, h > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	generate p p > t t~ h, h > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generate p p > t t~ z, z > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	generate p p > t t~ z, z > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generate p p > h j j QCD=0, h > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	generate p p > h j j QCD=0, h > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	generate p p > w+ h, h > b b~ || add process p p > w- h, h > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	generate p p > w+ h, h > b b~ || add process p p > w- h, h > b b~		explicit_matrix_element_decay_chain	False	False	decay_scope_reviewed_branching_freeze_pending
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1			no_explicit_forced_decay_control_in_exact_cards	False	False	decay_scope_reviewed_branching_freeze_pending
