sample_class	process_or_mode	campaign	manifest_generated_events	representative_run_nevents	event_norm	sumw_candidate	positive_unweighted_proof_complete	normalization_denominator_authorized	required_proof	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	40000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	90000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	140000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	140000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	20000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	740000	10000	average		False	False	recover generator-level sumw or prove every generated event has the same positive nominal weight before Ngen use	denominator_fail_closed_pending_weight_proof
