sample_class	process_or_mode	campaign	campaign_role	source_tag	bin_index	pthat_min_GeV	pthat_max_GeV	n_events	bin_total_generated_events	production_mixture_fraction	sigma_gen_pb	sum_event_weights	sum_squared_event_weights	weights_uniform_positive	per_event_weight_transport_required	cross_section_coefficient_pb_per_generator_weight	frozen_source_cross_section_coefficient	run2_luminosity_pb_inverse	run2_yield_coefficient_per_generator_weight	frozen_source_run2_yield_coefficient	analytical_shard_cross_section_contribution_pb	analytical_shard_run2_yield	analytical_physical_weight_sum_squared	denominator_effective_events	coefficient_formula_closure_pass	run2_analytical_yield_closure_pass	coefficient_construction_authorized	candidate_physical_weight_application_authorized	selected_physical_yield_calculation_authorized
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033	0	50	75	10000	1340375	0.0074605987130467221	18237123.453281954	10000.146754329471	10000.298022688956	False	True	13.605786305718332	13.605786305718333	138000.0	1877598.5101891297	1877598.51018913	136059.85976522954	18776260647.601676	35254812296728809	9999.9954882581295	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034	0	50	75	10000	1340375	0.0074605987130467221	18452620.601873934	10000.023700887348	10000.047963506757	False	True	13.766727123103141	13.76672712310314	138000.0	1899808.3429882334	1899808.3429882333	137667.59751468010	18998128457.025854	36092890514206464	9999.9994383268062	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1035_seed1201035	0	50	75	10000	1340375	0.0074605987130467221	17986806.642033994	10000	10000	True	False	13.419234648537905	13.419234648537904	138000.0	1851854.3814982308	1851854.3814982306	134192.34648537905	18518543814.982308	34293646502741951	10000	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1036_seed1201036	0	50	75	10000	1340375	0.0074605987130467221	18283869.770389557	10000	10000	True	False	13.640861527848219	13.640861527848221	138000.0	1882438.8908430543	1882438.8908430545	136408.61527848219	18824388908.430543	35435761777584284	10000	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037	0	50	75	10000	1340375	0.0074605987130467221	18018706.484751426	10000.0303036851	10000.061393283439	False	True	13.442993103867329	13.44299310386733	138000.0	1855133.0483336914	1855133.0483336917	134430.33841090311	18551386700.704630	34415397556327072	9999.9992141834167	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1038_seed1201038	0	50	75	10000	1340375	0.0074605987130467221	18336673.375264272	10000	10000	True	False	13.680256178505472	13.680256178505472	138000.0	1887875.3526337551	1887875.3526337552	136802.56178505472	18878753526.337551	35640733470820253	10000	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1039_seed1201039	0	50	75	10000	1340375	0.0074605987130467221	18116399.928517256	10000.035838716141	10000.072832433105	False	True	13.515870560028717	13.515870560028716	138000.0	1865190.1372839629	1865190.1372839629	135159.18999173557	18651968218.859508	34789595861459594	9999.9988451360295	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040	0	50	75	10000	1340375	0.0074605987130467221	18393810.220327761	10000.102292154292	10000.208047905227	False	True	13.722743312882666	13.722743312882667	138000.0	1893738.5771778080	1893738.5771778079	137228.83685780294	18937579486.376805	35863204097840333	9999.9965375217616	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1041_seed1201041	0	50	75	10000	1340375	0.0074605987130467221	18265519.029715937	10000	10000	True	False	13.627170776622913	13.627170776622915	138000.0	1880549.5671739620	1880549.5671739622	136271.70776622913	18805495671.739620	35364666745981758	10000	True	True	True	False	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	nominal_production_extension	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042	0	50	75	10000	1340375	0.0074605987130467221	18371478.504314765	10000.115707301869	10000.236077715626	False	True	13.706064299433692	13.706064299433692	138000.0	1891436.8733218495	1891436.8733218494	137062.22888605625	18914587586.275763	35776179033538794	9999.9953383369814	True	True	True	False	False
