inventory_component	sample_class	generated_events	nominal_included	nominal_coefficient_policy
authoritative_ordinary_background	background	2190000	True	ordinary_process_coefficient
authoritative_ordinary_signal	signal	200000	True	ordinary_process_coefficient
nominal_hard_qcd	background	2500000	True	hard_qcd_shard_coefficient
overlapping_qcd_bbbb_excluded	background	300000	False	zero
hard_qcd_testfill_excluded	background	10000	False	zero
nominal_direct_mc_total	all	4890000	True	ordinary_plus_hard_qcd
raw_inventory_total	all	5200000	accounting_only	includes_zero_coefficient_exclusions
