sample_class	process_or_mode	campaign	members	generated_events	train_members	validation_members	final_evaluation_members	source_locator_example	blocking_reason	eos_directory
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20	20000	14	3	3	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	ggF HH provenance bundle contains no exact proc/run/Pythia cards; recover generator configuration and weight denominator	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80	80000	66	14	0	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	ggF HH provenance bundle contains no exact proc/run/Pythia cards; recover generator configuration and weight denominator	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	150	1500000	112	38	0	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz	importance-sampled hard-QCD provenance lacks exact proc/run cards; recover bin definitions and weight denominator	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	54	500000	43	7	4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_bundle.tar.gz	importance-sampled hard-QCD provenance lacks exact proc/run cards; recover bin definitions and weight denominator	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	56	500000	31	11	14	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz	importance-sampled hard-QCD provenance lacks exact proc/run cards; recover bin definitions and weight denominator	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	1	10000	0	0	1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_testfill_bin3_10k_20260717/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_bundle.tar.gz	importance-sampled hard-QCD provenance lacks exact proc/run cards; recover bin definitions and weight denominator	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_testfill_bin3_10k_20260717
