sample_class	process_or_mode	campaign	source_path	source_sha256	source_size_bytes	source_tag	bin_index	pthat_min_GeV	pthat_max_GeV	shard_id	seed	status
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v2.json	fb8a26f3e4b78ffc60121d1130b50b8ec93c17595b0d240002e371493244b96f	1443							local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext20k_frozen_v2_20260716_cross_layer_audit_v3.json	aace5639c86fc46848651df70460b97840c430f6391aa551827aacacde0e0dfb	879							local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_canary_59851531_receipt_audit.json	d82f40a804675124e5128c68603ccb61eb935a55112f5f8f3a993e563dfa75e2	535	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020				20	86020	local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_canary_59851531_product_audit.json	452caeab85ba531ccc7768a77b63355b55cca78bb2d2e37efc35200d5737cf99	433							local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/uscms_data/d3/iturkmen/hh4b_delphes/metadata/campaign_manifests/ggf_hh4b_ml_ext20k_frozen_v2_20260716_immutable_splits.csv	6edf52574145ca1d2345adb39b1414abcf4205d6c8b6ddbd89d91e6f80de6efd	6971	HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000				0	86000	local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggf_hh4b_ml_ext20k_frozen_v2_20260716_pilot_84883345.log	bc4f5524bd71f44cbbef2e86f852f5d9b6727768f8fb127d82e36728bbad1bfc	1665							local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggf_hh4b_ml_ext20k_frozen_v2_20260716_pilot_3586615.log	9ad1fdb15fb7db108541fa6fff8bcde679d5d883ee4c79e39661c9c863b0f2bd	2392							local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggf_hh4b_ml_ext20k_frozen_v2_20260716_bulk_3586817.log	f0d368260808ea2eca21f60f14aad9aa4414310cb518712531e6ee99e9495a9f	42316							local_metadata_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_84891534.log	e1e7c25e7494fc54e7b024cba84c624c3ddedc926d8eaf07af7f688a96a8e9cd	117268							local_metadata_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_59823913.log	0d12bbce1250c1c50e9cae38be08a47475b06ef1654eb4a30b4716221aeea837	120768							local_metadata_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/qcd_hardqcd_importance_testfill_bin3_10k_20260717/qcd_hardqcd_importance_testfill_bin3_10k_20260717_59823934.log	3937a49e5e9e7c85d26ef02c48b5bd7ef655e0df6516143add5bde1b180f74b5	2243							local_metadata_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_job15_recovery_f2383a3767e6/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_job15_recovery_f2383a3767e6_59825065.log	ecd8ecd588f9c9af8519e4f6ecb4477fc11168e9c6c5e53f2c1c542d3fa32e8a	2244							local_metadata_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352.log	5bbbd80b07a4fd74bddde1a907dc8498d02b19acfc9f0e9a1c0bcc58d2c289f0	328892							local_metadata_candidate
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_job1_recovery_238170f0d6cd/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_job1_recovery_238170f0d6cd.log	ee346d5615803ad6bf6581739314a82e0ab2a1caa49954b8121f35409109b980	2074							local_metadata_candidate
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_logs/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_canary_59851531.log	ee5ed2b58b515e2b91fbf08de979df0dc67e1e47fa42c050173e78b29a14cbb6	2394							local_metadata_candidate
