source_population	process_or_mode	campaign	members	generated_events	sum_generator_weights_frozen	sum_squared_generator_weights_frozen	negative_weight_events	zero_weight_events	positive_weight_events	campaign_denominator_value_frozen	campaign_denominator_use_authorized	independent_population_inclusion_authorized	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized
bundle_backed	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	5125641.4794921875	2627220057.629086	0	0	10000	True	True	True	False	False	False
bundle_backed	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	740000	379086586.30371094	194198431356.03503	0	0	740000	True	True	True	False	False	False
legacy_recovered	ttbar_inclusive	ttbar_100k	9	90000	46103514.404296875	23617062044.655178	0	0	90000	True	True	True	False	False	False
legacy_recovered	ttbar_inclusive	ttbar_200k	18	180000	92212753.295898438	47240007515.113449	0	0	180000	True	True	True	False	False	False
