sample_class	process_or_mode	members	generated_events	members_with_generator_xsec	members_without_generator_xsec	unique_generator_xsec_pb	generator_xsec_value_count	generator_xsec_consistent	generator_xsec_semantics	filter_normalization_statuses	pthat_members	pthat_strata	members_with_importance_metadata	normalization_readiness	normalization_frozen
background	bbh_hbb_4fs	5	50000	5	0	[0.0285854022949934, 0.02860054187476635, 0.028709711506962776, 0.028741548769176006, 0.028821783140301704]	5	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	ggh_hbb	10	100000	10	0	[12.802021980285645, 12.815497398376465, 12.817026138305664, 12.82341194152832, 12.832036972045898, 12.838528633117676, 12.844415664672852, 12.853227615356445, 12.85740852355957, 12.877819061279297]	10	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	qcd_bbbb_general	15	150000	15	0	[345.7385559082031, 345.975830078125, 346.2914733886719, 346.377685546875, 346.7995300292969, 346.8927917480469, 347.01239013671875, 347.0920104980469, 347.10089111328125, 347.14581298828125, 347.3646240234375, 347.4596862792969, 347.55694580078125, 347.7522888183594, 347.8510437011719]	15	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	qcd_bbbb_iht400to600	15	150000	15	0	[9.706160545349121, 9.715234756469727, 9.736652374267578, 9.764795303344727, 9.767234802246094, 9.772395133972168, 9.781061172485352, 9.788788795471191, 9.794212341308594, 9.801970481872559, 9.80253791809082, 9.80311393737793, 9.81265926361084, 9.825577735900879, 9.82736873626709]	15	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	qcd_hardqcd	261	2510000	0	261	[]	0	False	[]	[]	261	"[{""members"": 135, ""pthat_max_gev"": ""75"", ""pthat_min_gev"": 50.0}, {""members"": 61, ""pthat_max_gev"": ""100"", ""pthat_min_gev"": 75.0}, {""members"": 39, ""pthat_max_gev"": ""200"", ""pthat_min_gev"": 100.0}, {""members"": 6, ""pthat_max_gev"": ""300"", ""pthat_min_gev"": 200.0}, {""members"": 5, ""pthat_max_gev"": ""500"", ""pthat_min_gev"": 300.0}, {""members"": 5, ""pthat_max_gev"": ""700"", ""pthat_min_gev"": 500.0}, {""members"": 5, ""pthat_max_gev"": ""1000"", ""pthat_min_gev"": 700.0}, {""members"": 5, ""pthat_max_gev"": ""0"", ""pthat_min_gev"": 1000.0}]"	0	needs_pthat_cross_sections_and_importance_correction	False
background	schannel_single_top	3	30000	3	0	[6.984499931335449, 6.9969000816345215, 7.018799781799316]	3	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	tchannel_antitop	8	80000	8	0	[58.018001556396484, 58.06999969482422, 58.124000549316406, 58.13600158691406, 58.17599868774414, 58.18600082397461, 58.19499969482422, 58.25699996948242]	8	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	tchannel_top	8	80000	8	0	[100.18800354003906, 100.3239974975586, 100.35700225830078, 100.36000061035156, 100.38800048828125, 100.56900024414062, 100.64299774169922, 100.81600189208984]	8	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	ttbar_inclusive	75	750000	75	0	[511.0860290527344, 511.1343688964844, 511.1672058105469, 511.2933044433594, 511.5406188964844, 511.5447692871094, 511.5517272949219, 511.5649108886719, 511.5874938964844, 511.60028076171875, 511.647705078125, 511.6604919433594, 511.6650085449219, 511.7019348144531, 511.7250671386719, 511.78411865234375, 511.7870788574219, 511.79730224609375, 511.8170471191406, 511.8638916015625, 511.9020690917969, 511.9482727050781, 511.9575500488281, 511.9752502441406, 512.007568359375, 512.0140991210938, 512.0283203125, 512.0801391601562, 512.1084594726562, 512.124755859375, 512.1275634765625, 512.1567993164062, 512.1627197265625, 512.1753540039062, 512.209716796875, 512.2115478515625, 512.2164306640625, 512.2501831054688, 512.2633666992188, 512.2655639648438, 512.291259765625, 512.3535766601562, 512.3548583984375, 512.3611450195312, 512.3704223632812, 512.375244140625, 512.52490234375, 512.5269165039062, 512.52734375, 512.5568237304688, 512.5641479492188, 512.5834350585938, 512.6105346679688, 512.611083984375, 512.6265258789062, 512.6311645507812, 512.7157592773438, 512.716552734375, 512.7645263671875, 512.7656860351562, 512.803466796875, 512.8114624023438, 512.9002685546875, 512.9088745117188, 512.920654296875, 513.0296630859375, 513.0439453125, 513.15478515625, 513.2692260742188, 513.3051147460938, 513.3500366210938, 513.5369873046875, 513.7813110351562, 513.9207153320312]	74	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	tth_hbb	4	40000	4	0	[0.3296000063419342, 0.3296450078487396, 0.33041998744010925, 0.3309130072593689]	4	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	tttt	4	40000	4	0	[0.009130749851465225, 0.009158795699477196, 0.0091619361191988, 0.00918534118682146]	4	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	ttw	6	60000	6	0	[0.3516719937324524, 0.35267001390457153, 0.352961003780365, 0.3529750108718872, 0.3535720109939575, 0.35430800914764404]	6	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	ttz_zbb	4	40000	4	0	[0.08475890010595322, 0.08487270027399063, 0.08503569662570953, 0.08508340269327164]	4	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	tw_antitop	7	70000	7	0	[27.981679916381836, 27.99785041809082, 28.000770568847656, 28.01470947265625, 28.020429611206055, 28.034639358520508, 28.08492088317871]	7	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	tw_top	7	70000	7	0	[28.006820678710938, 28.014820098876953, 28.029869079589844, 28.030820846557617, 28.034809112548828, 28.04928970336914, 28.055200576782227]	7	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	vbf_hbb	5	50000	5	0	[2.7828941345214844, 2.7916624546051025, 2.7932138442993164, 2.797102212905884, 2.7993650436401367]	5	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	wh_hbb	6	60000	6	0	[0.9122599959373474, 0.9128000140190125, 0.9130300283432007, 0.9131399989128113, 0.9145799875259399, 0.9147400259971619]	6	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	ww	4	40000	4	0	[64.6583023071289, 64.66390228271484, 64.67549896240234, 64.74909973144531]	4	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	wwz_zbb	5	26000	5	0	[0.09491460397839546, 0.0952099971473217, 0.09527940675616264, 0.0953616201877594, 0.09547548368573189]	5	False	"[""\""inclusive_before_zbb_filter\""""]"	"[""\""inclusive_xsec_times_separately_frozen_zbb_probability_not_yet_authorized\""""]"	0	[]	0	conflicting_generator_cross_sections	False
background	wz_zbb	6	60000	6	0	[3.5495901107788086, 3.556610107421875, 3.5620501041412354, 3.568809986114502, 3.5703299045562744, 3.5708699226379395]	6	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	wzz_zbb	5	16500	5	0	[0.030368774197995663, 0.03045598976314068, 0.030458594672381878, 0.03053002618253231, 0.03057691641151905]	5	False	"[""\""inclusive_before_zbb_filter\""""]"	"[""\""inclusive_xsec_times_separately_frozen_zbb_probability_not_yet_authorized\""""]"	0	[]	0	conflicting_generator_cross_sections	False
background	zbbbb	25	250000	25	0	[6.866797924041748, 6.868086814880371, 6.8795552253723145, 6.884758949279785, 6.888916969299316, 6.892343044281006, 6.899302005767822, 6.905366897583008, 6.9096221923828125, 6.91369104385376, 6.913952827453613, 6.914809226989746, 6.917686939239502, 6.918139934539795, 6.918217182159424, 6.9208550453186035, 6.92149019241333, 6.9230499267578125, 6.923874855041504, 6.924746990203857, 6.928242206573486, 6.930589199066162, 6.9308671951293945, 6.934398174285889, 6.936920166015625]	25	False	[]	[]	0	[]	0	conflicting_generator_cross_sections	False
background	zzz_zbb	5	7500	5	0	[0.010439695324748755, 0.010506123770028353, 0.01050643203780055, 0.01053953217342496, 0.0105555378831923]	5	False	"[""\""inclusive_before_zbb_filter\""""]"	"[""\""inclusive_xsec_times_separately_frozen_zbb_probability_not_yet_authorized\""""]"	0	[]	0	conflicting_generator_cross_sections	False
signal	ggf_hh4b	100	100000	0	100	[]	0	False	[]	[]	0	[]	0	needs_official_mode_specific_cross_section_and_br	False
signal	vbf_hh4b	10	100000	0	10	[]	0	False	[]	[]	0	[]	0	needs_official_mode_specific_cross_section_and_br	False
