canary_id	replica	outer_fold	category_id	structure_id	canonical_payload_sha256	inner_crossfit_sha256	pooled_inner_oof_feasible	all_inner_support_pass	pooled_support_pass	runtime_seconds
0	0	0	exact3tag	radial_mass__category__mass_only	d8ec1db7e514baddca13a1559ca54f08f65104b60641e040b9e2820e2c3ae40f	49910b9c832af59715f9c8002aeead5fb8976c5907240c0f713447e3d544076c	True	True	True	7.852644681930542
1	0	1	exact3tag	symmetric_rectangular_mass__category__plus_h2_pt	1ed89c43cd629fa7e405130c5db21e5be8b162b86d51141127ac40c61b9c861d	ba862ddb5ac9e4bce2ed18156ca650a39120a23e03a5bec3f871b28830c5a7f6	False	True	True	12.946367740631104
2	0	2	exact3tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	14f1be0c9a4c5888435b9e04d99c29d3cc7fc1d3d9c3fe775b29b68c7ef2d34a	0653bead8ec2dc66d3d9d8cd35072023f2011c1c556458a09d404837da383c84	False	True	True	17.741999626159668
3	1	3	ge4tag	radial_mass__category__mass_only	c669abdb0e69e1b7e3b97b08ff7d1a2d657f0d828505fae02738b2544395e3cb	9111006b3b5612b342de35b0c083d2c9310812e11e04b8b825ee9a3451a1a835	False	True	True	1.983567476272583
4	1	4	ge4tag	symmetric_rectangular_mass__category__plus_h2_pt	1ccdbc5c44d709107cb709849a553de9f8e3d923591753b36f717a5cf9299d35	389f204949a6f4ab56ada0edfbf5c857b4a164ee3a1ce630f1e7fd2889afae6f	False	True	True	3.187650680541992
5	1	0	ge4tag	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	0c683b7b1e58ee2abe51a00f46dd167978bef6eed45d8d01ef49df724d46fd45	033fbca948cfed8b65724b6a32758e7733b8ea2fa6378af8a0b98e6c17d4b491	False	True	True	3.6454336643218994
