relative_path	size_bytes	sha256
README.md	1052	4b191007164013c8d54570ce9e9ff2cc39cf61ecdfd49027fee48a0b72edbe78
evidence/audit/bounded_six_job_transfer_pilot_audit.json	10982	61d693bb6ae7894a54d6fc2dd8f9e13e1b936d2d87f5497250869037f7aa2d63
evidence/audit/bounded_six_job_transfer_pilot_audit.tsv	3354	3db854b72a53e63520acd25980f4f860117536cb2a091a43be7735f7934a7b0c
evidence/package/execution_provenance.json	5419	9cc54224ca4bd90869fee5bf341fcda1ef7c71498ad3330bf3e09aba45d72675
evidence/package/package_build_audit.json	4021	b4961f52e33704afb421185fcaae88b31586e517125aad5d9cb217cf00b52a02
evidence/submission/bounded_six_job_transfer_pilot.sub	1692	532d230ad6444d8991b012eae5c93a5f96f83e56d745e8ee69192d7a8f3f10be
evidence/submission/condor_submit_output.txt	268	e63c838b3338f7036e1ff175e858dd171b3e1abf50eaf6924260fc4e09492366
evidence/submission/pilot_matrix.tsv	525	36fe35296fda2b1e8ae726fc981c4c6f6c7cb0af5c278e262992cac3d486d687
evidence/submission/pilot_queue.items	1407	e5e5c6a1867d89120b3d574e14ce2dd3491dd31645a9b91cf3be7849de4092d4
evidence/submission/pilot_submission_receipt_recovered.json	2748	48f7bc269b2e92d0ff7976230e59752099dd83f240e7474360ffd3a4a9bb9a1e
evidence/submission/run_bounded_transfer_pilot_job.sh	6546	d19a667246302814777fa23f8cf8e9c0dd0db7c7e088589a25762289fa5f6218
pilot_review_and_full_train_scan_authorization.json	3382	67578a094329ec60ba2e0eb65933ed36ce94136ad7574a37d31510fdfda676df
