sample,tag,dataset_role,test_usage_authorized,generator_seed,generator_xsec_pb,hepmc_events,root_events,candidate_rows,candidate_acceptance,r_hh_lt80,r_hh_lt50,delphes_card_sha256,source_remote_path,source_size_bytes,source_adler32,source_sha256,bundle_remote_path,bundle_size_bytes,bundle_adler32,bundle_sha256,local_audit_status,promotion_status,roundtrip_status
ZH4b,zh4b_ak4ak8_run2_frozen_v2_10k,trainval_pilot,False,715002,0.06882,10000,10000,315,0.0315,300,220,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/sources/zz_zh_frozen_v2_pilot_promotion_20260720/zh4b_ak4ak8_pilot10k_pythia8.hepmc,2498512176,a56f96af,4cf63b8d1e6107239becd72e968bc14c7c60fa822adc812b1dbdbd2d9c92896b,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/zz_zh_frozen_v2_pilot_promotion_20260720/zh4b_ak4ak8_run2_frozen_v2_10k_bundle.tar.gz,795375041,925ea8ca,78fdd0b4404511e0e1a1356a1fbcdef675440f480ac6f645c4dd6ff9b1c1b468,valid,eos_promotion_valid,eos_roundtrip_valid
ZZ4b,zz4b_ak4ak8_run2_frozen_v2_10k,trainval_pilot,False,715001,0.19298,10000,10000,126,0.0126,121,70,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/sources/zz_zh_frozen_v2_pilot_promotion_20260720/zz4b_ak4ak8_pilot10k_pythia8.hepmc,2477166105,ce11f7df,1136583499d88d6b8aa85d320fd86871714d7f39a70522c16b8a7b7e5ff8a92d,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/zz_zh_frozen_v2_pilot_promotion_20260720/zz4b_ak4ak8_run2_frozen_v2_10k_bundle.tar.gz,781266329,a5e75099,2648d924b6ff957f58e41b32c4e06f55bb1e03f62a2e3b0c31fe32be0dcc8689,valid,eos_promotion_valid,eos_roundtrip_valid
