sidecar_origin	sample_class	process_or_mode	campaign	member_id	source_index	generated_events	candidate_rows	candidate_path	candidate_sha256	sidecar_path	sidecar_sha256	sidecar_rows	join_key	join_exact	source_candidate_modified	physical_weight_application_authorized	physical_yield_calculation_authorized
pn_c7f_v4	background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	1	10000	334	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/bbh_hbb_4fs/0001_bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_hh4b_candidates_v2.parquet	41381ddeb2cd3a854656fa323a0110d1f08c0c554076c61d5d6849170412199f	/uscms/homes/i/iturkmen/physical_weight_sidecars/ordinary_train_signed_event_weights_20260731_v4/background_0001_bbh_hbb_4fs_bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_delphes_event_weights.parquet	b81ce5500ab114b67c1969756a392a374af47582904b5536ba2dfef014c05f99	10000	event	True	False	False	False
pn_c7f_v4	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	7	10000	7	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0007_ggh_hbb_run2_frozen_v2_train_shard9703_10k_hh4b_candidates_v2.parquet	0f868f1dcab03c758e87f9f45d0bab2e12283215c3e2a1a416d71b4dcce8b372	/uscms/homes/i/iturkmen/physical_weight_sidecars/ordinary_train_signed_event_weights_20260731_v4/background_0007_ggh_hbb_ggh_hbb_run2_frozen_v2_train_shard9703_10k_delphes_event_weights.parquet	ea39bbb286d915a76ef7bb62f58320c6a17739b78a9f9f36a9d4b22a61b283be	10000	event	True	False	False	False
pn_c7f_v4	background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	12	10000	6	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/ggh_hbb/0012_ggh_hbb_run2_frozen_v2_train_shard9708_10k_hh4b_candidates_v2.parquet	6614ff5eed0ad76e6a223a698243370663c0313c43844c61e7ea6b13a296b397	/uscms/homes/i/iturkmen/physical_weight_sidecars/ordinary_train_signed_event_weights_20260731_v4/background_0012_ggh_hbb_ggh_hbb_run2_frozen_v2_train_shard9708_10k_delphes_event_weights.parquet	dd6c25768d33934c4b29301e229896bab9a9b1d9eb954391537b7ec6f4dd0d11	10000	event	True	False	False	False
existing_triboson_checkpoint	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	309	5200	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0309_wwz_zbb_run2_frozen_v2_train_shard9901_5200_hh4b_candidates_v2.parquet	59e8540af0a3eadda3cc08b1d4c27d0e7b795ae2b0ad14f259e749d1d1a856cd	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0398_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9901_5200_delphes_event_weights.parquet	be5374791659f7b20032f61c88d6ec44a0c4d1b38b9ec25a2bc47f8240791d4d	5200	event	True	False	False	False
existing_triboson_checkpoint	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9902_5200_bundle.tar.gz	310	5200	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0310_wwz_zbb_run2_frozen_v2_train_shard9902_5200_hh4b_candidates_v2.parquet	9bdb10e2137561841ad243ddfed39001f77d90921ae268573558d87a7ea86671	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0399_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9902_5200_delphes_event_weights.parquet	ba80b442bd5bacd35c972ca1f3fe87e0a17ea166e8e4538719d1890474fa69fb	5200	event	True	False	False	False
existing_triboson_checkpoint	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9903_5200_bundle.tar.gz	311	5200	10	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0311_wwz_zbb_run2_frozen_v2_train_shard9903_5200_hh4b_candidates_v2.parquet	71ab19fdcddb163b40d930e59af0f13a125147eae0906f551edeb337e2e1e597	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0400_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9903_5200_delphes_event_weights.parquet	996b35abdf43a76ea86608fb2a92f005241d2e3d896be9c92efab43bf6b3d3ed	5200	event	True	False	False	False
existing_triboson_checkpoint	background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9904_5200_bundle.tar.gz	312	5200	5	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wwz_zbb/0312_wwz_zbb_run2_frozen_v2_train_shard9904_5200_hh4b_candidates_v2.parquet	7af1cc27a669db4270a5e1b1f0d8c7e54844a95b024d21a20b574c1398d47276	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0401_wwz_zbb_wwz_zbb_run2_frozen_v2_train_shard9904_5200_delphes_event_weights.parquet	f2b35f7c75e6ae4e4d8ea43db3e8f9560fe3286f2d7ae3f3cf005a44f76d4dc2	5200	event	True	False	False	False
existing_triboson_checkpoint	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	314	3300	9	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0314_wzz_zbb_run2_frozen_v2_train_shard9911_3300_hh4b_candidates_v2.parquet	fb131dc66fcee78bcec818d4d53965d9074275242dcda863a1928f7e3ba347b6	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0403_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9911_3300_delphes_event_weights.parquet	8feddc6c5ee2be00040974c3bbede7db01b66e794aba679edb42af885690a676	3300	event	True	False	False	False
existing_triboson_checkpoint	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9912_3300_bundle.tar.gz	315	3300	20	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0315_wzz_zbb_run2_frozen_v2_train_shard9912_3300_hh4b_candidates_v2.parquet	3f058e56c24549d8cbd59c8b20a5bd804eedb7fd952910a83c68310e2f4f8125	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0404_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9912_3300_delphes_event_weights.parquet	72caadb374a30ff4e2aa49307517c2ac8fbafb29a34f82af05f5e68079bb20f8	3300	event	True	False	False	False
existing_triboson_checkpoint	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9913_3300_bundle.tar.gz	316	3300	20	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0316_wzz_zbb_run2_frozen_v2_train_shard9913_3300_hh4b_candidates_v2.parquet	1125ebe808b757ff68d79edf6ac14281864382a4011ca9283c2b299f56881cb1	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0405_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9913_3300_delphes_event_weights.parquet	a7ca3cdf317e958606f1c8b6a9331255a8e758a066ea893d7e250d6accdd67f2	3300	event	True	False	False	False
existing_triboson_checkpoint	background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9914_3300_bundle.tar.gz	317	3300	19	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/wzz_zbb/0317_wzz_zbb_run2_frozen_v2_train_shard9914_3300_hh4b_candidates_v2.parquet	f79c4796968beeacfebe8e7943a0025c70be0d69cd3de24117b805fc189c00c3	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0406_wzz_zbb_wzz_zbb_run2_frozen_v2_train_shard9914_3300_delphes_event_weights.parquet	fe7974cc42385dec0fe578c25b317252814538b4d2a5fdcccbe419b5f5a7e140	3300	event	True	False	False	False
existing_triboson_checkpoint	background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9921_1500_bundle.tar.gz	319	1500	12	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/zzz_zbb/0319_zzz_zbb_run2_frozen_v2_train_shard9921_1500_hh4b_candidates_v2.parquet	83049f6c3a291a88943b5c2914e83340fa8ad613c949278e80d2ad8ae08c680c	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0408_zzz_zbb_zzz_zbb_run2_frozen_v2_train_shard9921_1500_delphes_event_weights.parquet	c63075a9fd01da311394be8032e5c8781333baa38d040bc3d67b3d95a68e6bfd	1500	event	True	False	False	False
existing_triboson_checkpoint	background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9922_1500_bundle.tar.gz	320	1500	18	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/zzz_zbb/0320_zzz_zbb_run2_frozen_v2_train_shard9922_1500_hh4b_candidates_v2.parquet	49bb3233365512e67c86f5db1da9fe0708005206d9a5f54da541ad696af3877d	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0409_zzz_zbb_zzz_zbb_run2_frozen_v2_train_shard9922_1500_delphes_event_weights.parquet	eae95d70e0101a0503375d0ad79bee6d5d4dc65d10a3949d5c482dab0d042617	1500	event	True	False	False	False
existing_triboson_checkpoint	background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9923_1500_bundle.tar.gz	321	1500	15	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/zzz_zbb/0321_zzz_zbb_run2_frozen_v2_train_shard9923_1500_hh4b_candidates_v2.parquet	820d42d450cef2df89af56dfef2bddd702f505adda1ca064afcf10268e10039a	/uscms_data/d3/iturkmen/hh4b_delphes/physical_weight_sidecars/triboson_train_root_event_weights_20260729_v1/member0410_zzz_zbb_zzz_zbb_run2_frozen_v2_train_shard9923_1500_delphes_event_weights.parquet	5ead0b0685f065783cab88e1b6c1befa92a37b996163e5dcdac310c9bdbbdf34	1500	event	True	False	False	False
