population_kind	sealed_split	sealed_members_or_shards	payload_access_authorized	generator_weight_transport_authorized	physical_weight_application_authorized	physical_yield_calculation_authorized	source_evidence
ordinary	validation	60	False	False	False	False	/uscms/homes/i/iturkmen/pn_c7e_ordinary_train_weight_transport_gap_preflight_20260731_v4/sealed_ordinary_member_transport_registry.tsv
ordinary	test	24	False	False	False	False	/uscms/homes/i/iturkmen/pn_c7e_ordinary_train_weight_transport_gap_preflight_20260731_v4/sealed_ordinary_member_transport_registry.tsv
hard_qcd	validation	56	False	False	False	False	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_train_generator_weight_transport_20260729_v1/summary.json
hard_qcd	test_or_evaluation	18	False	False	False	False	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_train_generator_weight_transport_20260729_v1/summary.json
