process,analysis_use,n_hepmc_files,total_hepmc_GB,hepmc_paths,recommended_action
QCD_bbbb,ml_enrichment_not_inclusive_physics_yield,19,45.147286842999996,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard000_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard001_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard002_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard003_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard004_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard005_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard006_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard007_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard008_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard009_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_presel_10k_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_presel_1k_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_presel_smoke_200_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_smoke_20_pythia8.hepmc,rerun_frozen_v2_as_ml_enrichment
VBF_HH_4b,signal_pilot_physics_and_ml,5,3.000243316,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_01_20_pipeline_test_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_01_20_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_02_200_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_smoke_vbf_run_03_1000_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/vbf_hh4b_ak4ak8_10k_pythia8.hepmc,rerun_frozen_v2_and_count_as_signal_pilot
ZH_4b,validation,1,2.498512176,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zh4b_ak4ak8_pilot10k_pythia8.hepmc,rerun_frozen_v2_as_validation
ZZ_4b,validation,1,2.477166105,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zz4b_ak4ak8_pilot10k_pythia8.hepmc,rerun_frozen_v2_as_validation
Zbbbb,ml_enrichment_not_inclusive_physics_yield,7,16.135786476,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_presel_10k_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_presel_1k_pythia8.hepmc,rerun_frozen_v2_as_ml_enrichment
ggF_HH_4b,signal_pilot_physics_and_ml,2,2.8015989959999996,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/HH4b_ggf_loop_sm_hh4b_smoke_20_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ggf_hh4b_ak4ak8_10k_pythia8.hepmc,rerun_frozen_v2_and_count_as_signal_pilot
ttbar,physics_pilot_and_ml_pending_generator_review,7,17.104616038,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_10k_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_1k_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard000_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard001_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard002_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard003_pythia8.hepmc;/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard004_pythia8.hepmc,rerun_frozen_v2_as_efficiency_pilot
unclassified,manual_review,1,0.279259023,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbb_1k_pythia8.hepmc,manual_review
