process,analysis_use,format,detector_version,n_files,total_size_GB,total_entries_or_rows
QCD_bbbb,ml_enrichment_not_inclusive_physics_yield,csv,derived_or_unknown,111,0.03077295,0.0
QCD_bbbb,ml_enrichment_not_inclusive_physics_yield,hepmc,generator_level_reprocessable,19,45.147286842999996,0.0
QCD_bbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,213,0.06985711,1864743.0
QCD_bbbb,ml_enrichment_not_inclusive_physics_yield,root,legacy_card_v1,47,44.218866861,481220.0
QCD_bbbb,ml_enrichment_not_inclusive_physics_yield,text,derived_or_unknown,106,4.5549e-05,0.0
VBF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,27,0.001105726,0.0
VBF_HH_4b,signal_pilot_physics_and_ml,hepmc,generator_level_reprocessable,5,3.000243316,0.0
VBF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,21,6.214e-06,0.0
VBF_HH_4b,signal_pilot_physics_and_ml,parquet,derived_or_unknown,54,0.002040045,55828.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,28,2.90146194,32260.0
VBF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,23,4.09e-06,0.0
ZH_4b,validation,csv,derived_or_unknown,1,0.000339423,0.0
ZH_4b,validation,hepmc,generator_level_reprocessable,1,2.498512176,0.0
ZH_4b,validation,parquet,derived_or_unknown,2,0.00029023600000000003,10365.0
ZH_4b,validation,root,legacy_card_v1,1,0.818234859,10000.0
ZH_4b,validation,text,derived_or_unknown,1,3.84e-07,0.0
ZZ_4b,validation,csv,derived_or_unknown,1,0.000339065,0.0
ZZ_4b,validation,hepmc,generator_level_reprocessable,1,2.477166105,0.0
ZZ_4b,validation,parquet,derived_or_unknown,2,0.000266309,10132.0
ZZ_4b,validation,root,legacy_card_v1,1,0.803790662,10000.0
ZZ_4b,validation,text,derived_or_unknown,1,3.82e-07,0.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,csv,derived_or_unknown,18,0.00546258,0.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,hepmc,generator_level_reprocessable,7,16.135786476,0.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,37,0.007025064,270147.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,root,legacy_card_v1,17,13.933813943,161000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,text,derived_or_unknown,17,6.847e-06,0.0
ggF_HH_4b,signal_pilot_physics_and_ml,csv,derived_or_unknown,13,0.000725507,0.0
ggF_HH_4b,signal_pilot_physics_and_ml,hepmc,generator_level_reprocessable,2,2.8015989959999996,0.0
ggF_HH_4b,signal_pilot_physics_and_ml,json,derived_or_unknown,14,6.836e-06,0.0
ggF_HH_4b,signal_pilot_physics_and_ml,parquet,derived_or_unknown,32,0.001245394,34153.0
ggF_HH_4b,signal_pilot_physics_and_ml,parquet,run2_frozen_v2,1,7.1872e-05,617.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,14,1.973727639,21040.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,run2_frozen_v2,1,0.933482796,10000.0
ggF_HH_4b,signal_pilot_physics_and_ml,text,derived_or_unknown,16,6.6240000000000004e-06,0.0
ttbar,physics_pilot_and_ml_pending_generator_review,csv,derived_or_unknown,39,0.012065352,0.0
ttbar,physics_pilot_and_ml_pending_generator_review,hepmc,generator_level_reprocessable,7,17.104616038,0.0
ttbar,physics_pilot_and_ml_pending_generator_review,parquet,derived_or_unknown,78,0.015541548,663524.0
ttbar,physics_pilot_and_ml_pending_generator_review,parquet,run2_frozen_v2,1,1.4093e-05,39.0
ttbar,physics_pilot_and_ml_pending_generator_review,root,legacy_card_v1,28,24.858761452,271000.0
ttbar,physics_pilot_and_ml_pending_generator_review,root,run2_frozen_v2,1,0.916574166,10000.0
ttbar,physics_pilot_and_ml_pending_generator_review,text,derived_or_unknown,38,1.4894e-05,0.0
ttbb,ml_enrichment_not_physics_yield_without_overlap_removal,csv,derived_or_unknown,14,0.002053866,0.0
ttbb,ml_enrichment_not_physics_yield_without_overlap_removal,parquet,derived_or_unknown,29,0.004750772,136063.0
ttbb,ml_enrichment_not_physics_yield_without_overlap_removal,root,legacy_card_v1,2,1.05858893,10000.0
ttbb,ml_enrichment_not_physics_yield_without_overlap_removal,text,derived_or_unknown,14,5.753e-06,0.0
unclassified,manual_review,csv,derived_or_unknown,18,4.5601e-05,0.0
unclassified,manual_review,hepmc,generator_level_reprocessable,1,0.279259023,0.0
unclassified,manual_review,parquet,derived_or_unknown,2,4.4552e-05,1004.0
unclassified,manual_review,root,legacy_card_v1,1,0.091725672,1000.0
unclassified,manual_review,text,derived_or_unknown,5,3.529e-06,0.0
