process,analysis_use,format,detector_version,path,filename,size_GB,n_entries_or_rows
VBF_HH_4b,signal_pilot_physics_and_ml,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/vbf_hh4b_ak4ak8_10k_event_summary.parquet,vbf_hh4b_ak4ak8_10k_event_summary.parquet,0.000245592,10000.0
VBF_HH_4b,signal_pilot_physics_and_ml,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/vbf_hh4b_ak4ak8_10k_hh4b_candidates.parquet,vbf_hh4b_ak4ak8_10k_hh4b_candidates.parquet,7.5331e-05,653.0
unclassified,manual_review,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbb_1k_event_summary.parquet,zbb_1k_event_summary.parquet,3.4133e-05,1000.0
unclassified,manual_review,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbb_1k_hh4b_candidates.parquet,zbb_1k_hh4b_candidates.parquet,1.0419e-05,4.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard000_event_summary.parquet,zbbbb_ak4ak8_extra50k_v1_shard000_event_summary.parquet,0.000245196,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard000_hh4b_candidates.parquet,zbbbb_ak4ak8_extra50k_v1_shard000_hh4b_candidates.parquet,4.0853e-05,309.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard001_event_summary.parquet,zbbbb_ak4ak8_extra50k_v1_shard001_event_summary.parquet,0.000245128,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard001_hh4b_candidates.parquet,zbbbb_ak4ak8_extra50k_v1_shard001_hh4b_candidates.parquet,3.94e-05,294.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard002_event_summary.parquet,zbbbb_ak4ak8_extra50k_v1_shard002_event_summary.parquet,0.000245262,10000.0
Zbbbb,ml_enrichment_not_inclusive_physics_yield,parquet,derived_or_unknown,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_ak4ak8_extra50k_v1_shard002_hh4b_candidates.parquet,zbbbb_ak4ak8_extra50k_v1_shard002_hh4b_candidates.parquet,4.0237e-05,303.0
