seed,tail_region,background_tail_fraction,tail_score_cut,signal_rows,background_rows,S_450fb,B_450fb,S_over_B,S_over_sqrtB,asimov_Z_stat_only,background_neff,largest_background_weight_fraction
0,top_0.1pct_background_tail,0.001,0.7717610474637193,30,7,15.149025115783285,5587.083383655339,0.002711437090790663,0.20267123275949675,0.20257974769269027,4.854463818981485,0.24380009844271872
0,top_0.2pct_background_tail,0.002,0.7606189687084814,39,14,18.40422370451371,10105.577462344581,0.0018211946593939396,0.18307832728357476,0.1830227992014498,8.479316615597247,0.13479006855555026
0,top_0.5pct_background_tail,0.005,0.7261364400895773,58,34,28.85827890851283,29983.095523962973,0.0009624849737562564,0.16666031266594544,0.16663358869223463,18.60645810316936,0.10571621119877521
0,top_1.0pct_background_tail,0.01,0.6954372243327777,78,68,43.25599213905021,54813.279173734576,0.0007891516944634396,0.18475805663685874,0.18473376424552662,38.8387358341618,0.05782721461997803
0,top_2.0pct_background_tail,0.02,0.6423845136451221,100,136,56.51445880063221,135223.4088165544,0.00041793399009265,0.15368576142400084,0.15367505825793235,82.85847092434506,0.023440462613277046
0,top_5.0pct_background_tail,0.05,0.5597623385413957,152,339,99.10654898404766,342291.6365218355,0.0002895383305040976,0.16939641299290764,0.16938823964122332,199.70774489660184,0.009260229934370949
1,top_0.1pct_background_tail,0.001,0.7770157807725565,29,7,11.27837678181216,3776.0031108752764,0.0029868557971600386,0.18353987325186544,0.18344861891635056,3.464833315843671,0.3579713565554331
1,top_0.2pct_background_tail,0.002,0.763680090556389,36,14,14.404958249089503,10211.590520976277,0.001410647853485641,0.14254937191593792,0.1425158771063674,5.515009918878291,0.3262265328005921
1,top_0.5pct_background_tail,0.005,0.7333840614360977,54,34,26.166080459662286,27496.33915430565,0.0009516205162011518,0.15779790554371975,0.15777288818907065,16.672109344763797,0.12115401077004231
1,top_1.0pct_background_tail,0.01,0.6985847548719422,71,68,35.247743398079685,60863.21818992456,0.0005791304575464378,0.14287421657391272,0.14286042942820845,34.808529977288686,0.05473407205715179
1,top_2.0pct_background_tail,0.02,0.6518702047914904,101,136,57.02039617095243,118982.83093332092,0.00047923213562557767,0.1653057961210739,0.16529259539758523,70.03309681549237,0.027998087992244607
1,top_5.0pct_background_tail,0.05,0.5583748778706391,153,339,92.15472207096346,351538.85224681045,0.00026214662044314504,0.15542859758995567,0.15542180739283343,113.68938012540046,0.04627337721420777
2,top_0.1pct_background_tail,0.001,0.8161177175401715,14,7,8.788890315371612,6688.105961136174,0.0013141075166037824,0.10746881792425197,0.10744529321191397,5.631265374298035,0.20001661168864665
2,top_0.2pct_background_tail,0.002,0.7879164068946816,26,14,18.7170271996986,13174.914137261996,0.0014206564843380726,0.16306583351144988,0.16302724625181844,7.56839265127916,0.25586125042448443
2,top_0.5pct_background_tail,0.005,0.759218987044826,41,34,28.87055764959936,25263.137894765947,0.001142793811673759,0.18164001382276057,0.18160543409747193,17.869956487865277,0.1334335433482897
2,top_1.0pct_background_tail,0.01,0.7313612568774023,56,68,35.15556126148644,64310.117578689875,0.0005466567716731366,0.13862909371975768,0.13861646620488693,34.97772270431452,0.052417102196561476
2,top_2.0pct_background_tail,0.02,0.6728127648619479,88,136,50.45484875431891,130529.83228503302,0.0003865388307872991,0.13965227618998713,0.13964328081996288,71.09460081011882,0.02582513090213781
2,top_5.0pct_background_tail,0.05,0.577737262092144,136,339,86.2988694536132,319554.8419847767,0.00027005965210104494,0.15266251229871816,0.15265564170753324,191.53502752185247,0.01054889353094409
3,top_0.1pct_background_tail,0.001,0.7870930301965959,22,7,7.035811971143175,6690.485796802885,0.0010516145142263522,0.08601721913792425,0.08600214957713401,3.304268937155507,0.4846117142940584
3,top_0.2pct_background_tail,0.002,0.7621470957507164,31,14,10.409937486126527,9932.793207338229,0.0010480372709698405,0.1044509572666842,0.10443272047636687,5.723963200380564,0.3264225604790938
3,top_0.5pct_background_tail,0.005,0.7229307408336135,54,34,25.698979884572697,27208.58424944335,0.0009445173497073249,0.15579837088608614,0.15577385482714157,16.84828957404847,0.11916414914219685
3,top_1.0pct_background_tail,0.01,0.6873403231684894,75,68,39.480685113762476,57794.33398544718,0.0006831238010927482,0.16422605056646558,0.1642073580821551,35.56222292064981,0.056100443899312256
3,top_2.0pct_background_tail,0.02,0.6435471761325495,101,136,56.348954916759155,122637.62181656848,0.0004594752742436689,0.1609066546595325,0.1608943349564602,74.05511805474809,0.02643795389556925
3,top_5.0pct_background_tail,0.05,0.5666413157989745,159,339,104.15240292119867,336318.0675714569,0.00030968423336064034,0.17959498058498163,0.17958571195156356,162.25330199418391,0.03860920593049521
4,top_0.1pct_background_tail,0.001,0.7828338005587704,21,7,5.513023202719134,5009.920748559833,0.0011004212400573252,0.07788868871152599,0.07787441019971834,4.2578183016697535,0.2698048579603025
4,top_0.2pct_background_tail,0.002,0.7580929159630038,32,14,11.612137794296453,17446.938876625893,0.0006655687783633798,0.08791289078364517,0.08790314148539645,6.491613297892869,0.20986771202005353
4,top_0.5pct_background_tail,0.005,0.727547179083687,48,34,20.723998416602193,37023.14307666361,0.0005597579431246322,0.1077052585856205,0.10769521280040982,17.18874342835138,0.09889892752242159
