seed,tail_region,analysis_sample,rows,expected_events_450fb,fraction_of_tail_background
3,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,3,1896.3889434321827,0.1909220200045193
3,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,572.4765247925709,0.05763499882083844
3,top_0.2pct_background_tail,ttbar_200k,1,3242.2877914486953,0.3264225604790938
3,top_0.5pct_background_tail,Zbbbb_100k,5,451.50661612848694,0.016594270837069523
3,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,11,14817.136771115747,0.5445758086960694
3,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,7,4424.907534675092,0.16262909874723158
3,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,9,1030.4577446266276,0.03787252343523568
3,top_0.5pct_background_tail,ttbar_200k,2,6484.575582897391,0.2383282982843937
3,top_1.0pct_background_tail,Zbbbb_100k,10,903.0132322569739,0.015624597949071546
3,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,26,35022.32327718267,0.6059819512065218
3,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,11,6953.426125918004,0.1203132841303942
3,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,17,1946.420184294741,0.03367839111676339
3,top_1.0pct_background_tail,ttbar_200k,4,12969.151165794781,0.22440177559724903
3,top_2.0pct_background_tail,Zbbbb_100k,24,2167.2317574167373,0.01767183450979104
3,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,54,72738.67142184095,0.5931187374999625
3,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,25,15803.241195268189,0.12886128221652413
3,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,24,2747.88731900434,0.02240656071359904
3,top_2.0pct_background_tail,ttbar_200k,9,29180.59012303826,0.23794158506012328
3,top_5.0pct_background_tail,Zbbbb_100k,69,6230.791302573119,0.018526484014271025
3,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,1,12984.973529012581,0.03860920593049521
3,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,158,212827.96453057165,0.6328175172609556
3,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,50,31606.482390536377,0.09397794956056295
3,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,40,4579.812198340567,0.013617502715245897
3,top_5.0pct_background_tail,ttbar_200k,21,68088.0436204226,0.20245134051846933
4,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4055.1028678726743,0.8094145738809075
4,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,1,611.8690821757683,0.12213148927588487
4,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,3,342.94879851139,0.06845393684320758
4,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4055.1028678726743,0.23242489106816316
4,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,3,1835.607246527305,0.10521084870575861
4,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,571.5813308523167,0.03276112416591765
4,top_0.2pct_background_tail,ttbar_200k,3,10984.647431373598,0.6296031360601606
4,top_0.5pct_background_tail,Zbbbb_100k,5,447.721983973177,0.012093030109466439
4,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,13,17572.112427448257,0.4746250849384069
4,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,6,3671.2144930546096,0.09915998988666756
4,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,6,685.89759702278,0.018526184975773012
4,top_0.5pct_background_tail,ttbar_200k,4,14646.196575164797,0.39559571008968636
4,top_1.0pct_background_tail,Zbbbb_100k,10,895.443967946354,0.0123549952271565
4,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,28,37847.626766811634,0.5222071562284204
4,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,11,6730.559903933451,0.0928657051316142
4,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,12,1371.7951940455596,0.018927508232524606
4,top_1.0pct_background_tail,ttbar_200k,7,25630.844006538395,0.35364463518028444
4,top_2.0pct_background_tail,Zbbbb_100k,26,2328.1543166605197,0.014763759571561848
4,top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,1,13834.457778574151,0.08772984118113118
4,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,59,79750.35640149591,0.505728971328209
4,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,20,12237.381643515366,0.07760214135180526
4,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,17,1943.3765248978766,0.012323729387390644
4,top_2.0pct_background_tail,ttbar_200k,13,47600.13886928559,0.3018515571799019
4,top_5.0pct_background_tail,Zbbbb_100k,70,6268.10777562448,0.018118092902125647
4,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,1,13834.457778574151,0.0399887813444256
4,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,162,218975.5548651244,0.6329532912260062
4,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,55,33652.799519667264,0.09727410088337146
4,top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,32,3658.1205174548268,0.010573871693808794
4,top_5.0pct_background_tail,ttbar_200k,19,69569.43373203279,0.20109186195026232
5,top_0.1pct_background_tail,Zbbbb_100k,1,89.4694014874372,0.025523551470902062
5,top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,1,1352.6425797513286,0.3858776512645442
5,top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,3,1827.2407595331058,0.5212695379684865
5,top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,2,236.01372789672735,0.06732925929606715
5,top_0.2pct_background_tail,Zbbbb_100k,1,89.4694014874372,0.008452218021999117
5,top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,3,4057.927739253986,0.38335441390550357
5,top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,4,2436.3210127108077,0.23016043506115205
5,top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,5,590.0343197418183,0.0557408301386709
5,top_0.2pct_background_tail,ttbar_200k,1,3411.56386088176,0.3222921028726742
5,top_0.5pct_background_tail,Zbbbb_100k,4,357.8776059497488,0.013755751652558068
5,top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,9,12173.783217761958,0.4679240495397929
5,top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,9,5481.722278599317,0.21070111412138742
5,top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,10,1180.0686394836366,0.04535833164142798
5,top_0.5pct_background_tail,ttbar_200k,2,6823.12772176352,0.2622607530448335
5,top_1.0pct_background_tail,Zbbbb_100k,7,626.2858104120603,0.010137204192807177
5,top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,24,32463.42191403189,0.52546031104117
5,top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,16,9745.284050843231,0.15773937824857756
5,top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,16,1888.1098231738188,0.03056137389311906
5,top_1.0pct_background_tail,ttbar_200k,5,17057.8193044088,0.27610173262432613
5,top_2.0pct_background_tail,Zbbbb_100k,19,1699.9186282613066,0.01304928745971151
5,top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,59,79805.91220532836,0.612623611529567
5,top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,25,15227.006329442549,0.11688887893826799
5,top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,24,2832.164734760728,0.021740882853287558
5,top_2.0pct_background_tail,ttbar_200k,9,30704.07474793584,0.2356973392191657
5,top_5.0pct_background_tail,Zbbbb_100k,67,5994.449899658292,0.016713174487124016
5,top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,3,35244.928150177,0.09826667064039284
5,top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,164,221833.3830792179,0.6184954583878226
5,top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,42,25581.370633463477,0.07132362738426376
