seed,qcd_bdt_weighted_auc,top_bdt_weighted_auc,qcd_bdt_unweighted_auc,top_bdt_unweighted_auc
0,0.8438303326538872,0.7977632177790025,0.848177032639024,0.7820639841477837
1,0.8367483283137443,0.7579306923628782,0.8459902201083718,0.7605995717344755
2,0.8583219242896425,0.782242859176238,0.8435120176754677,0.7562710308962987
3,0.836230161123378,0.7966706211605552,0.8372261633201143,0.7731500400477304
4,0.8329128297109198,0.8009780099728161,0.8385152448040492,0.7879254965664919
5,0.834889489273539,0.7993004734632635,0.838694950554324,0.768951609435601
6,0.8337436434986163,0.7822171431382627,0.8459009016523173,0.7725360151309376
7,0.828993300123417,0.7743483538152326,0.8389348346275896,0.7690115731675818
8,0.8351684201945406,0.8136094954059108,0.8382544724828818,0.7998578090748281
9,0.8307239981713503,0.80959051824799,0.8314049183428198,0.7859445419336885
10,0.8137209571612913,0.7631955586201576,0.8354074036372272,0.7596527034261242
11,0.8380773180605798,0.8008126043148927,0.8490750140368772,0.7707079976887258
12,0.8476625572134975,0.7814951847537851,0.8508165351033576,0.7719894731680207
13,0.8251000206428327,0.7922896419422133,0.8402924146740367,0.7743494906235805
14,0.8137601606853448,0.7749529620310336,0.8190710835535906,0.7586015680319407
15,0.8027298436137306,0.8070423510084236,0.8215146356206312,0.7707403489762046
16,0.8270790264584142,0.7708554045294334,0.8404153788018255,0.755633338823917
17,0.8392190727215593,0.808473280631286,0.840382157088767,0.7849073322011372
18,0.8257378901919494,0.7658126306660877,0.8396969819401237,0.7515828878652967
19,0.8484050416535971,0.7956009500555487,0.8408714866082688,0.7671531828660972
