seed,analysis_sample,group,target,is_signal,is_qcd,is_top,weight_pb,weight_pb_scaled_to_full,expected_events_450fb,bdt_qcd_score,bdt_top_score,tail_score,category,event,source_root,source_root_index,mbb1,mbb2,avg_mbb,delta_mbb,r_hh,r_hh_125_125,r_hh_125_120,mhh,hh_pt,hh_eta,h1_pt,h1_eta,h2_pt,h2_eta,h_delta_eta,h_delta_phi,h_delta_r,h_pt_balance,drbb1,drbb2,n_selected_jets,n_selected_bjets,n_extra_selected_jets,n_extra_selected_bjets,ht_selected_jets,ht_selected_bjets,ht_candidate_jets,j1_pt,j2_pt,j3_pt,j4_pt,j1_eta,j2_eta,j3_eta,j4_eta,j1_mass,j2_mass,j3_mass,j4_mass,pt_sum4,ht_over_mhh,pt_asym_12,pt_asym_34,avg_drbb,max_drbb,min_drbb
0,qcd_bbbb_iht200to400_combined120k,background,0,False,True,False,0.001052935536702474,0.003026958842095222,1362.1314789428498,0.9412465714737085,0.9222942446534698,0.8681062956700121,CAT0_very_high_QCD_high_top,2572,qcd_bbbb_iht200to400_extra100k_shard006_pythia8_delphes.root,7,124.88978969039538,113.4225451561347,119.15616742326503,11.467244534260672,11.577979399449767,11.577979399449767,6.578378108274881,714.7499432695383,134.99317794491387,-0.6868835391726485,174.94123766863996,1.214628424019978,56.92060373922354,-2.567966000453514,3.782594424473492,-2.472483914425488,4.518981886127752,0.5090127495916672,1.344825325182708,2.206628292586457,5,4,1,0,365.9879150390625,324.19114685058594,324.19114685058594,136.7474365234375,64.29681396484375,62.25777816772461,60.88911819458008,0.7974474430084229,-1.886740803718567,1.5990759134292603,-1.703430414199829,18.659330368041992,11.247932434082031,9.047402381896973,5.725834846496582,324.19114685058594,0.5120502890344872,0.36037152210158074,0.011114043581794762,1.7757268088845826,2.206628292586457,1.344825325182708
0,qcd_bbbb_iht200to400_combined120k,background,0,False,True,False,0.001052935536702474,0.003026958842095222,1362.1314789428498,0.9308974358425837,0.9167104710041394,0.8533634268678005,CAT0_very_high_QCD_high_top,5954,qcd_bbbb_iht200to400_extra100k_shard000_pythia8_delphes.root,1,115.20112994979633,104.39471066783308,109.7979203088147,10.806419281963244,22.816568600977018,22.816568600977018,18.426690136902536,717.601480568012,101.17331597356555,-2.404745351654544,133.05050140508314,0.8309996588226334,121.6334101450363,-2.421332824092542,3.2523324829151754,-2.3292169424625047,4.000364751429496,0.044828474424351665,1.4606999064998074,1.3948999563264017,4,4,0,0,328.9336128234863,328.9336128234863,328.9336128234863,110.48023986816406,86.90050506591797,68.88504791259766,62.66781997680664,0.6274592280387878,-2.0314857959747314,-2.3388397693634033,0.7281970977783203,17.321611404418945,13.491986274719238,15.7028169631958,12.898089408874512,328.9336128234863,0.45837922820708654,0.11946319692937324,0.04726029949396878,1.4277999314131047,1.4606999064998074,1.3948999563264017
0,qcd_bbbb_iht400to600_20000,background,0,False,True,False,0.0004887433528900147,0.0014429565656752814,649.3304545538766,0.8823931900136661,0.8933847248118365,0.7883165972361976,CAT0_very_high_QCD_high_top,19850,qcd_bbbb_iht400to600_20000_pythia8_delphes.root,0,124.10827968723942,109.33421184030858,116.721245763774,14.774067846930834,15.691146668759348,15.691146668759348,10.702999681566073,598.689998658653,132.43979068861836,1.8709685831821918,291.00007728290774,0.9815663267742166,246.72786434781463,0.3422874563148431,0.6392788704593735,-2.671439728167618,2.7468650668440358,0.08233199249140838,0.7801704763837254,0.8737469892002349,5,4,1,0,636.5082893371582,558.2139930725098,558.2139930725098,204.33712768554688,199.44688415527344,104.15171813964844,50.278263092041016,0.8263702988624573,0.4877181649208069,1.1335532665252686,-0.2953360080718994,38.95757293701172,55.22901153564453,12.587337493896484,6.697710990905762,558.2139930725098,1.0631684022819368,0.0121110380472151,0.3488536009496295,0.8269587327919801,0.8737469892002349,0.7801704763837254
0,qcd_bbbb_iht200to400_combined120k,background,0,False,True,False,0.001052935536702474,0.003026958842095222,1362.1314789428498,0.8894814819301424,0.8781070639698373,0.7810599725532172,CAT0_very_high_QCD_high_top,8788,qcd_bbbb_iht200to400_20000_pythia8_delphes.root,0,122.70458290896555,118.5930667623874,120.64882483567646,4.111516146578154,6.805713271438799,6.805713271438799,2.69228541520251,397.4683430805182,73.28322821316203,-1.3589018225039902,187.71162920243492,-0.21075538164976143,127.82464203160676,-0.6772255972437856,0.4664702155940242,2.8680677782510715,2.905754160743536,0.18979430398546504,1.1552783189535825,1.8127933737687074,4,4,0,0,349.53040313720703,349.53040313720703,349.53040313720703,130.792236328125,93.69051361083984,90.84849548339844,34.19915771484375,-0.24920813739299774,0.042699363082647324,-0.07611750811338425,-1.768661379814148,18.208614349365234,11.595731735229492,10.142363548278809,4.8525896072387695,349.53040313720703,0.8793918037027684,0.1652764977585474,0.45302199856796666,1.484035846361145,1.8127933737687074,1.1552783189535825
0,qcd_bbbb_iht400to600_20000,background,0,False,True,False,0.0004887433528900147,0.0014429565656752814,649.3304545538766,0.8573447744348052,0.9077996067985763,0.7782972491227302,CAT1_high_QCD_medium_top,1092,qcd_bbbb_iht400to600_20000_pythia8_delphes.root,0,140.59330175557636,111.56682294795867,126.08006235176751,29.026478807617693,20.581576843185527,20.581576843185527,17.7276488805351,397.0769863174478,134.4577772142159,2.7371219904048,211.07685589389106,2.073510275572141,87.33718505712936,1.6013674821216262,0.4721427934505147,2.7516778410554377,2.7918899975397977,0.41465766834481427,1.6984766314521231,1.9935396645324968,4,4,0,0,363.29103660583496,363.29103660583496,363.29103660583496,194.8201141357422,93.60160064697266,44.69485092163086,30.174470901489258,2.1194207668304443,1.310020923614502,0.9166896343231201,0.796972393989563,16.413442611694336,9.159245491027832,6.8294172286987305,8.536340713500977,363.29103660583496,0.914913352128856,0.35093929583170425,0.19394298848134714,1.8460081479923098,1.9935396645324968,1.6984766314521231
0,Zbbbb_100k,background,0,False,False,False,6.912992e-05,0.00019331607921824106,86.99223564820848,0.8938912599128238,0.8683526932643679,0.7762128830307797,CAT0_very_high_QCD_high_top,6890,zbbbb_presel_100k_shard001_pythia8_delphes.root,1,117.1521549850958,123.03691622118804,120.09453560314192,5.884761236092231,8.089645808105029,8.089645808105029,8.41495879446071,660.3778819515401,99.15608765393534,-1.5546010993259265,185.84818222582518,-1.4544983235030517,184.2837852304275,0.7521145217947838,-2.2066128452978355,2.599244226299047,3.409576336875645,0.0042265924824663945,1.4949280413197281,1.2315944513193744,6,4,2,0,456.0384178161621,379.7851371765137,379.7851371765137,158.59890747070312,103.14300537109375,87.07640075683594,30.96682357788086,-1.5841110944747925,1.1622096300125122,0.03791383281350136,-0.18996305763721466,14.49095344543457,8.194035530090332,8.373276710510254,8.1724271774292,379.7851371765137,0.690571913868152,0.21187245671623248,0.47533077391531214,1.3632612463195513,1.4949280413197281,1.2315944513193744
0,qcd_bbbb_iht600plus_20000,background,0,False,True,False,8.938438296318055e-05,0.0002556351157129514,115.03580207082814,0.8104970206958326,0.9565455629451924,0.7752773289268965,CAT2_nominal_loose_mid,10484,qcd_bbbb_iht600plus_20000_pythia8_delphes.root,0,113.86581324074201,121.16999275863202,117.51790299968701,7.304179517890006,11.774509342599675,11.774509342599675,11.195490067222927,697.8029715710279,158.08447251430056,1.8214312640933763,390.14956385089135,0.8457330252441035,264.26534517230385,0.38762104327293834,0.4581119819711652,-2.8426779663503337,2.8793548944857803,0.19236147702399636,0.5822538747503204,0.9822514584255352,5,4,1,0,759.9990463256836,689.297233581543,689.297233581543,277.7807922363281,213.0947265625,124.25702667236328,74.16468811035156,0.896643877029419,0.27155816555023193,0.6522461175918579,0.5911140441894531,23.521495819091797,7.539247989654541,14.022767066955566,9.129395484924316,689.297233581543,1.0891312838830978,0.13177692346928013,0.2524539142130374,0.7822526665879278,0.9822514584255352,0.5822538747503204
0,qcd_bbbb_iht600plus_20000,background,0,False,True,False,8.938438296318055e-05,0.0002556351157129514,115.03580207082814,0.8797927343257707,0.8760474615032026,0.7707401915550529,CAT0_very_high_QCD_high_top,5151,qcd_bbbb_iht600plus_20000_pythia8_delphes.root,0,127.11167881597488,119.54792457298781,123.32980169448135,7.563754242987073,5.8467353184206345,5.8467353184206345,2.1595276366708855,603.5918899035195,123.90599880051055,2.3768811498889675,311.0727372619633,0.9647364536165848,253.10473846064684,1.0384507117713837,-0.07371425815479893,-2.748796133845913,2.749784351054015,0.10274780754818695,0.6895878592897176,0.8724961933475887,6,4,2,0,707.4113502502441,578.1015396118164,578.1015396118164,187.49502563476562,175.2914581298828,141.36134338378906,73.9537124633789,0.7869836688041687,0.6635434031486511,1.2401516437530518,1.4527720212936401,44.95594024658203,39.69023513793945,19.42875862121582,10.090509414672852,578.1015396118164,1.1720027423863293,0.03363842935440239,0.3130651066404918,0.781042026318653,0.8724961933475887,0.6895878592897176
0,Zbbbb_100k,background,0,False,False,False,6.912992e-05,0.00019331607921824106,86.99223564820848,0.8782168717941999,0.8763170469191578,0.7695964156452739,CAT0_very_high_QCD_high_top,9945,zbbbb_presel_100k_shard009_pythia8_delphes.root,9,121.34584060797405,115.60810570489978,118.47697315643691,5.737734903074269,10.077725899857933,10.077725899857933,5.713284201023544,312.34728294457824,65.07835266235918,-1.5464454348769445,121.88985476379871,-0.5896471629016738,90.84040038130313,-0.7071112286083605,0.11746406570668666,-2.5911373501677195,2.5937984837235404,0.1459569266034116,1.6112469435983154,2.2890424346024174,4,4,0,0,293.3228569030762,293.3228569030762,293.3228569030762,104.41841888427734,91.45243072509766,64.69896697998047,32.7530403137207,-0.26578614115715027,-0.08235464990139008,-0.9230517745018005,-1.0608830451965332,16.806419372558594,15.296125411987305,12.134068489074707,5.7963385581970215,293.3228569030762,0.93909207128971,0.06619661978784258,0.3278118896992364,1.9501446891003664,2.2890424346024174,1.6112469435983154
0,qcd_bbbb_iht200to400_combined120k,background,0,False,True,False,0.001052935536702474,0.003026958842095222,1362.1314789428498,0.8769112913837699,0.8749407738343923,0.7672454438674319,CAT0_very_high_QCD_high_top,2765,qcd_bbbb_iht200to400_extra100k_shard006_pythia8_delphes.root,7,110.5478566654262,117.02306019260978,113.78545842901798,6.475203527183581,16.50745333641119,16.50745333641119,14.755562259022549,332.4613306717931,100.48135608566363,1.510052211234692,160.01995692374075,0.6059373441004283,96.01394677674935,1.0033618595853004,-0.3974245154848721,2.5060486649908036,2.537365987951004,0.24999036835323038,1.3679800279159646,1.9704455697277412,5,4,1,0,303.4702663421631,273.0166549682617,273.0166549682617,112.81857299804688,68.86153411865234,48.12705993652344,43.20948791503906,0.07732986658811569,0.04354022443294525,1.4250679016113281,1.6669176816940308,11.211173057556152,14.33806324005127,10.586494445800781,6.896517276763916,273.0166549682617,0.9127986876790706,0.2419474513570025,0.053840134503686625,1.669212798821853,1.9704455697277412,1.3679800279159646
0,qcd_bbbb_iht200to400_combined120k,background,0,False,True,False,0.001052935536702474,0.003026958842095222,1362.1314789428498,0.8656577347978105,0.8850295250331967,0.7661326538694191,CAT1_high_QCD_medium_top,9754,qcd_bbbb_iht200to400_extra100k_shard008_pythia8_delphes.root,9,111.14841883793497,128.50085571778354,119.82463727785925,17.352436879848568,14.287137272596373,14.287137272596373,16.252102898512792,807.4595877536223,79.29871628436626,1.6010646649647156,212.64344055983798,-1.0164185438083213,139.04115473091815,1.8776852200687655,-2.894103763877087,2.969745077407927,4.146712242352504,0.20928492918145597,0.9929346214393285,1.880862742814418,5,4,1,0,471.1533088684082,401.97848892211914,401.97848892211914,145.89024353027344,126.06906127929688,88.079833984375,41.93935012817383,1.614065170288086,-1.3317720890045166,-0.3685612082481384,1.5272425413131714,15.11912727355957,16.912368774414062,7.271238803863525,6.940560340881348,401.97848892211914,0.583500791883081,0.07288289792027064,0.35487443003722896,1.4368986821268732,1.880862742814418,0.9929346214393285
0,qcd_bbbb_iht600plus_20000,background,0,False,True,False,8.938438296318055e-05,0.0002556351157129514,115.03580207082814,0.8227532375665011,0.9288169813273423,0.7641871784938152,CAT2_nominal_loose_mid,12715,qcd_bbbb_iht600plus_20000_pythia8_delphes.root,0,120.29344620661317,126.80143083787718,123.54743852224517,6.507984631264009,5.039523953083152,5.039523953083152,8.271100897248843,1037.983852472621,90.70464780004382,-3.188890656557966,281.15601505613404,0.2458184207068452,244.73013101160828,-2.2670542058565477,2.512872626563393,2.823572848217919,3.7798270418797015,0.06926572271893966,1.2185662125173993,0.8742533734323643,5,4,1,0,624.0632820129395,550.096004486084,550.096004486084,250.4616241455078,153.89813232421875,112.70935821533203,33.02688980102539,0.38117748498916626,-2.0529983043670654,-2.338310956954956,-0.7692697048187256,10.763667106628418,35.57798767089844,21.956172943115234,10.654143333435059,550.096004486084,0.6012263876029798,0.23880589073477626,0.5467580612121724,1.046409792974882,1.2185662125173993,0.8742533734323643
0,qcd_bbbb_iht200to400_combined120k,background,0,False,True,False,0.001052935536702474,0.003026958842095222,1362.1314789428498,0.8918252854470449,0.8565532455261797,0.763895842691978,CAT0_very_high_QCD_high_top,9284,qcd_bbbb_iht200to400_extra100k_shard002_pythia8_delphes.root,3,130.54502164684794,110.78302306694978,120.66402235689887,19.76199857989816,15.260068747515335,15.260068747515335,10.756390140209312,379.64666758474164,114.08346112290936,1.4854062227684814,128.48317969144543,1.5445579085974888,17.857961814042618,-1.7205840096386085,3.2651419182360972,2.5510829832243513,4.143570457168474,0.7559406465154128,1.709179341876162,3.0193867494002684,5,4,1,0,333.6411361694336,274.53693771362305,274.53693771362305,107.76942443847656,63.61603927612305,56.08427429199219,47.06719970703125,0.9120843410491943,-0.39953669905662537,1.8548306226730347,-0.45566436648368835,17.113433837890625,12.30345630645752,12.363656044006348,5.333756446838379,274.53693771362305,0.8788201363418583,0.2576261965578511,0.08741585781856,2.3642830456382153,3.0193867494002684,1.709179341876162
0,qcd_bbbb_iht600plus_20000,background,0,False,True,False,8.938438296318055e-05,0.0002556351157129514,115.03580207082814,0.8208337062532881,0.9276575830478102,0.7614526120271015,CAT2_nominal_loose_mid,9637,qcd_bbbb_iht600plus_20000_pythia8_delphes.root,0,130.6860699705696,125.24058691669484,127.96332844363222,5.445483053874767,5.691157507458229,5.691157507458229,7.732731919680556,638.2718978129014,66.15320794080247,-1.7158561023196652,310.4511185162237,-0.4416490491858668,270.75463095232743,-0.13401700395850769,-0.3076320452273591,2.958810842240665,2.9747603391553548,0.06830023194349695,1.2995931661850086,1.0061977769972263,4,4,0,0,591.8944664001465,591.8944664001465,591.8944664001465,284.74407958984375,212.3380584716797,63.72026443481445,31.092063903808594,-0.5399771928787231,0.09387949109077454,-0.7972702383995056,0.5981152653694153,20.781068801879883,25.243070602416992,10.924227714538574,6.886750221252441,591.8944664001465,0.9273390672962434,0.14566208594897603,0.34413457724748436,1.1528954715911175,1.2995931661850086,1.0061977769972263
0,Zbbbb_100k,background,0,False,False,False,6.912992e-05,0.00019331607921824106,86.99223564820848,0.8594563747302613,0.8842064812665366,0.7599368969023382,CAT1_high_QCD_medium_top,3132,zbbbb_presel_100k_shard003_pythia8_delphes.root,3,121.87074235480497,97.17688459875046,109.52381347677772,24.693857756054513,27.998535748164773,27.998535748164773,23.036641465907426,425.32303802347957,80.82739452580208,-3.372741435093518,216.6591510072609,-1.9112596295987607,155.61702232267083,-1.8055654661145266,-0.1056941634842341,2.852047324135113,2.8540051147993575,0.16397001176468295,1.0882277393301076,1.0873933948211516,4,4,0,0,397.58204650878906,397.58204650878906,397.58204650878906,151.73716735839844,92.25359344482422,86.41695404052734,67.17433166503906,-2.128345489501953,-1.8328399658203125,-1.4779223203659058,-1.0856528282165527,16.193790435791016,17.3072452545166,9.42493724822998,14.547872543334961,397.58204650878906,0.9347766543647846,0.24379437039955637,0.12528459728015423,1.0878105670756297,1.0882277393301076,1.0873933948211516
