tail_region,analysis_sample,rows_median,expected_events_450fb_mean,fraction_of_tail_background_mean
top_0.1pct_background_tail,ttbar_200k,1.0,3731.574996400647,0.5494503364529261
top_0.1pct_background_tail,qcd_bbbb_iht200to400_combined120k,3.0,3419.1777570742897,0.6161178943962318
top_0.1pct_background_tail,qcd_bbbb_iht400to600_20000,2.0,1137.044391556181,0.21650041086803004
top_0.1pct_background_tail,qcd_bbbb_iht600plus_20000,2.0,263.20043995005506,0.053106657264927845
top_0.1pct_background_tail,Zbbbb_100k,1.0,123.71603383862245,0.022868331905914453
top_0.2pct_background_tail,qcd_bbbb_iht200to400_combined120k,4.0,5816.455487925769,0.4948756945739262
top_0.2pct_background_tail,ttbar_200k,1.0,4810.987191115039,0.37528289450446695
top_0.2pct_background_tail,qcd_bbbb_iht400to600_20000,3.0,1865.0120725448885,0.1643424617149153
top_0.2pct_background_tail,qcd_bbbb_iht600plus_20000,4.0,483.04808698677397,0.04371226712936378
top_0.2pct_background_tail,Zbbbb_100k,2.0,189.58838492250177,0.01659688393714078
top_0.5pct_background_tail,qcd_bbbb_iht200to400_combined120k,12.0,16292.411140199827,0.5432921897183703
top_0.5pct_background_tail,ttbar_200k,2.0,8266.018680700505,0.26799192913542935
top_0.5pct_background_tail,qcd_bbbb_iht400to600_20000,7.0,4231.813906629952,0.1433143449751338
top_0.5pct_background_tail,qcd_bbbb_iht600plus_20000,8.0,904.1368210738744,0.030759459052739052
top_0.5pct_background_tail,Zbbbb_100k,5.0,435.9902620861168,0.014642077118327448
top_1.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,26.0,35354.96109071157,0.5632698077671401
top_1.0pct_background_tail,ttbar_200k,5.5,16995.852207416425,0.26295164313923397
top_1.0pct_background_tail,qcd_bbbb_iht100to200_20000,1.0,12984.973529012581,0.1658677194993336
top_1.0pct_background_tail,qcd_bbbb_iht400to600_20000,12.0,7794.302289303628,0.12513144661892917
top_1.0pct_background_tail,qcd_bbbb_iht600plus_20000,12.5,1554.715710880535,0.024938564465542983
top_1.0pct_background_tail,Zbbbb_100k,10.0,959.5117431866989,0.015415152034187076
top_2.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,58.5,77453.53249753568,0.5926426573458159
top_2.0pct_background_tail,ttbar_200k,10.0,32967.92105263076,0.24907359791907518
top_2.0pct_background_tail,qcd_bbbb_iht400to600_20000,23.0,14133.456150553266,0.10876670137000255
top_2.0pct_background_tail,qcd_bbbb_iht100to200_20000,1.0,13157.152265797953,0.08954559827250286
top_2.0pct_background_tail,qcd_bbbb_iht600plus_20000,22.5,2578.02720814128,0.019904357922704712
top_2.0pct_background_tail,Zbbbb_100k,24.0,2109.024097197844,0.016180845701526204
top_5.0pct_background_tail,qcd_bbbb_iht200to400_combined120k,157.5,207972.01103445858,0.6154693008819376
top_5.0pct_background_tail,ttbar_200k,22.0,72536.95718347098,0.2145933559884142
top_5.0pct_background_tail,qcd_bbbb_iht400to600_20000,48.5,30604.696178217135,0.09086831566842721
top_5.0pct_background_tail,qcd_bbbb_iht100to200_20000,2.0,24769.432670409613,0.07061205298093165
top_5.0pct_background_tail,Zbbbb_100k,69.5,6355.313950612059,0.018858235433642102
top_5.0pct_background_tail,qcd_bbbb_iht600plus_20000,41.0,4812.8960181316625,0.014312957589973257
