production_row_index	source_uid	sample_class	process_or_mode	workflow_population	generator_weight_transport_class	generated_events	broad_eligible_rows	finite_nominal_weight_rows	null_nominal_weight_rows	negative_nominal_weight_rows	positive_nominal_weight_rows	zero_nominal_weight_rows	unique_finite_nominal_weights	minimum_nominal_weight	maximum_nominal_weight	parquet_path	parquet_sha256
15	48a560034fc93461d1a27171::background::374::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	10000	8085	0	10000	0	0	0	0			/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0015_5678024fc2300e68.parquet	c30274e542a4c8b700018317873c456edbb9749f30cb9ff4206bc503013d13f5
190	d1bb23222fde702852fcc5e2::background::145::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin07_pthat1000toInf_shard1182_seed1271182_bundle.tar.gz	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	10000	6139	10000	0	0	10000	0	1	1.0	1.0	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0190_9694ac3d6f557733.parquet	cb318e53ec97faf909188490921a5d113ba84167a03f918523980c435f16393f
90	4b23df1afb18cd2abd379780::background::175::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1855_seed1211855_bundle.tar.gz	background	qcd_hardqcd	primary_physical_background	qcd_variable_frozen_fragment	10000	640	10000	0	0	10000	0	30	1.0	1.156423568725586	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0090_e26958e61bb79764.parquet	69d5577d05df4cd6bb4329b510986e6348fadb8a58559d779ea296b3d43b2c77
23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	background	bbh_hbb_4fs	primary_physical_background	signed_exact_event_sidecar	10000	3114	10000	0	1	9999	0	2	-0.02875025011599064	0.02875025011599064	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0023_abe9b7d6c0c8bb4b.parquet	97b1ad306d3c77e7eb04b050524ee5fc845c0a01d32ffe40997f04036fab4c81
315	89bdf3a3353582c2558f715d::background::486::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	background	tttt	primary_physical_background	uniform_member_constant	10000	9941	10000	0	0	10000	0	1	0.00918534118682146	0.00918534118682146	/eos/uscms/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/broad_ml/train/hh4b_broad_train_portable_htcondor_pilot_v2_20260805T165522Z/parquet/source_0315_0343d763ea8a9b52.parquet	999a85c2b1975153b087bfd04f3b2a02883c57be1e07ed5330daca3a23151422
