coverage_role	production_row_index	source_uid	group_id	source_entry	event_uid	sample_class	process_or_mode	workflow_population	generator_weight_transport_class	broad_event_eligible	n_selected_jets	n_selected_bjets	generator_nominal_weight	generator_weight_sign	run2_yield_coefficient_per_generator_weight	run2_event_weight_diagnostic_not_authorized	physical_weight_application_authorized
auxiliary_null_weight_reference	15	48a560034fc93461d1a27171::background::374::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	48a560034fc93461d1a27171	0	378f57a52e057549f54c7187edb50e271794c3a602d1364f3db57fa379dc6bee	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	True	5	4					False
qcd_uniform_constant_constant_reference	190	d1bb23222fde702852fcc5e2::background::145::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin07_pthat1000toInf_shard1182_seed1271182_bundle.tar.gz	d1bb23222fde702852fcc5e2	0	61956f024db9c0201b7d41f7fc1805295642e36b428e73790013b271d767e14d	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	True	8	1	1.0	1.0	41.169947308409846	41.169947308409846	False
signed_negative_weight	23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	2b75740d79c95d2ed01426b1	1608	528665226ce500e8fb53b688c234c0a077cf27ff28ef0a197be822ff7deea109	background	bbh_hbb_4fs	primary_physical_background	signed_exact_event_sidecar	False	1	0	-0.02875025011599064	-1.0	50.76091998128821	-1.459389145579823	False
signed_positive_weight	23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	2b75740d79c95d2ed01426b1	0	c7987197a58243cd7c381c3f926f8c5532f5055095ec9025dbde0e619abcae35	background	bbh_hbb_4fs	primary_physical_background	signed_exact_event_sidecar	True	4	2	0.02875025011599064	1.0	50.76091998128821	1.459389145579823	False
uniform_member_constant_constant_reference	315	89bdf3a3353582c2558f715d::background::486::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	89bdf3a3353582c2558f715d	0	dbb2223e036ba380ad79b5861f9844eefcf5ed025b2f45c1dac191c27f82dc0a	background	tttt	primary_physical_background	uniform_member_constant	True	10	5	0.00918534118682146	1.0	3.823202698194128	0.035117421209289464	False
variable_qcd_weight_high	90	4b23df1afb18cd2abd379780::background::175::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1855_seed1211855_bundle.tar.gz	4b23df1afb18cd2abd379780	5324	ea78c16aa206686f99d01a7b38680aab20c7444a8c577bf5e2f2129a2d500898	background	qcd_hardqcd	primary_physical_background	qcd_variable_frozen_fragment	False	1	0	1.156423568725586	1.0	701780.0692089889	811555.0120951476	False
variable_qcd_weight_low	90	4b23df1afb18cd2abd379780::background::175::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1855_seed1211855_bundle.tar.gz	4b23df1afb18cd2abd379780	0	c51be46ce40f6cb57ef976c7dfcd94e203003163bfcc6a9457e8ae947f745cbe	background	qcd_hardqcd	primary_physical_background	qcd_variable_frozen_fragment	False	2	0	1.0	1.0	701780.0692089889	701780.0692089889	False
