variant	score_bin	S	B	qcd_raw_rows	qcd_Neff	ZA_bin	supported	supported_shape_ZA	supported_shape_mu95_diagnostic
global_mass_plane_blind	(0.00146, 0.189]	23.379975788773685	46046506752.46377	69045	40260.130714770195	0.0001089546494925523	True	0.016083848730999894	121.86137987124376
global_mass_plane_blind	(0.189, 0.336]	54.17718739717966	10163402048.604963	44039	12892.813958684757	0.0005373990472152049	True	0.016083848730999894	121.86137987124376
global_mass_plane_blind	(0.336, 0.466]	98.36914157735447	3617328453.974895	11402	4381.825193107053	0.0016355540766291798	True	0.016083848730999894	121.86137987124376
global_mass_plane_blind	(0.466, 0.623]	173.59664572306292	1779428540.322876	9577	2321.9405161092027	0.004115295702709627	True	0.016083848730999894	121.86137987124376
global_mass_plane_blind	(0.623, 0.971]	405.2620060854759	687821715.8304666	4059	1010.0871886113243	0.01545246987674703	True	0.016083848730999894	121.86137987124376
global_mass_aware	(0.001, 0.186]	22.92965652731076	45443387949.983246	68337	39558.061281225135	0.00010756278703867335	True	0.016123828066077955	121.55922228689211
global_mass_aware	(0.186, 0.328]	53.594394006195344	10491867010.986414	43065	13285.071728330639	0.0005232304174312572	True	0.016123828066077955	121.55922228689211
global_mass_aware	(0.328, 0.465]	100.17435332898535	3800769749.6997037	12822	4687.707510850332	0.0016248780134053582	True	0.016123828066077955	121.55922228689211
global_mass_aware	(0.465, 0.625]	170.62912742760017	1870978206.4493992	9875	2440.719110465339	0.003944743776893044	True	0.016123828066077955	121.55922228689211
global_mass_aware	(0.625, 0.985]	407.45742528175504	687484594.0782043	4023	967.2557703817536	0.015539989049474193	True	0.016123828066077955	121.55922228689211
