variant	outer_fold	target_epsilon_S	score_threshold	epsilon_S	epsilon_B	rejection	raw_signal_rows	raw_background_rows	physical_S	physical_B	physical_QCD_B	physical_nonQCD_B	physical_background_efficiency	S_over_B	S_over_sqrt_B_diagnostic	ZA_stat_only	signal_sumw	signal_sumw2	signal_Neff	background_sumw	background_sumw2	background_Neff	qcd_raw_rows	qcd_sumw	qcd_sumw2	qcd_Neff	qcd_largest_abs_event_weight	qcd_largest_event_fraction_of_yield	qcd_largest_source_fraction_of_yield	QCD_Neff_below_100	QCD_raw_O_1_to_10	zero_QCD_rows_not_zero_physical_QCD
global_mass_plane_blind	0	0.6	0.6020017862319946	0.5999885727345446	0.1859230451323026	5.378569392989456	10501	35090	101.02410920145796	157766801.0973384	155297997.43531844	2468803.662019968	0.012983575865128036	6.403381985233285e-07	0.008042984277834044	0.008042983420499831	101.02410920145796	1.3563911456862874	7524.282853368438	157766801.0973384	103259404394209.92	241.04694070734752	955	155297997.43531844	103259123307249.78	233.5625873527719	1893738.577177808	0.012194224062461265	0.11715445623195085	False	False	False
global_mass_plane_blind	1	0.6	0.6064398884773254	0.5999893938590444	0.1751790800938338	5.7084441787475715	11314	33455	66.04208456183487	106905711.76463468	104561342.66942295	2344369.0952117294	0.009975437921989343	6.177601128294639e-07	0.006387344175039584	0.006387343515643077	66.04208456183487	0.7607057746636154	5733.566220397407	106905711.76463468	130702483302797.72	87.44157661814306	1609	104561342.66942295	130702215595562.03	83.64873029133042	1894967.6856186804	0.018123023645648238	0.08072046570990794	True	False	False
global_mass_plane_blind	2	0.6	0.6070312261581421	0.5999894386650473	0.197880465319543	5.053555935322729	11362	38035	66.6276950066812	184169373.90383717	181763872.5225017	2405501.381335467	0.013719216655089054	3.61774021349882e-07	0.004909599694052511	0.004909599397449114	66.6276950066812	0.7689617623802767	5773.043549216139	184169373.90383717	118227688882750.03	286.8901405809365	753	181763872.5225017	118227407885415.69	279.4454005656312	1885091.2366278048	0.010371099660601901	0.13186910480384403	False	False	False
global_mass_plane_blind	3	0.6	0.6018230319023132	0.600022502250225	0.20228142455541537	4.943607660455487	10666	38640	102.97338764524775	165226954.22843125	162288641.55591807	2938312.672513187	0.01433453013568299	6.232239051195239e-07	0.008010959790915059	0.008010958961227893	102.97338764524775	1.3835652007199877	7663.9095559938505	165226954.22843125	99692222395455.38	273.84228927419946	926	162288641.55591807	99691889719172.34	264.1900284191334	1880293.9733510576	0.011586109510339235	0.13825380932858075	False	False	False
global_mass_plane_blind	4	0.6	0.6003133654594421	0.6000227712626666	0.21151809168714517	4.727727978366468	10540	39938	100.21671405773051	250965466.86591062	248314160.70527107	2651306.1606395543	0.01733708462737864	3.99324717098531e-07	0.006326058092497065	0.006326057671776007	100.21671405773051	1.342317231069948	7482.128325599629	250965466.86591062	134814343663617.53	467.18816297751215	671	248314160.70527107	134814043576744.62	457.3701728014892	1901020.841137996	0.007655708541706386	0.12086430773236083	False	False	False
global_mass_plane_blind	0	0.585957	0.6089951992034912	0.5859330362244315	0.17577119120031368	5.689214445047326	10255	33174	98.41208765478683	143569551.53525183	141256269.41702336	2313282.1182284653	0.011815199086975712	6.854662886553831e-07	0.008213292183013763	0.00821329124461416	98.41208765478683	1.3205927214000124	7333.781899317195	143569551.53525183	91107621028438.16	226.24030674228086	891	141256269.41702336	91107357657386.17	219.00902586430186	1893738.577177808	0.013406403729855163	0.12236030225494803	False	False	False
global_mass_plane_blind	1	0.585957	0.6138033270835876	0.5859362570928568	0.16452852714477212	6.077973329938576	11049	31421	64.52512279400271	99187833.78405957	97009336.04160328	2178497.742456287	0.009255277965950546	6.50534650595147e-07	0.006478875536032893	0.006478874832984562	64.52512279400271	0.7433799782851069	5600.7581495345485	99187833.78405957	123212447542871.3	79.84766610005904	1496	97009336.04160328	123212198906761.8	76.37889237212738	1894967.6856186804	0.019533869243327336	0.07289131851528076	True	False	False
global_mass_plane_blind	2	0.585957	0.6150349378585815	0.5859428631779057	0.18617464050111335	5.371300824367752	11096	35785	64.92086550603116	172509772.02420312	170285473.22184274	2224298.8023603857	0.01285066505550385	3.7633152455225993e-07	0.004942850219371101	0.0049428499078800455	64.92086550603116	0.7485459143299446	5630.541423534403	172509772.02420312	113181998540494.56	262.935995366746	694	170285473.22184274	113181738609291.81	256.19983176337564	1885091.2366278048	0.011070182329481301	0.1290281479089911	False	False	False
global_mass_plane_blind	3	0.585957	0.6097362041473389	0.585958595859586	0.19022515849042776	5.256928199906431	10416	36337	100.55329020372942	148702839.65367204	145963888.5565285	2738951.097143531	0.012900954001307901	6.762028918742734e-07	0.008245873248069902	0.008245872319000161	100.55329020372942	1.3510314494246691	7483.88512724936	148702839.65367204	84055253858126.92	263.0714144101979	858	145963888.5565285	84054943861937.4	253.47059653668302	1874527.94280831	0.012842408909121025	0.14627837555126819	False	False	False
global_mass_plane_blind	4	0.585957	0.6074380874633789	0.5859615165660936	0.20154012371832897	4.961791138907868	10293	38054	97.74301423826837	231701406.93988234	229201652.96523473	2499753.9746476114	0.016006293417833897	4.2184903203297745e-07	0.006421276815743038	0.006421276362567493	97.74301423826837	1.308818313115102	7299.482851553092	231701406.93988234	122837680294427.66	437.04457662537214	627	229201652.96523473	122837397503596.97	427.66615696541106	1901020.841137996	0.00829409743142796	0.12776848413604788	False	False	False
global_mass_plane_blind	0	0.5	0.6494593620300293	0.5	0.11850011126771011	8.438810641627542	8751	22365	82.68746841622558	99900410.06400245	98469905.81082247	1430504.2531799823	0.008221403641334642	8.276989890557088e-07	0.008272867339422636	0.008272866197293612	82.68746841622558	1.1057724781482559	6183.204563504796	99900410.06400245	67936338986593.52	146.9035876797144	613	98469905.81082247	67936176452010.45	142.72693661589346	1893738.577177808	0.01923164810186783	0.10135945245220454	False	False	False
global_mass_plane_blind	1	0.5	0.656687319278717	0.499973484647611	0.10739045743967829	9.311814325418108	9428	20509	54.020086499617285	60523127.70720629	59224165.70068391	1298962.0065223798	0.005647450387095157	8.925527900830097e-07	0.006943758270976815	0.0069437572379181245	54.020086499617285	0.6173341177796111	4727.05081637481	60523127.70720629	72538898804261.53	50.49771981440121	967	59224165.70068391	72538751228351.1	48.353490286874276	1894967.6856186804	0.03199652816040932	0.09500896777154177	True	False	False
global_mass_plane_blind	2	0.5	0.6592169404029846	0.49997359666261815	0.12774956818512892	7.827815108939117	9468	24555	54.530541635483075	106145412.60718851	104807042.21354838	1338370.3936401308	0.007907025373622664	5.137343225305819e-07	0.005292845252256161	0.005292844797630795	54.530541635483075	0.624516948099048	4761.407965164694	106145412.60718851	69638041699730.414	161.79157745606034	448	104807042.21354838	69637885938922.81	157.73764452279156	1885091.2366278048	0.017986303179769722	0.13860414424734693	False	False	False
global_mass_plane_blind	3	0.5	0.6498394012451172	0.5	0.12990194795336638	7.698113967921334	8888	24814	84.60624209679418	99615193.20271257	97865641.5721686	1749551.6305439621	0.008642276289630085	8.493307032454795e-07	0.008476949870031525	0.008476948669331743	84.60624209679418	1.133219117919821	6316.709706487509	99615193.20271257	54842589147787.336	180.93942811622543	583	97865641.5721686	54842391482691.19	174.6401559340276	1874527.94280831	0.019154096501027746	0.1571564551913079	False	False	False
global_mass_plane_blind	4	0.5	0.6510599255561829	0.5	0.1382562918396746	7.232943880482666	8783	26105	82.24724593942965	146345831.01353568	144788006.44245684	1557824.571078837	0.010109797530436082	5.620060740358399e-07	0.006798783111019135	0.0067987824734364955	82.24724593942965	1.0979057146194104	6161.375584938987	146345831.01353568	72077788968854.69	297.1387241678129	407	144788006.44245684	72077613078292.53	290.84712873066104	1876057.8456415727	0.012957273822173767	0.14070225112480636	False	False	False
global_mass_plane_blind	0	0.4	0.7045807242393494	0.40001142726545535	0.07295982705818771	13.706172839506173	7001	13770	65.8801188825851	51477321.857481465	50679702.539064094	797619.3184173703	0.004236377419212943	1.2797891674508392e-06	0.009182192684555572	0.0091821907251172	65.8801188825851	0.8802021377020829	4930.901525999866	51477321.857481465	33295862634819.24	79.5869052765608	383	50679702.539064094	33295772383882.027	77.13989090973477	1893738.577177808	0.03736680529484378	0.11567951976361358	True	False	False
