variant	target_epsilon_S	rejection_min	rejection_max	rejection_mean	epsilon_B_min	epsilon_B_max	qcd_Neff_min	qcd_raw_min
global_mass_aware	0.1	130.03856749311294	209.63336992316135	170.36862346213383	0.004770232908847185	0.007690026268960258	2.0	2
global_mass_aware	0.25	28.809276777540433	38.1189620758483	32.99074378917315	0.02623366286863271	0.03471104143716634	9.84216525130434	46
global_mass_aware	0.4	11.740098240378039	15.536609176700292	13.29015660278346	0.06436410857908847	0.0851781628675536	22.675628127644355	175
global_mass_aware	0.5	7.160257868790292	9.171837479588897	8.027737620902434	0.10902940683646113	0.13965977459537326	41.126695571884376	354
global_mass_aware	0.585957	5.0707917069502635	6.158132335869986	5.535381879192543	0.16238689678284182	0.19720786374036098	75.55351445389691	598
global_mass_aware	0.6	4.811702046329095	5.827769301190113	5.242264235756109	0.17159224195710457	0.20782666723159055	83.69435847736789	652
global_mass_plane_blind	0.1	97.62978283350569	178.6492048643592	132.38710929534315	0.005597561997319035	0.01024277603592916	5.3725935058423415	13
global_mass_plane_blind	0.25	24.235143113849315	35.603281133482476	29.398890743577624	0.02808729892761394	0.04126239301754089	7.681512625812686	52
global_mass_plane_blind	0.4	11.638067061143984	15.289088143463294	13.196459939790003	0.06540612432975872	0.08592492161681213	20.326054445693988	195
global_mass_plane_blind	0.5	7.232943880482666	9.311814325418108	8.101899584877753	0.10739045743967829	0.1382562918396746	48.353490286874276	407
global_mass_plane_blind	0.585957	4.961791138907868	6.077973329938576	5.47144158763359	0.16452852714477212	0.20154012371832897	76.37889237212738	627
global_mass_plane_blind	0.6	4.727727978366468	5.7084441787475715	5.162381029176342	0.1751790800938338	0.21151809168714517	83.64873029133042	671
