pthat	qcd_rows	qcd_sources	qcd_yield	qcd_sumw2	variant	target_epsilon_S	score_threshold
100to200	875	28	396742742.8827752	179894797482231.47	global_mass_plane_blind	0.6	0.6035712957382202
200to300	483	4	87764426.93946472	15947585031820.91	global_mass_plane_blind	0.6	0.6035712957382202
300to500	510	3	15875004.195280207	494150622165.4851	global_mass_plane_blind	0.6	0.6035712957382202
500to700	782	4	1646977.4351434526	3468794209.797087	global_mass_plane_blind	0.6	0.6035712957382202
50to75	65	46	121939617.08637035	228764986395622.5	global_mass_plane_blind	0.6	0.6035712957382202
700to1000	657	2	218882.11799227545	72921864.91059422	global_mass_plane_blind	0.6	0.6035712957382202
75to100	311	47	219381023.20605502	154756311275716.4	global_mass_plane_blind	0.6	0.6035712957382202
unavailable	1265	2	51855.027659061314	2125690.437994931	global_mass_plane_blind	0.6	0.6035712957382202
100to200	809	28	366831107.9670685	166338356942982.94	global_mass_plane_blind	0.585957	0.6107916831970215
200to300	463	4	84131392.05298646	15287633500327.293	global_mass_plane_blind	0.585957	0.6107916831970215
300to500	470	3	14630400.763018206	455424447155.2704	global_mass_plane_blind	0.585957	0.6107916831970215
500to700	726	4	1529066.114167873	3220519751.0970016	global_mass_plane_blind	0.585957	0.6107916831970215
50to75	57	40	106976093.77533844	200776162835334.06	global_mass_plane_blind	0.585957	0.6107916831970215
700to1000	614	2	204560.60630207366	68151937.1016439	global_mass_plane_blind	0.585957	0.6107916831970215
75to100	284	47	200348857.92831355	141340181926252.7	global_mass_plane_blind	0.585957	0.6107916831970215
unavailable	1173	2	48082.167921208274	1970964.8466009195	global_mass_plane_blind	0.585957	0.6107916831970215
100to200	526	28	238527671.3831312	108168374590233.44	global_mass_plane_blind	0.5	0.6531317830085754
200to300	320	4	58147727.418945484	10566249357691.492	global_mass_plane_blind	0.5	0.6531317830085754
300to500	313	3	9743791.201959874	303328494016.6787	global_mass_plane_blind	0.5	0.6531317830085754
500to700	497	4	1046786.1497398121	2204801094.8331585	global_mass_plane_blind	0.5	0.6531317830085754
50to75	38	32	71343559.74840495	133948264618332.94	global_mass_plane_blind	0.5	0.6531317830085754
700to1000	400	2	133274.04055045554	44405187.16213089	global_mass_plane_blind	0.5	0.6531317830085754
75to100	182	45	128398147.74382822	90585055908535.55	global_mass_plane_blind	0.5	0.6531317830085754
unavailable	753	2	30867.252821820588	1265347.423030174	global_mass_plane_blind	0.5	0.6531317830085754
100to200	263	28	119240707.6360578	54063286321690.16	global_mass_plane_blind	0.4	0.711392879486084
200to300	152	4	27615764.82749478	5017356080139.43	global_mass_plane_blind	0.4	0.711392879486084
300to500	171	3	5323731.934066859	165744016427.25916	global_mass_plane_blind	0.4	0.711392879486084
500to700	307	4	646805.8696317603	1362757046.6800213	global_mass_plane_blind	0.4	0.711392879486084
50to75	10	10	18779037.54109178	35266647359596.46	global_mass_plane_blind	0.4	0.711392879486084
700to1000	246	2	81957.17932472927	27304955.325235292	global_mass_plane_blind	0.4	0.711392879486084
75to100	86	38	60698251.588136	42841561058821.67	global_mass_plane_blind	0.4	0.711392879486084
unavailable	390	2	15989.05131421081	655525.4543873626	global_mass_plane_blind	0.4	0.711392879486084
100to200	87	27	39467459.30086787	17904724518377.87	global_mass_plane_blind	0.25	0.791732907295227
200to300	38	4	6902783.144803217	1253916702835.3916	global_mass_plane_blind	0.25	0.791732907295227
300to500	47	3	1463295.6693549484	45558355423.820076	global_mass_plane_blind	0.25	0.791732907295227
500to700	94	4	198230.8188195925	418043684.6258503	global_mass_plane_blind	0.25	0.791732907295227
50to75	4	4	7491352.170341418	14030720431778.244	global_mass_plane_blind	0.25	0.791732907295227
700to1000	71	2	23656.271904109955	7882007.145349153	global_mass_plane_blind	0.25	0.791732907295227
75to100	21	18	14834094.001716368	10478857092554.049	global_mass_plane_blind	0.25	0.791732907295227
unavailable	143	2	5860.706718965409	240199.8654220947	global_mass_plane_blind	0.25	0.791732907295227
100to200	17	11	7701778.689018634	3489336268870.8516	global_mass_plane_blind	0.1	0.8507235646247864
200to300	9	4	1635657.897495348	297267163354.0342	global_mass_plane_blind	0.1	0.8507235646247864
300to500	21	3	653919.4440939025	20362487578.838512	global_mass_plane_blind	0.1	0.8507235646247864
500to700	22	3	46376.3790354605	97763803.17788117	global_mass_plane_blind	0.1	0.8507235646247864
700to1000	20	2	6667.917485656017	2223068.140411527	global_mass_plane_blind	0.1	0.8507235646247864
75to100	8	7	5644313.682775878	3982339427487.7383	global_mass_plane_blind	0.1	0.8507235646247864
unavailable	42	2	1721.7500796928805	70582.93745149669	global_mass_plane_blind	0.1	0.8507235646247864
100to200	841	28	381315698.8860128	172894850759987.44	global_mass_aware	0.6	0.6033062934875488
200to300	456	4	82870811.38062836	15060646810863.346	global_mass_aware	0.6	0.6033062934875488
300to500	485	3	15096887.39857536	469931739712.10223	global_mass_aware	0.6	0.6033062934875488
500to700	790	4	1663682.738242695	3503673865.9446816	global_mass_aware	0.6	0.6033062934875488
50to75	69	47	129429548.6774441	242788654382191.9	global_mass_aware	0.6	0.6033062934875488
700to1000	716	2	238563.25641980147	79487099.92570367	global_mass_aware	0.6	0.6033062934875488
75to100	322	46	227135325.2776964	160222682748767.12	global_mass_aware	0.6	0.6033062934875488
unavailable	1315	2	53903.55161968036	2209621.1409932245	global_mass_aware	0.6	0.6033062934875488
100to200	774	28	350940013.0925211	159123224648718.12	global_mass_aware	0.585957	0.6119756102561951
200to300	424	4	77056179.74508417	14004071705687.225	global_mass_aware	0.585957	0.6119756102561951
300to500	449	3	13976185.077204693	435043473067.2863	global_mass_aware	0.585957	0.6119756102561951
500to700	738	4	1554115.624192935	3272804694.7167625	global_mass_aware	0.585957	0.6119756102561951
50to75	62	46	116323027.2925129	218248379878117.4	global_mass_aware	0.585957	0.6119756102561951
700to1000	660	2	219901.84264224136	73268342.75733867	global_mass_aware	0.585957	0.6119756102561951
75to100	285	46	201014427.476293	141781726821644.38	global_mass_aware	0.585957	0.6119756102561951
unavailable	1191	2	48820.27188985552	2001231.979055171	global_mass_aware	0.585957	0.6119756102561951
100to200	470	28	213079903.62053996	96604180535854.62	global_mass_aware	0.5	0.6599719524383545
200to300	273	4	49610370.25941388	9015449650530.133	global_mass_aware	0.5	0.6599719524383545
300to500	283	3	8810045.497742461	274265601133.9812	global_mass_aware	0.5	0.6599719524383545
500to700	493	4	1038424.1458757609	2187321077.546832	global_mass_aware	0.5	0.6599719524383545
50to75	34	31	63763032.02211315	119584128177797.9	global_mass_aware	0.5	0.6599719524383545
700to1000	423	2	140914.66411459132	46943404.423577435	global_mass_aware	0.5	0.6599719524383545
75to100	169	44	119236380.62011401	84128100765408.44	global_mass_aware	0.5	0.6599719524383545
unavailable	691	2	28327.64457640476	1161319.3749458934	global_mass_aware	0.5	0.6599719524383545
100to200	244	27	110625519.86091506	50156753298619.53	global_mass_aware	0.4	0.7150213718414307
200to300	142	4	25801581.94576036	4688227875276.543	global_mass_aware	0.4	0.7150213718414307
300to500	167	3	5199044.5196434315	161857215446.2314	global_mass_aware	0.4	0.7150213718414307
500to700	296	4	623700.0432242386	1314222820.0017133	global_mass_aware	0.4	0.7150213718414307
50to75	17	16	31934788.900822215	59991649604595.484	global_mass_aware	0.4	0.7150213718414307
700to1000	274	2	91269.24091791999	30401910.449222676	global_mass_aware	0.4	0.7150213718414307
75to100	72	36	50816791.28035326	35866869057491.81	global_mass_aware	0.4	0.7150213718414307
unavailable	412	2	16892.20445745471	692602.7237934403	global_mass_aware	0.4	0.7150213718414307
100to200	63	22	28565947.04568068	12952856823857.336	global_mass_aware	0.25	0.7988056540489197
200to300	36	4	6544860.493808588	1189876985520.605	global_mass_aware	0.25	0.7988056540489197
300to500	39	3	1214345.8210782201	37811291265.74905	global_mass_aware	0.25	0.7988056540489197
500to700	79	4	166527.98484803335	351039934.2027466	global_mass_aware	0.25	0.7988056540489197
50to75	4	4	7502636.062895172	14072429783456.31	global_mass_aware	0.25	0.7988056540489197
