category,analysis_sample,n_test_rows,background_events_450fb,neff_sample,mean_qcd_score,mean_top_score,fraction_of_category_background
CAT0_high_purity_diagnostic,qcd_bbbb_iht200to400_combined220k_bdtv2,3,2224.262299160919,3.0000000000000004,0.8798059612568455,0.8875684674237164,0.8392671956205527
CAT0_high_purity_diagnostic,qcd_bbbb_iht600plus_20000,2,233.0047879394782,2.0,0.8739510984145349,0.8727804906584299,0.0879182617148607
CAT0_high_purity_diagnostic,qcd_bbbb_iht400to600_combined120k_bdtv2,1,104.02832585050716,1.0,0.8620711952171424,0.8594472814799522,0.039252367553319636
CAT0_high_purity_diagnostic,Zbbbb_100k,1,88.94793120399667,1.0,0.8964980763067342,0.8877702304790173,0.03356217511126701
CAT1_tight,ttbar_200k,13,42803.225649900225,13.000000000000004,0.8949259540127463,0.6168159107952224,0.6281936853128663
CAT1_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,25,18535.519159674324,25.000000000000007,0.8813061292451566,0.7090955007437497,0.2720331450097196
CAT1_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,41,4265.161359870794,41.00000000000001,0.8895041273178452,0.6596578943567931,0.06259685788698302
CAT1_tight,Zbbbb_100k,18,1601.06276167194,18.0,0.8774039358350355,0.6654422163486194,0.023497703768833506
CAT1_tight,qcd_bbbb_iht600plus_20000,8,932.0191517579128,8.0,0.8852495956546365,0.7283940808749959,0.013678608021597543
CAT2_medium_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,40,29656.83065547892,39.99999999999999,0.8210543187266979,0.6781984102762296,0.4520668783957532
CAT2_medium_tight,ttbar_200k,9,29633.002373007846,8.999999999999998,0.8262542362837446,0.5698378002101726,0.451703657612003
CAT2_medium_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,31,3224.8781013657217,31.00000000000003,0.8230600615579375,0.6511336977419042,0.049157666017218
CAT2_medium_tight,Zbbbb_100k,19,1690.010692875937,19.000000000000004,0.8219199370744728,0.6868158956157145,0.025761277975356576
CAT2_medium_tight,qcd_bbbb_iht600plus_20000,12,1398.0287276368692,12.000000000000002,0.829772526599562,0.7410153306295223,0.0213105199996692
CAT3_medium,qcd_bbbb_iht200to400_combined220k_bdtv2,202,149766.99481016854,202.00000000000009,0.7448861535597006,0.6965423689126216,0.5721994693092561
CAT3_medium,ttbar_200k,19,62558.56056523879,19.0,0.7447797117952973,0.6524488898000635,0.2390111065629141
CAT3_medium,qcd_bbbb_iht100to200_20000,2,28467.057352066044,2.0,0.7314385407266589,0.7329694044303681,0.10876118019390482
CAT3_medium,qcd_bbbb_iht400to600_combined120k_bdtv2,110,11443.115843555788,110.00000000000007,0.7485680760972737,0.6691988983038866,0.04371954462481075
CAT3_medium,Zbbbb_100k,61,5425.823803443797,60.99999999999997,0.7422407607503575,0.6806777186959773,0.02072989115413083
CAT3_medium,qcd_bbbb_iht600plus_20000,35,4077.5837889408685,34.99999999999999,0.739650985353404,0.7580057228823276,0.015578808154983272
CAT4_loose,qcd_bbbb_iht200to400_combined220k_bdtv2,947,702125.4657684634,947.0000000000002,0.5877041861964645,0.762163399144059,0.6588011441826978
CAT4_loose,qcd_bbbb_iht100to200_20000,16,227736.45881652835,16.0,0.5763170383341143,0.7500351466243225,0.21368408775237385
CAT4_loose,ttbar_200k,17,55973.448926792604,17.0,0.6206595241026701,0.6949541714930789,0.052519633590648
CAT4_loose,qcd_bbbb_iht400to600_combined120k_bdtv2,450,46812.74663272822,450.0000000000001,0.587571148917249,0.6935805505280439,0.043924188122448964
CAT4_loose,Zbbbb_100k,240,21347.503488959203,239.9999999999998,0.5890324009129293,0.7548373074235634,0.020030265828028228
CAT4_loose,qcd_bbbb_iht600plus_20000,101,11766.74179094365,100.99999999999997,0.5874293045867721,0.7291132845170457,0.011040680523803083
