optimized_fold_k5	sources	generated_events	broad_eligible_rows	assignment_matchable_rows	auxiliary_sources
0	93	743384	236021	6051	5
1	93	801197	234702	6101	5
2	93	796053	233135	6111	4
3	93	743300	230914	6075	4
4	92	715939	236300	6059	5
