generator_weight_transport_class	sources	generated_events	broad_eligible_rows
not_applicable_auxiliary_qcd	23	230000	128675
qcd_uniform_constant	59	552013	102385
qcd_variable_frozen_fragment	127	1259360	35737
signed_exact_event_sidecar	14	68500	22914
uniform_member_constant	241	1690000	881361
