process_or_mode	configuration_fingerprint_sha256	campaign_count	campaigns	candidate_equivalence_group_id	all_members_same_process_label	configuration_equivalence_authorized	normalization_metadata_sharing_authorized	status
bbh_hbb_4fs	200bfcde94ae5c95a2ac8c87e28fedf4a96494c59f5f3870c2aa5bf531a35f7b	1	bbh_hbb_4fs_pilot10k_20260722_v1	bbh_hbb_4fs__200bfcde94ae	True	False	False	single_campaign_configuration_group
bbh_hbb_4fs	8ad8d1bd045c8d3680c52903d99062674f00c85a68564d5faa4282b595f619b2	1	bbh_hbb_4fs_scaleout40k_20260722_v1	bbh_hbb_4fs__8ad8d1bd045c	True	False	False	single_campaign_configuration_group
ggh_hbb	4903b96c436901c235b11c3b636e6fe046e5b05799055143216bcd6c5a0c6bd2	1	ggh_hbb_scaleout90k_20260722_v1	ggh_hbb__4903b96c4369	True	False	False	single_campaign_configuration_group
ggh_hbb	fe0eca79892959640e90c2ba20c27a0e034e507fdc9e1d1f174e4e7a77488dd3	1	ggh_hbb_pilot10k_20260722_v1	ggh_hbb__fe0eca798929	True	False	False	single_campaign_configuration_group
qcd_bbbb_general	8d8756c2030649dce43d1de6faad24b51c1d6a2037944cd8985c3db06b0d2c58	1	unified_background_5m_wavea_proven111_20260720_v1	qcd_bbbb_general__8d8756c20306	True	False	False	single_campaign_configuration_group
qcd_bbbb_general	f0047c98e71401904d9e8b7a30046abaae88699f27ebc3783a7a976f555228a5	1	unified_background_5m_wavea_pilots_20260720_retry1	qcd_bbbb_general__f0047c98e714	True	False	False	single_campaign_configuration_group
qcd_bbbb_iht400to600	0a0e72fb42743557cc2a341172e16ef8faa42f291034c963be05e3dec86e9ebd	1	unified_background_5m_wavea_pilots_20260720_retry1	qcd_bbbb_iht400to600__0a0e72fb4274	True	False	False	single_campaign_configuration_group
qcd_bbbb_iht400to600	9ce6f02f15154e763893c8d7e13807aef109bb20aa498dfeff63167e8bb3c81d	1	unified_background_5m_wavea_proven111_20260720_v1	qcd_bbbb_iht400to600__9ce6f02f1515	True	False	False	single_campaign_configuration_group
schannel_single_top	14a39a7b6da7ccc905b11221a1f7271f4ca88ec9806411525f1a1bf42dfcb6c7	1	unified_background_5m_single_top_pilot50k_20260722_v1	schannel_single_top__14a39a7b6da7	True	False	False	single_campaign_configuration_group
schannel_single_top	d1eb1129b218b586bbfc82ea88b14575d633d74fe7a649bb6883ef83848dd601	1	unified_background_5m_single_top_scaleout280k_20260722_v1	schannel_single_top__d1eb1129b218	True	False	False	single_campaign_configuration_group
tchannel_antitop	05a79c0876764e31201ac7734e7a5f940fa6d3ddf26823ec4c8fd691294395c2	1	unified_background_5m_single_top_pilot50k_20260722_v1	tchannel_antitop__05a79c087676	True	False	False	single_campaign_configuration_group
tchannel_antitop	6b1ff7c2377b66ff526ec6c6cd9c87a19a03387c89949c73652ce4132f721ec3	1	unified_background_5m_single_top_scaleout280k_20260722_v1	tchannel_antitop__6b1ff7c2377b	True	False	False	single_campaign_configuration_group
tchannel_top	77fc4c9dfe01ec5555152d422923ac39262752ff1178878ca0dda1ca18522aac	1	unified_background_5m_single_top_pilot50k_20260722_v1	tchannel_top__77fc4c9dfe01	True	False	False	single_campaign_configuration_group
tchannel_top	debe0113a257283dfeeef21a5ac449a3483877a1d35c51a4ef047d88f9ca4713	1	unified_background_5m_single_top_scaleout280k_20260722_v1	tchannel_top__debe0113a257	True	False	False	single_campaign_configuration_group
ttbar_inclusive	25c784c9e58174e3b1178ca8183c243b99a4e4973996147085536c3e6708153c	1	unified_background_5m_wavea_pilots_20260720_retry1	ttbar_inclusive__25c784c9e581	True	False	False	single_campaign_configuration_group
ttbar_inclusive	b0b8a893fc519e5d530a764a3726417c458d40c2a24efe4acec69c81ab8f0a2b	1	unified_background_5m_wavea_proven111_20260720_v1	ttbar_inclusive__b0b8a893fc51	True	False	False	single_campaign_configuration_group
tth_hbb	733812b30f500a823155af9f27ee839ba34992fc6aed4d6dd9f6b33e60561b32	1	unified_background_5m_waveb_priority_pilots10k_20260721_v1	tth_hbb__733812b30f50	True	False	False	single_campaign_configuration_group
tth_hbb	b3ec8b1e9ab3a3d4540c9b2f0a5c61c9dfe4a997728d880bdd0b066b1293834b	1	unified_background_5m_waveb_priority_scale400k_20260721_v1	tth_hbb__b3ec8b1e9ab3	True	False	False	single_campaign_configuration_group
