sample_class	process_or_mode	campaign	field	blocking_for_physical_weight	required_next_action
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	standard_configuration	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	beam_energy	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	process_definition	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	standard_configuration	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	beam_energy	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	process_definition	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	standard_configuration	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	beam_energy	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	process_definition	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	standard_configuration	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	beam_energy	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	process_definition	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	decay_and_branching_fraction_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	filter_efficiency_convention	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	normalization_denominator	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	external_reference_cross_section	True	freeze an explicit reviewed convention or recover missing provenance
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	qcd_overlap_and_stitching	True	freeze an explicit reviewed convention or recover missing provenance
