sample_class	process_or_mode	campaign	manifest_generated_events	representative_run_nevents	event_norm_settings	c1_generated_event_candidates	c1_sumw_candidates	denominator_strategy_candidate	normalization_denominator_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	10000	10000		10000,31		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	40000	10000		10000,31		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	90000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	140000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	140000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	1500000			10000		nonstandard_generation_requires_explicit_weight_denominator_recovery	False	weight_strategy_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	500000			10000		nonstandard_generation_requires_explicit_weight_denominator_recovery	False	weight_strategy_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	500000			10000		nonstandard_generation_requires_explicit_weight_denominator_recovery	False	weight_strategy_review_pending
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	10000			10000		nonstandard_generation_requires_explicit_weight_denominator_recovery	False	weight_strategy_review_pending
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	20000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	70000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	740000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	50000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	30000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	60000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	10000	10000		10000,23		prove_positive_unweighted_LO_then_manifest_event_count_may_be_authorized	False	weight_strategy_review_pending
